,image_path,top1_class,top5_class
0,LinFil_tiger_ILSVRC2012_val_00015897_lf.jpg,chainlink fence,"['chainlink fence', 'tray', 'spider web', 'green mamba', 'quilt']"
1,LinFil_crab_ILSVRC2012_val_00008705_lf.jpg,ear,"['ear', 'koala', 'sulphur-crested cockatoo', 'chainlink fence', 'cassette']"
2,LinFil_dog_ILSVRC2012_val_00012566_lf.jpg,three-toed sloth,"['three-toed sloth', 'rifle', 'ant', 'giant panda', 'greenhouse']"
3,LinFil_bird_ILSVRC2012_val_00028363_lf.jpg,American alligator,"['American alligator', 'head cabbage', 'gong', 'book jacket', 'Indian elephant']"
4,LinFil_rabbit_ILSVRC2012_val_00044412_lf.jpg,koala,"['koala', 'wood rabbit', 'bustard', 'ant', 'head cabbage']"
5,LinFil_snake_ILSVRC2012_val_00027631_lf.jpg,chain mail,"['chain mail', 'chainlink fence', 'strainer', 'cassette', 'chain']"
6,LinFil_bellpepper_ILSVRC2012_val_00028090_lf.jpg,bald eagle,"['bald eagle', 'rubber eraser', 'proboscis monkey', 'cliff', 'honeycomb']"
7,LinFil_apple_ILSVRC2012_val_00000023_lf.jpg,comic book,"['comic book', 'envelope', 'nematode', 'punching bag', 'book jacket']"
8,LinFil_cat_ILSVRC2012_val_00031180_lf.jpg,howler monkey,"['howler monkey', 'rubber eraser', 'proboscis monkey', 'giant panda', 'chainlink fence']"
9,LinFil_hippopotamus_ILSVRC2012_val_00045847_lf.jpg,comic book,"['comic book', 'planetarium', 'croquet ball', 'sulphur-crested cockatoo', 'golf ball']"
10,LinFil_fish_ILSVRC2012_val_00014195_lf.jpg,starfish,"['starfish', 'earthstar', 'stingray', 'king snake', 'frilled lizard']"
11,LinFil_corn_ILSVRC2012_val_00010495_lf.jpg,maze,"['maze', 'Petri dish', 'quilt', 'ground beetle', 'greenhouse']"
12,LinFil_cabbage_ILSVRC2012_val_00037102_lf.jpg,rubber eraser,"['rubber eraser', 'comic book', 'nematode', 'coffee mug', 'head cabbage']"
13,LinFil_snake_ILSVRC2012_val_00014926_lf.jpg,velvet,"['velvet', 'sarong', 'head cabbage', 'tray', 'sulphur-crested cockatoo']"
14,LinFil_tiger_ILSVRC2012_val_00030651_lf.jpg,handkerchief,"['handkerchief', 'head cabbage', 'green mamba', 'starfish', 'quilt']"
15,LinFil_hammer_ILSVRC2012_val_00028069_lf.jpg,rifle,"['rifle', 'prayer rug', 'chain', 'rapeseed', 'gar']"
16,LinFil_bear_ILSVRC2012_val_00020441_lf.jpg,rifle,"['rifle', 'comic book', 'hatchet', 'book jacket', 'otter']"
17,LinFil_clock_ILSVRC2012_val_00041461_lf.jpg,analog clock,"['analog clock', 'wall clock', 'stopwatch', 'magnetic compass', 'barometer']"
18,LinFil_guitar_ILSVRC2012_val_00029538_lf.jpg,envelope,"['envelope', 'comic book', 'handkerchief', 'jersey', 'hatchet']"
19,LinFil_pineapple_ILSVRC2012_val_00009015_lf.jpg,howler monkey,"['howler monkey', 'ear', 'sulphur-crested cockatoo', 'koala', 'plastic bag']"
20,LinFil_butterfly_ILSVRC2012_val_00042436_lf.jpg,sea urchin,"['sea urchin', 'tray', 'doormat', 'starfish', 'Dungeness crab']"
21,LinFil_butterfly_ILSVRC2012_val_00013795_lf.jpg,vulture,"['vulture', 'spider web', 'plastic bag', 'wall clock', 'street sign']"
