,image_path,top1_class,top5_class
0,Cro5dva_v05_gun_ILSVRC2012_val_00016796_cs.jpg,volcano,"['volcano', 'space shuttle', 'warplane', 'envelope', 'airship']"
1,Cro5dva_v05_broccoli_ILSVRC2012_val_00027637_cs.jpg,nail,"['nail', 'revolver', 'joystick', 'nematode', 'loupe']"
2,Cro5dva_v05_dog_ILSVRC2012_val_00030058_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'crossword puzzle', 'window screen', 'maze', 'handkerchief']"
3,Cro5dva_v05_turtle_ILSVRC2012_val_00049782_cs.jpg,nematode,"['nematode', 'honeycomb', 'Petri dish', 'hen-of-the-woods', 'strainer']"
4,Cro5dva_v05_crocodilian_ILSVRC2012_val_00038647_cs.jpg,nematode,"['nematode', 'quill', 'nail', 'sea cucumber', 'starfish']"
5,Cro5dva_v05_snail_ILSVRC2012_val_00023958_cs.jpg,electric ray,"['electric ray', 'dugong', 'grey whale', 'stingray', 'killer whale']"
6,Cro5dva_v05_flower_ILSVRC2012_val_00048934_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'Christmas stocking', 'pinwheel', 'crossword puzzle', 'starfish']"
7,Cro5dva_v05_chair_ILSVRC2012_val_00001953_cs.jpg,joystick,"['joystick', 'wood rabbit', 'hare', 'space shuttle', 'web site']"
8,Cro5dva_v05_banana_ILSVRC2012_val_00049606_cs.jpg,nematode,"['nematode', 'banana', 'necklace', 'sea cucumber', 'chain']"
9,Cro5dva_v05_pineapple_ILSVRC2012_val_00029522_cs.jpg,web site,"['web site', 'crossword puzzle', 'window screen', 'rule', 'analog clock']"
10,Cro5dva_v05_horse_ILSVRC2012_val_00017358_cs.jpg,envelope,"['envelope', 'handkerchief', 'tray', 'jersey', 'web site']"
11,Cro5dva_v05_elephant_ILSVRC2012_val_00040375_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'ice bear', 'brown bear', 'African elephant', 'sloth bear']"
12,Cro5dva_v05_mug_ILSVRC2012_val_00027194_cs.jpg,water jug,"['water jug', 'pitcher', 'coffee mug', 'cup', 'measuring cup']"
13,Cro5dva_v05_tiger_ILSVRC2012_val_00048186_cs.jpg,hyena,"['hyena', 'cheetah', 'snow leopard', 'African hunting dog', 'leopard']"
14,Cro5dva_v05_fish_ILSVRC2012_val_00032417_cs.jpg,rule,"['rule', 'rifle', 'nematode', 'envelope', 'jigsaw puzzle']"
15,Cro5dva_v05_camel_ILSVRC2012_val_00015872_cs.jpg,Arabian camel,"['Arabian camel', 'llama', 'ostrich', 'envelope', 'handkerchief']"
16,Cro5dva_v05_crocodilian_ILSVRC2012_val_00037166_cs.jpg,nematode,"['nematode', 'screw', 'crossword puzzle', 'envelope', 'analog clock']"
17,Cro5dva_v05_lobster_ILSVRC2012_val_00036759_cs.jpg,barn spider,"['barn spider', 'tick', 'isopod', 'wolf spider', 'rock crab']"
18,Cro5dva_v05_dog_ILSVRC2012_val_00028881_cs.jpg,Bouvier des Flandres,"['Bouvier des Flandres', 'Kerry blue terrier', 'soft-coated wheaten terrier', 'Old English sheepdog', 'briard']"
19,Cro5dva_v05_snail_ILSVRC2012_val_00046248_cs.jpg,nematode,"['nematode', 'oboe', 'quill', 'electric ray', 'strainer']"
20,Cro5dva_v05_airplane_ILSVRC2012_val_00049097_cs.jpg,warplane,"['warplane', 'nematode', 'syringe', 'airship', 'aircraft carrier']"
