,image_path,top1_class,top5_class
0,Cro5dva_v05_gun_ILSVRC2012_val_00016796_cs.jpg,ant,"['ant', 'hair slide', 'envelope', 'jigsaw puzzle', 'American alligator']"
1,Cro5dva_v05_broccoli_ILSVRC2012_val_00027637_cs.jpg,hair slide,"['hair slide', 'stole', 'ant', 'airship', 'strainer']"
2,Cro5dva_v05_dog_ILSVRC2012_val_00030058_cs.jpg,honeycomb,"['honeycomb', 'chain mail', 'stole', 'airship', 'poncho']"
3,Cro5dva_v05_turtle_ILSVRC2012_val_00049782_cs.jpg,strainer,"['strainer', 'honeycomb', 'sea urchin', 'dishrag', 'wool']"
4,Cro5dva_v05_crocodilian_ILSVRC2012_val_00038647_cs.jpg,hair slide,"['hair slide', 'whistle', 'screw', 'knot', 'envelope']"
5,Cro5dva_v05_snail_ILSVRC2012_val_00023958_cs.jpg,strainer,"['strainer', 'chain', 'necklace', 'hair slide', 'whistle']"
6,Cro5dva_v05_flower_ILSVRC2012_val_00048934_cs.jpg,ant,"['ant', 'jigsaw puzzle', 'honeycomb', 'pot', 'balloon']"
7,Cro5dva_v05_chair_ILSVRC2012_val_00001953_cs.jpg,envelope,"['envelope', 'crossword puzzle', 'screw', 'jigsaw puzzle', 'nematode']"
8,Cro5dva_v05_banana_ILSVRC2012_val_00049606_cs.jpg,necklace,"['necklace', 'chain', 'whistle', 'hair slide', 'screw']"
9,Cro5dva_v05_pineapple_ILSVRC2012_val_00029522_cs.jpg,honeycomb,"['honeycomb', 'jigsaw puzzle', 'chain mail', 'window screen', 'apiary']"
10,Cro5dva_v05_horse_ILSVRC2012_val_00017358_cs.jpg,ant,"['ant', 'hair slide', 'envelope', 'banded gecko', 'stole']"
11,Cro5dva_v05_elephant_ILSVRC2012_val_00040375_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'African chameleon', 'stole', 'hair slide', 'American alligator']"
12,Cro5dva_v05_mug_ILSVRC2012_val_00027194_cs.jpg,chain mail,"['chain mail', 'honeycomb', 'dishrag', 'mitten', 'wool']"
13,Cro5dva_v05_tiger_ILSVRC2012_val_00048186_cs.jpg,ant,"['ant', 'jigsaw puzzle', 'American alligator', 'banded gecko', 'hair slide']"
14,Cro5dva_v05_fish_ILSVRC2012_val_00032417_cs.jpg,hair slide,"['hair slide', 'jigsaw puzzle', 'airship', 'envelope', 'screw']"
15,Cro5dva_v05_camel_ILSVRC2012_val_00015872_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'ant', 'hair slide', 'whistle', 'chain']"
16,Cro5dva_v05_crocodilian_ILSVRC2012_val_00037166_cs.jpg,honeycomb,"['honeycomb', 'hair slide', 'strainer', 'screw', 'whistle']"
17,Cro5dva_v05_lobster_ILSVRC2012_val_00036759_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'ant', 'envelope', 'screw', 'necklace']"
18,Cro5dva_v05_dog_ILSVRC2012_val_00028881_cs.jpg,ant,"['ant', 'airship', 'necklace', 'American alligator', 'lakeside']"
19,Cro5dva_v05_snail_ILSVRC2012_val_00046248_cs.jpg,ant,"['ant', 'necklace', 'airship', 'hair slide', 'chain']"
20,Cro5dva_v05_airplane_ILSVRC2012_val_00049097_cs.jpg,screw,"['screw', 'envelope', 'warplane', 'ant', 'American alligator']"
21,Cro5dva_v05_swine_ILSVRC2012_val_00011892_cs.jpg,honeycomb,"['honeycomb', 'jigsaw puzzle', 'window screen', 'paper towel', 'airship']"
22,Cro5dva_v05_dog_ILSVRC2012_val_00012566_cs.jpg,hair slide,"['hair slide', 'screw', 'envelope', 'nematode', 'ant']"
23,Cro5dva_v05_shoe_ILSVRC2012_val_00048970_cs.jpg,hair slide,"['hair slide', 'strainer', 'sea cucumber', 'banded gecko', 'horned viper']"
24,Cro5dva_v05_snake_ILSVRC2012_val_00014926_cs.jpg,whistle,"['whistle', 'chain', 'knot', 'hair slide', 'necklace']"
25,Cro5dva_v05_rabbit_ILSVRC2012_val_00013125_cs.jpg,necklace,"['necklace', 'ant', 'pot', 'balloon', 'vase']"
26,Cro5dva_v05_airplane_ILSVRC2012_val_00030531_cs.jpg,American alligator,"['American alligator', 'chain', 'screw', 'necklace', 'banded gecko']"
27,Cro5dva_v05_rabbit_ILSVRC2012_val_00044412_cs.jpg,hair slide,"['hair slide', 'banded gecko', 'mitten', 'parachute', 'necklace']"
28,Cro5dva_v05_pineapple_ILSVRC2012_val_00012582_cs.jpg,honeycomb,"['honeycomb', 'hair slide', 'stole', 'necklace', 'strainer']"
29,Cro5dva_v05_squirrel_ILSVRC2012_val_00048792_cs.jpg,airship,"['airship', 'parachute', 'lakeside', 'ant', 'snowplow']"
30,Cro5dva_v05_lemon_ILSVRC2012_val_00048264_cs.jpg,sea urchin,"['sea urchin', 'strainer', 'honeycomb', 'microphone', 'chain mail']"
31,Cro5dva_v05_spider_ILSVRC2012_val_00039661_cs.jpg,envelope,"['envelope', 'barn spider', 'ant', 'necklace', 'spider web']"
32,Cro5dva_v05_horse_ILSVRC2012_val_00011600_cs.jpg,screw,"['screw', 'chain', 'necklace', 'nematode', 'ant']"
33,Cro5dva_v05_bellpepper_ILSVRC2012_val_00000423_cs.jpg,honeycomb,"['honeycomb', 'broccoli', 'strainer', 'mitten', 'sea urchin']"
34,Cro5dva_v05_turtle_ILSVRC2012_val_00047941_cs.jpg,stole,"['stole', 'honeycomb', 'strainer', 'hair slide', 'chain']"
35,Cro5dva_v05_lemon_ILSVRC2012_val_00038325_cs.jpg,sea urchin,"['sea urchin', 'strainer', 'honeycomb', 'microphone', 'chain mail']"
36,Cro5dva_v05_bear_ILSVRC2012_val_00011967_cs.jpg,ant,"['ant', 'stole', 'hair slide', 'jigsaw puzzle', 'envelope']"
37,Cro5dva_v05_car_ILSVRC2012_val_00005456_cs.jpg,honeycomb,"['honeycomb', 'strainer', 'hair slide', 'wool', 'chain mail']"
38,Cro5dva_v05_hammer_ILSVRC2012_val_00032002_cs.jpg,screw,"['screw', 'oboe', 'chain', 'corkscrew', 'nail']"
39,Cro5dva_v05_lobster_ILSVRC2012_val_00028657_cs.jpg,ant,"['ant', 'whistle', 'jigsaw puzzle', 'envelope', 'chain']"
40,Cro5dva_v05_butterfly_ILSVRC2012_val_00035074_cs.jpg,hair slide,"['hair slide', 'strainer', 'parachute', 'airship', 'envelope']"
41,Cro5dva_v05_fish_ILSVRC2012_val_00047320_cs.jpg,oboe,"['oboe', 'screw', 'envelope', 'chain', 'airship']"
42,Cro5dva_v05_airplane_ILSVRC2012_val_00011168_cs.jpg,airship,"['airship', 'snowplow', 'warplane', 'American alligator', 'aircraft carrier']"
43,Cro5dva_v05_dog_ILSVRC2012_val_00010378_cs.jpg,honeycomb,"['honeycomb', 'ant', 'jigsaw puzzle', 'strainer', 'paper towel']"
44,Cro5dva_v05_butterfly_ILSVRC2012_val_00042436_cs.jpg,African chameleon,"['African chameleon', 'hair slide', 'honeycomb', 'banded gecko', 'ant']"
45,Cro5dva_v05_chair_ILSVRC2012_val_00044181_cs.jpg,envelope,"['envelope', 'parachute', 'hair slide', 'whistle', 'mitten']"
46,Cro5dva_v05_horse_ILSVRC2012_val_00032126_cs.jpg,stole,"['stole', 'honeycomb', 'necklace', 'chain', 'hair slide']"
47,Cro5dva_v05_car_ILSVRC2012_val_00037492_cs.jpg,hair slide,"['hair slide', 'strainer', 'honeycomb', 'whistle', 'American alligator']"
48,Cro5dva_v05_bee_ILSVRC2012_val_00042015_cs.jpg,ant,"['ant', 'necklace', 'chain', 'American alligator', 'jigsaw puzzle']"
49,Cro5dva_v05_horse_ILSVRC2012_val_00008317_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'hair slide', 'ant', 'banded gecko', 'chain']"
50,Cro5dva_v05_swine_ILSVRC2012_val_00031491_cs.jpg,hair slide,"['hair slide', 'American alligator', 'honeycomb', 'airship', 'banded gecko']"
51,Cro5dva_v05_mushroom_ILSVRC2012_val_00039698_cs.jpg,hair slide,"['hair slide', 'screw', 'strainer', 'nail', 'knot']"
52,Cro5dva_v05_snail_ILSVRC2012_val_00001959_cs.jpg,banded gecko,"['banded gecko', 'hair slide', 'parachute', 'whistle', 'chain']"
53,Cro5dva_v05_acorn_ILSVRC2012_val_00013791_cs.jpg,porcupine,"['porcupine', 'honeycomb', 'sea urchin', 'strainer', 'chain mail']"
54,Cro5dva_v05_bird_ILSVRC2012_val_00028363_cs.jpg,ant,"['ant', 'American alligator', 'airship', 'stole', 'African chameleon']"
55,Cro5dva_v05_elephant_ILSVRC2012_val_00032620_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'honeycomb', 'stole', 'ant', 'paper towel']"
56,Cro5dva_v05_butterfly_ILSVRC2012_val_00015608_cs.jpg,honeycomb,"['honeycomb', 'hair slide', 'stole', 'ant', 'necklace']"
57,Cro5dva_v05_butterfly_ILSVRC2012_val_00025307_cs.jpg,stole,"['stole', 'honeycomb', 'strainer', 'loupe', 'dishrag']"
58,Cro5dva_v05_spider_ILSVRC2012_val_00029156_cs.jpg,ant,"['ant', 'barn spider', 'envelope', 'necklace', 'warplane']"
59,Cro5dva_v05_dryer_ILSVRC2012_val_00038783_cs.jpg,American alligator,"['American alligator', 'screw', 'hair slide', 'chain', 'necklace']"
60,Cro5dva_v05_chair_ILSVRC2012_val_00004120_cs.jpg,envelope,"['envelope', 'hair slide', 'jersey', 'barn spider', 'handkerchief']"
61,Cro5dva_v05_turtle_ILSVRC2012_val_00024666_cs.jpg,strainer,"['strainer', 'sea urchin', 'hair slide', 'honeycomb', 'chain mail']"
62,Cro5dva_v05_mushroom_ILSVRC2012_val_00038421_cs.jpg,screw,"['screw', 'American alligator', 'nail', 'banded gecko', 'knot']"
63,Cro5dva_v05_dryer_ILSVRC2012_val_00044460_cs.jpg,hair slide,"['hair slide', 'necklace', 'whistle', 'American alligator', 'chain']"
64,Cro5dva_v05_bear_ILSVRC2012_val_00038263_cs.jpg,honeycomb,"['honeycomb', 'chain mail', 'strainer', 'stole', 'sea urchin']"
65,Cro5dva_v05_crocodilian_ILSVRC2012_val_00038287_cs.jpg,necklace,"['necklace', 'chain', 'whistle', 'banded gecko', 'hair slide']"
66,Cro5dva_v05_butterfly_ILSVRC2012_val_00013795_cs.jpg,honeycomb,"['honeycomb', 'mitten', 'strainer', 'airship', 'balloon']"
67,Cro5dva_v05_chair_ILSVRC2012_val_00012771_cs.jpg,barn spider,"['barn spider', 'necklace', 'banded gecko', 'starfish', 'screw']"
68,Cro5dva_v05_hippopotamus_ILSVRC2012_val_00038747_cs.jpg,African chameleon,"['African chameleon', 'hair slide', 'American alligator', 'stole', 'African crocodile']"
69,Cro5dva_v05_flower_ILSVRC2012_val_00039137_cs.jpg,honeycomb,"['honeycomb', 'chain mail', 'sea urchin', 'stole', 'balloon']"
70,Cro5dva_v05_hippopotamus_ILSVRC2012_val_00006991_cs.jpg,honeycomb,"['honeycomb', 'banded gecko', 'African chameleon', 'hair slide', 'stole']"
71,Cro5dva_v05_pineapple_ILSVRC2012_val_00024461_cs.jpg,honeycomb,"['honeycomb', 'necklace', 'pot', 'ant', 'stole']"
72,Cro5dva_v05_squirrel_ILSVRC2012_val_00042981_cs.jpg,ant,"['ant', 'jigsaw puzzle', 'hair slide', 'necklace', 'banded gecko']"
73,Cro5dva_v05_mug_ILSVRC2012_val_00025893_cs.jpg,honeycomb,"['honeycomb', 'jigsaw puzzle', 'dishrag', 'chain mail', 'strainer']"
74,Cro5dva_v05_car_ILSVRC2012_val_00010455_cs.jpg,hair slide,"['hair slide', 'strainer', 'airship', 'envelope', 'ant']"
75,Cro5dva_v05_frog_ILSVRC2012_val_00010287_cs.jpg,ant,"['ant', 'honeycomb', 'jigsaw puzzle', 'paper towel', 'face powder']"
76,Cro5dva_v05_hippopotamus_ILSVRC2012_val_00032449_cs.jpg,honeycomb,"['honeycomb', 'jigsaw puzzle', 'stole', 'strainer', 'airship']"
77,Cro5dva_v05_spider_ILSVRC2012_val_00026030_cs.jpg,barn spider,"['barn spider', 'ant', 'spider web', 'garden spider', 'necklace']"
78,Cro5dva_v05_frog_ILSVRC2012_val_00022660_cs.jpg,ant,"['ant', 'airship', 'banded gecko', 'jigsaw puzzle', 'American alligator']"
79,Cro5dva_v05_bird_ILSVRC2012_val_00007153_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'strainer', 'envelope', 'crossword puzzle', 'paper towel']"
80,Cro5dva_v05_crab_ILSVRC2012_val_00008705_cs.jpg,envelope,"['envelope', 'ant', 'whistle', 'strainer', 'jigsaw puzzle']"
81,Cro5dva_v05_crab_ILSVRC2012_val_00011922_cs.jpg,envelope,"['envelope', 'ant', 'hair slide', 'screw', 'whistle']"
82,Cro5dva_v05_mushroom_ILSVRC2012_val_00021713_cs.jpg,necklace,"['necklace', 'hair slide', 'envelope', 'knot', 'ant']"
83,Cro5dva_v05_lobster_ILSVRC2012_val_00017039_cs.jpg,ant,"['ant', 'hair slide', 'sea cucumber', 'airship', 'American alligator']"
84,Cro5dva_v05_crocodilian_ILSVRC2012_val_00010826_cs.jpg,screw,"['screw', 'oboe', 'chain saw', 'nail', 'airship']"
85,Cro5dva_v05_snake_ILSVRC2012_val_00006751_cs.jpg,chain,"['chain', 'necklace', 'whistle', 'corkscrew', 'screw']"
86,Cro5dva_v05_bird_ILSVRC2012_val_00017028_cs.jpg,necklace,"['necklace', 'hair slide', 'chain', 'ant', 'stole']"
87,Cro5dva_v05_mug_ILSVRC2012_val_00020276_cs.jpg,honeycomb,"['honeycomb', 'strainer', 'chain mail', 'whistle', 'chain']"
88,Cro5dva_v05_spider_ILSVRC2012_val_00008805_cs.jpg,barn spider,"['barn spider', 'spider web', 'ant', 'garden spider', 'necklace']"
89,Cro5dva_v05_acorn_ILSVRC2012_val_00028557_cs.jpg,honeycomb,"['honeycomb', 'strainer', 'sea urchin', 'chain mail', 'broccoli']"
90,Cro5dva_v05_monkey_ILSVRC2012_val_00003631_cs.jpg,honeycomb,"['honeycomb', 'chain mail', 'stole', 'strainer', 'ant']"
91,Cro5dva_v05_bird_ILSVRC2012_val_00030545_cs.jpg,nematode,"['nematode', 'hair slide', 'necklace', 'airship', 'chain']"
92,Cro5dva_v05_spider_ILSVRC2012_val_00029756_cs.jpg,barn spider,"['barn spider', 'ant', 'necklace', 'spider web', 'parachute']"
93,Cro5dva_v05_airplane_ILSVRC2012_val_00033920_cs.jpg,envelope,"['envelope', 'ant', 'screw', 'chain', 'American alligator']"
94,Cro5dva_v05_airplane_ILSVRC2012_val_00023781_cs.jpg,ant,"['ant', 'warplane', 'envelope', 'jigsaw puzzle', 'airship']"
95,Cro5dva_v05_apple_ILSVRC2012_val_00045087_cs.jpg,sea urchin,"['sea urchin', 'strainer', 'honeycomb', 'porcupine', 'balloon']"
96,Cro5dva_v05_hammer_ILSVRC2012_val_00003387_cs.jpg,hair slide,"['hair slide', 'whistle', 'knot', 'chain', 'banded gecko']"
97,Cro5dva_v05_elephant_ILSVRC2012_val_00018263_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'honeycomb', 'chain mail', 'stole', 'hair slide']"
98,Cro5dva_v05_mushroom_ILSVRC2012_val_00040625_cs.jpg,screw,"['screw', 'American alligator', 'nail', 'necklace', 'hair slide']"
