,image_path,top1_class,top5_class
0,Cro_v05_gun_ILSVRC2012_val_00016796_cs.jpg,lakeside,"['lakeside', 'screw', 'seashore', 'envelope', 'airship']"
1,Cro_v05_broccoli_ILSVRC2012_val_00027637_cs.jpg,chain mail,"['chain mail', 'window screen', 'jigsaw puzzle', 'strainer', 'parachute']"
2,Cro_v05_dog_ILSVRC2012_val_00030058_cs.jpg,chain mail,"['chain mail', 'jigsaw puzzle', 'stole', 'crossword puzzle', 'poncho']"
3,Cro_v05_turtle_ILSVRC2012_val_00049782_cs.jpg,chain mail,"['chain mail', 'strainer', 'shower cap', 'poncho', 'sea urchin']"
4,Cro_v05_crocodilian_ILSVRC2012_val_00038647_cs.jpg,lakeside,"['lakeside', 'seashore', 'window screen', 'airship', 'chain mail']"
5,Cro_v05_snail_ILSVRC2012_val_00023958_cs.jpg,lakeside,"['lakeside', 'seashore', 'jigsaw puzzle', 'airship', 'envelope']"
6,Cro_v05_flower_ILSVRC2012_val_00048934_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'lakeside', 'crossword puzzle', 'seashore', 'chain mail']"
7,Cro_v05_chair_ILSVRC2012_val_00001953_cs.jpg,aircraft carrier,"['aircraft carrier', 'lakeside', 'jigsaw puzzle', 'seashore', 'envelope']"
8,Cro_v05_banana_ILSVRC2012_val_00049606_cs.jpg,radio telescope,"['radio telescope', 'screw', 'chain mail', 'airship', 'hair slide']"
9,Cro_v05_pineapple_ILSVRC2012_val_00029522_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'crossword puzzle', 'chain mail', 'window screen', 'lakeside']"
10,Cro_v05_horse_ILSVRC2012_val_00017358_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'crossword puzzle', 'chain mail', 'seashore', 'comic book']"
11,Cro_v05_elephant_ILSVRC2012_val_00040375_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'crossword puzzle', 'stole', 'prayer rug', 'chain mail']"
12,Cro_v05_mug_ILSVRC2012_val_00027194_cs.jpg,chain mail,"['chain mail', 'poncho', 'jigsaw puzzle', 'stole', 'window screen']"
