,image_path,top1_class,top5_class
0,Tex_cat_ILSVRC2012_val_00031180_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'kuvasz', 'borzoi', 'Angora', 'Great Pyrenees']"
1,Tex_clock_ILSVRC2012_val_00035392_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'tray', 'maze', 'dough', 'red-backed sandpiper']"
2,Tex_spider_ILSVRC2012_val_00008805_t.jpg,wool,"['wool', 'hen-of-the-woods', 'honeycomb', 'dough', 'chain mail']"
3,Tex_bird_ILSVRC2012_val_00004344_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'indigo bunting', 'jay', 'golf ball', 'barracouta']"
4,Tex_guitar_ILSVRC2012_val_00036762_t.jpg,beer bottle,"['beer bottle', 'sock', 'poncho', 'shoe shop', 'velvet']"
5,Tex_dryer_ILSVRC2012_val_00038783_t.jpg,maze,"['maze', 'jigsaw puzzle', 'cinema', 'albatross', 'oystercatcher']"
6,Tex_chair_ILSVRC2012_val_00001953_t.jpg,shoe shop,"['shoe shop', 'restaurant', 'space bar', 'typewriter keyboard', 'tobacco shop']"
7,Tex_bellpepper_ILSVRC2012_val_00000423_t.jpg,coral fungus,"['coral fungus', 'sea slug', 'gyromitra', 'conch', 'candle']"
8,Tex_microwave_ILSVRC2012_val_00038763_t.jpg,espresso maker,"['espresso maker', 'dining table', 'recreational vehicle', 'monitor', 'turnstile']"
9,Tex_bee_ILSVRC2012_val_00017418_t.jpg,bee,"['bee', 'honeycomb', 'apiary', 'hen-of-the-woods', 'brambling']"
10,Tex_cat_ILSVRC2012_val_00001341_t.jpg,jackfruit,"['jackfruit', 'pineapple', 'hen-of-the-woods', 'custard apple', 'honeycomb']"
11,Tex_guitar_ILSVRC2012_val_00019484_t.jpg,consomme,"['consomme', 'violin', 'hot pot', 'acoustic guitar', 'soup bowl']"
12,Tex_flower_ILSVRC2012_val_00013936_t.jpg,daisy,"['daisy', 'vase', 'bee', 'pot', 'trifle']"
