,image_path,top1_class,top5_class
0,Cro_v07_turtle_ILSVRC2012_val_00049782_cd.jpg,swab,"['swab', 'jigsaw puzzle', 'hair slide', 'doormat', 'nail']"
1,Cro_v07_bear_ILSVRC2012_val_00031906_cd.jpg,swab,"['swab', 'jigsaw puzzle', 'traffic light', 'nail', 'honeycomb']"
2,Cro_v07_bird_ILSVRC2012_val_00030545_cd.jpg,swab,"['swab', 'traffic light', 'jigsaw puzzle', 'nail', 'puck']"
3,Cro_v07_mug_ILSVRC2012_val_00020276_cd.jpg,swab,"['swab', 'jigsaw puzzle', 'nail', 'prayer rug', 'coil']"
4,Cro_v07_snake_ILSVRC2012_val_00006751_cd.jpg,necklace,"['necklace', 'chain', 'nematode', 'bow', 'whistle']"
5,Cro_v07_snake_ILSVRC2012_val_00013400_cd.jpg,swab,"['swab', 'jigsaw puzzle', 'nail', 'stole', 'coil']"
6,Cro_v07_car_ILSVRC2012_val_00005456_cd.jpg,swab,"['swab', 'jigsaw puzzle', 'honeycomb', 'traffic light', 'nail']"
7,Cro_v07_swine_ILSVRC2012_val_00031491_cd.jpg,swab,"['swab', 'nail', 'hair slide', 'traffic light', 'nematode']"
8,Cro_v07_squirrel_ILSVRC2012_val_00023383_cd.jpg,swab,"['swab', 'jigsaw puzzle', 'window screen', 'prayer rug', 'stole']"
9,Cro_v07_monkey_ILSVRC2012_val_00027323_cd.jpg,swab,"['swab', 'jigsaw puzzle', 'traffic light', 'nail', 'hair slide']"
10,Cro_v07_bear_ILSVRC2012_val_00038263_cd.jpg,swab,"['swab', 'jigsaw puzzle', 'stole', 'doormat', 'coil']"
11,Cro_v07_airplane_ILSVRC2012_val_00023781_cd.jpg,warplane,"['warplane', 'swab', 'airliner', 'window screen', 'pole']"
12,Cro_v07_spider_ILSVRC2012_val_00026030_cd.jpg,spider web,"['spider web', 'swab', 'vulture', 'loupe', 'nematode']"
13,Cro_v07_lobster_ILSVRC2012_val_00047059_cd.jpg,jigsaw puzzle,"['jigsaw puzzle', 'swab', 'traffic light', 'window screen', 'digital clock']"
