,image_path,top1_class,top5_class
0,Tex_cat_ILSVRC2012_val_00031180_t.jpg,Angora,"['Angora', 'Maltese dog', 'Sealyham terrier', 'West Highland white terrier', 'Samoyed']"
1,Tex_clock_ILSVRC2012_val_00035392_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'shower curtain', 'lens cap', 'hook', 'laptop']"
2,Tex_spider_ILSVRC2012_val_00008805_t.jpg,corn,"['corn', 'cockroach', 'ear', 'espresso', 'hen-of-the-woods']"
3,Tex_bird_ILSVRC2012_val_00004344_t.jpg,coho,"['coho', 'red-backed sandpiper', 'coral reef', 'barracouta', 'indigo bunting']"
4,Tex_guitar_ILSVRC2012_val_00036762_t.jpg,velvet,"['velvet', 'shoe shop', 'stole', 'Windsor tie', 'wool']"
5,Tex_dryer_ILSVRC2012_val_00038783_t.jpg,maze,"['maze', 'computer keyboard', 'honeycomb', 'cinema', 'space bar']"
6,Tex_chair_ILSVRC2012_val_00001953_t.jpg,restaurant,"['restaurant', 'library', 'dining table', 'tobacco shop', 'shoe shop']"
7,Tex_bellpepper_ILSVRC2012_val_00000423_t.jpg,bell pepper,"['bell pepper', 'gyromitra', 'stinkhorn', 'coral fungus', 'pot']"
8,Tex_microwave_ILSVRC2012_val_00038763_t.jpg,monitor,"['monitor', 'library', 'lakeside', 'screen', 'photocopier']"
9,Tex_bee_ILSVRC2012_val_00017418_t.jpg,honeycomb,"['honeycomb', 'hen-of-the-woods', 'bee', 'jackfruit', 'tray']"
10,Tex_cat_ILSVRC2012_val_00001341_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'potpie', 'jackfruit', 'gyromitra']"
11,Tex_guitar_ILSVRC2012_val_00019484_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'hair slide', 'hen-of-the-woods', 'candle', 'buckle']"
12,Tex_flower_ILSVRC2012_val_00013936_t.jpg,daisy,"['daisy', 'cauliflower', 'bee', 'vase', 'strawberry']"
13,Tex_lobster_ILSVRC2012_val_00028657_t.jpg,honeycomb,"['honeycomb', 'hen-of-the-woods', 'gyromitra', 'chocolate sauce', 'coral fungus']"
14,Tex_broccoli_ILSVRC2012_val_00004207_t.jpg,broccoli,"['broccoli', 'guacamole', 'head cabbage', 'cauliflower', 'frying pan']"
15,Tex_helmet_ILSVRC2012_val_00049691_t.jpg,sea slug,"['sea slug', 'hen-of-the-woods', 'tray', 'chocolate sauce', 'flatworm']"
16,Tex_frog_ILSVRC2012_val_00041279_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'robin', 'buckeye', 'earthstar', 'brambling']"
17,Tex_cat_ILSVRC2012_val_00038913_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'plastic bag', 'feather boa', 'book jacket', 'hen']"
18,Tex_cabbage_ILSVRC2012_val_00005749_t.jpg,head cabbage,"['head cabbage', 'cauliflower', 'custard apple', 'plastic bag', 'hen-of-the-woods']"
19,Tex_banana_ILSVRC2012_val_00038819_t.jpg,cucumber,"['cucumber', 'zucchini', 'head cabbage', 'mashed potato', 'Granny Smith']"
20,Tex_crab_ILSVRC2012_val_00003272_t.jpg,Dungeness crab,"['Dungeness crab', 'butcher shop', 'king crab', 'rock crab', 'coho']"
21,Tex_gun_ILSVRC2012_val_00018910_t.jpg,rifle,"['rifle', 'plane', 'solar dish', 'revolver', ""carpenter's kit""]"
22,Tex_dryer_ILSVRC2012_val_00013313_t.jpg,velvet,"['velvet', 'strawberry', 'honeycomb', 'coho', 'pomegranate']"
23,Tex_crocodilian_ILSVRC2012_val_00037166_t.jpg,cliff,"['cliff', 'stone wall', 'hen-of-the-woods', 'alp', 'volcano']"
24,Tex_crocodilian_ILSVRC2012_val_00038647_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'brain coral', 'cliff', 'trilobite']"
25,Tex_car_ILSVRC2012_val_00037128_t.jpg,maze,"['maze', 'monitor', 'screen', 'photocopier', 'computer keyboard']"
26,Tex_airplane_ILSVRC2012_val_00023781_t.jpg,warplane,"['warplane', 'aircraft carrier', 'missile', 'projectile', 'airliner']"
27,Tex_monkey_ILSVRC2012_val_00003631_t.jpg,proboscis monkey,"['proboscis monkey', 'patas', 'langur', 'collie', 'titi']"
28,Tex_bear_ILSVRC2012_val_00031906_t.jpg,wool,"['wool', 'hen-of-the-woods', 'fur coat', 'ox', 'ram']"
29,Tex_snail_ILSVRC2012_val_00045031_t.jpg,head cabbage,"['head cabbage', 'hen-of-the-woods', 'hot pot', 'wok', 'custard apple']"
30,Tex_clock_ILSVRC2012_val_00028769_t.jpg,refrigerator,"['refrigerator', 'medicine chest', 'sewing machine', 'photocopier', 'lifeboat']"
31,Tex_camel_ILSVRC2012_val_00011354_t.jpg,goose,"['goose', 'hen', 'kuvasz', 'Great Pyrenees', 'partridge']"
32,Tex_tiger_ILSVRC2012_val_00030651_t.jpg,tiger,"['tiger', 'tiger cat', 'jigsaw puzzle', 'hen-of-the-woods', 'red fox']"
33,Tex_tiger_ILSVRC2012_val_00005323_t.jpg,tiger,"['tiger', 'tiger cat', 'Madagascar cat', 'skunk', 'indri']"
34,Tex_hammer_ILSVRC2012_val_00001110_t.jpg,doormat,"['doormat', 'panpipe', 'nail', 'maze', 'jigsaw puzzle']"
35,Tex_pineapple_ILSVRC2012_val_00009015_t.jpg,coral reef,"['coral reef', 'hen-of-the-woods', 'honeycomb', 'apiary', 'pot']"
