,image_path,top1_class,top5_class
0,Cro_v05_gun_ILSVRC2012_val_00016796_cs.jpg,strainer,"['strainer', 'theater curtain', 'window screen', 'envelope', 'screw']"
1,Cro_v05_broccoli_ILSVRC2012_val_00027637_cs.jpg,crossword puzzle,"['crossword puzzle', 'strainer', 'envelope', 'screw', 'honeycomb']"
2,Cro_v05_dog_ILSVRC2012_val_00030058_cs.jpg,crossword puzzle,"['crossword puzzle', 'jigsaw puzzle', 'gown', 'hoopskirt', 'dishrag']"
3,Cro_v05_turtle_ILSVRC2012_val_00049782_cs.jpg,strainer,"['strainer', 'microphone', 'face powder', 'Petri dish', 'spotlight']"
4,Cro_v05_crocodilian_ILSVRC2012_val_00038647_cs.jpg,envelope,"['envelope', 'crossword puzzle', 'screw', 'web site', 'jigsaw puzzle']"
5,Cro_v05_snail_ILSVRC2012_val_00023958_cs.jpg,crossword puzzle,"['crossword puzzle', 'envelope', 'strainer', 'screw', 'window screen']"
6,Cro_v05_flower_ILSVRC2012_val_00048934_cs.jpg,crossword puzzle,"['crossword puzzle', 'screw', 'nail', 'web site', 'organ']"
7,Cro_v05_chair_ILSVRC2012_val_00001953_cs.jpg,crossword puzzle,"['crossword puzzle', 'menu', 'slide rule', 'quill', 'screw']"
8,Cro_v05_banana_ILSVRC2012_val_00049606_cs.jpg,strainer,"['strainer', 'chain mail', 'screw', 'envelope', 'golf ball']"
9,Cro_v05_pineapple_ILSVRC2012_val_00029522_cs.jpg,crossword puzzle,"['crossword puzzle', 'solar dish', 'jigsaw puzzle', 'gown', 'chain mail']"
10,Cro_v05_horse_ILSVRC2012_val_00017358_cs.jpg,crossword puzzle,"['crossword puzzle', 'menu', 'envelope', 'jigsaw puzzle', 'web site']"
11,Cro_v05_elephant_ILSVRC2012_val_00040375_cs.jpg,envelope,"['envelope', 'window screen', 'radiator', 'crossword puzzle', 'web site']"
12,Cro_v05_mug_ILSVRC2012_val_00027194_cs.jpg,dishrag,"['dishrag', 'honeycomb', 'strainer', 'chain mail', 'crossword puzzle']"
13,Cro_v05_tiger_ILSVRC2012_val_00048186_cs.jpg,screw,"['screw', 'envelope', 'web site', 'nail', 'slide rule']"
14,Cro_v05_fish_ILSVRC2012_val_00032417_cs.jpg,envelope,"['envelope', 'strainer', 'theater curtain', 'screw', 'window screen']"
15,Cro_v05_camel_ILSVRC2012_val_00015872_cs.jpg,pajama,"['pajama', 'mitten', 'gown', 'window screen', 'abaya']"
16,Cro_v05_crocodilian_ILSVRC2012_val_00037166_cs.jpg,solar dish,"['solar dish', 'envelope', 'window screen', 'scoreboard', 'radiator']"
17,Cro_v05_lobster_ILSVRC2012_val_00036759_cs.jpg,envelope,"['envelope', 'crossword puzzle', 'screw', 'web site', 'quill']"
18,Cro_v05_dog_ILSVRC2012_val_00028881_cs.jpg,crossword puzzle,"['crossword puzzle', 'window screen', 'ballpoint', 'screw', 'envelope']"
19,Cro_v05_snail_ILSVRC2012_val_00046248_cs.jpg,crossword puzzle,"['crossword puzzle', 'screw', 'envelope', 'window screen', 'strainer']"
20,Cro_v05_airplane_ILSVRC2012_val_00049097_cs.jpg,theater curtain,"['theater curtain', 'screw', 'envelope', 'whistle', 'quill']"
21,Cro_v05_swine_ILSVRC2012_val_00011892_cs.jpg,dishrag,"['dishrag', 'bib', 'crossword puzzle', 'screw', 'stole']"
22,Cro_v05_dog_ILSVRC2012_val_00012566_cs.jpg,crossword puzzle,"['crossword puzzle', 'envelope', 'screw', 'window screen', 'strainer']"
23,Cro_v05_shoe_ILSVRC2012_val_00048970_cs.jpg,crossword puzzle,"['crossword puzzle', 'screw', 'horned viper', 'sidewinder', 'envelope']"
24,Cro_v05_snake_ILSVRC2012_val_00014926_cs.jpg,screw,"['screw', 'nail', 'envelope', 'hook', 'microphone']"
25,Cro_v05_rabbit_ILSVRC2012_val_00013125_cs.jpg,strainer,"['strainer', 'envelope', 'window screen', 'racket', 'chainlink fence']"
26,Cro_v05_airplane_ILSVRC2012_val_00030531_cs.jpg,theater curtain,"['theater curtain', 'envelope', 'screw', 'matchstick', 'whistle']"
27,Cro_v05_rabbit_ILSVRC2012_val_00044412_cs.jpg,crossword puzzle,"['crossword puzzle', 'jigsaw puzzle', 'envelope', 'window screen', 'chain mail']"
28,Cro_v05_pineapple_ILSVRC2012_val_00012582_cs.jpg,crossword puzzle,"['crossword puzzle', 'menu', 'window screen', 'web site', 'nail']"
29,Cro_v05_squirrel_ILSVRC2012_val_00048792_cs.jpg,window screen,"['window screen', 'crossword puzzle', 'chain mail', 'strainer', 'envelope']"
30,Cro_v05_lemon_ILSVRC2012_val_00048264_cs.jpg,microphone,"['microphone', 'space heater', 'strainer', 'spotlight', 'face powder']"
31,Cro_v05_spider_ILSVRC2012_val_00039661_cs.jpg,screw,"['screw', 'nail', 'matchstick', 'menu', 'envelope']"
32,Cro_v05_horse_ILSVRC2012_val_00011600_cs.jpg,lacewing,"['lacewing', 'quill', 'nematode', 'gown', 'flagpole']"
33,Cro_v05_bellpepper_ILSVRC2012_val_00000423_cs.jpg,strainer,"['strainer', 'crossword puzzle', 'space heater', 'Petri dish', 'microphone']"
34,Cro_v05_turtle_ILSVRC2012_val_00047941_cs.jpg,microphone,"['microphone', 'crossword puzzle', 'strainer', 'web site', 'envelope']"
35,Cro_v05_lemon_ILSVRC2012_val_00038325_cs.jpg,strainer,"['strainer', 'microphone', 'space heater', 'face powder', 'spotlight']"
36,Cro_v05_bear_ILSVRC2012_val_00011967_cs.jpg,crossword puzzle,"['crossword puzzle', 'jigsaw puzzle', 'screw', 'window screen', 'strainer']"
37,Cro_v05_car_ILSVRC2012_val_00005456_cs.jpg,microphone,"['microphone', 'strainer', 'space heater', 'racket', 'screw']"
38,Cro_v05_hammer_ILSVRC2012_val_00032002_cs.jpg,screw,"['screw', 'nail', 'chain saw', 'hook', 'crane']"
39,Cro_v05_lobster_ILSVRC2012_val_00028657_cs.jpg,crossword puzzle,"['crossword puzzle', 'menu', 'screw', 'quill', 'window screen']"
40,Cro_v05_butterfly_ILSVRC2012_val_00035074_cs.jpg,strainer,"['strainer', 'window screen', 'crossword puzzle', 'microphone', 'spotlight']"
41,Cro_v05_fish_ILSVRC2012_val_00047320_cs.jpg,screw,"['screw', 'theater curtain', 'envelope', 'crossword puzzle', 'window screen']"
42,Cro_v05_airplane_ILSVRC2012_val_00011168_cs.jpg,screw,"['screw', 'theater curtain', 'envelope', 'quill', 'web site']"
43,Cro_v05_dog_ILSVRC2012_val_00010378_cs.jpg,crossword puzzle,"['crossword puzzle', 'chain mail', 'window screen', 'folding chair', 'mitten']"
44,Cro_v05_butterfly_ILSVRC2012_val_00042436_cs.jpg,crossword puzzle,"['crossword puzzle', 'envelope', 'strainer', 'window screen', 'web site']"
45,Cro_v05_chair_ILSVRC2012_val_00044181_cs.jpg,crossword puzzle,"['crossword puzzle', 'microphone', 'menu', 'ski mask', 'web site']"
46,Cro_v05_horse_ILSVRC2012_val_00032126_cs.jpg,window screen,"['window screen', 'nail', 'solar dish', 'screw', 'crossword puzzle']"
47,Cro_v05_car_ILSVRC2012_val_00037492_cs.jpg,strainer,"['strainer', 'microphone', 'window screen', 'spotlight', 'Petri dish']"
48,Cro_v05_bee_ILSVRC2012_val_00042015_cs.jpg,envelope,"['envelope', 'web site', 'window screen', 'screw', 'theater curtain']"
49,Cro_v05_horse_ILSVRC2012_val_00008317_cs.jpg,envelope,"['envelope', 'crossword puzzle', 'screw', 'window screen', 'ballpoint']"
50,Cro_v05_swine_ILSVRC2012_val_00031491_cs.jpg,crossword puzzle,"['crossword puzzle', 'window screen', 'strainer', 'envelope', 'screw']"
51,Cro_v05_mushroom_ILSVRC2012_val_00039698_cs.jpg,envelope,"['envelope', 'window screen', 'strainer', 'screw', 'web site']"
52,Cro_v05_snail_ILSVRC2012_val_00001959_cs.jpg,envelope,"['envelope', 'crossword puzzle', 'screw', 'menu', 'web site']"
53,Cro_v05_acorn_ILSVRC2012_val_00013791_cs.jpg,space heater,"['space heater', 'microphone', 'spotlight', 'strainer', 'grille']"
54,Cro_v05_bird_ILSVRC2012_val_00028363_cs.jpg,strainer,"['strainer', 'screw', 'envelope', 'window screen', 'microphone']"
55,Cro_v05_elephant_ILSVRC2012_val_00032620_cs.jpg,shower curtain,"['shower curtain', 'jigsaw puzzle', 'crossword puzzle', 'theater curtain', 'hoopskirt']"
56,Cro_v05_butterfly_ILSVRC2012_val_00015608_cs.jpg,crossword puzzle,"['crossword puzzle', 'envelope', 'screw', 'window screen', 'jigsaw puzzle']"
57,Cro_v05_butterfly_ILSVRC2012_val_00025307_cs.jpg,strainer,"['strainer', 'face powder', 'envelope', 'radiator', 'microphone']"
58,Cro_v05_spider_ILSVRC2012_val_00029156_cs.jpg,screw,"['screw', 'menu', 'envelope', 'crossword puzzle', 'nail']"
59,Cro_v05_dryer_ILSVRC2012_val_00038783_cs.jpg,window screen,"['window screen', 'envelope', 'chain mail', 'theater curtain', 'screw']"
60,Cro_v05_chair_ILSVRC2012_val_00004120_cs.jpg,crossword puzzle,"['crossword puzzle', 'envelope', 'menu', 'pick', 'book jacket']"
61,Cro_v05_turtle_ILSVRC2012_val_00024666_cs.jpg,microphone,"['microphone', 'strainer', 'spotlight', 'crossword puzzle', 'face powder']"
62,Cro_v05_mushroom_ILSVRC2012_val_00038421_cs.jpg,abaya,"['abaya', 'gown', 'cloak', 'broom', 'rule']"
63,Cro_v05_dryer_ILSVRC2012_val_00044460_cs.jpg,screw,"['screw', 'strainer', 'chain mail', 'window screen', 'envelope']"
64,Cro_v05_bear_ILSVRC2012_val_00038263_cs.jpg,crossword puzzle,"['crossword puzzle', 'dishrag', 'jigsaw puzzle', 'face powder', 'Petri dish']"
65,Cro_v05_crocodilian_ILSVRC2012_val_00038287_cs.jpg,abaya,"['abaya', 'window screen', 'matchstick', 'strainer', 'flagpole']"
66,Cro_v05_butterfly_ILSVRC2012_val_00013795_cs.jpg,crossword puzzle,"['crossword puzzle', 'jigsaw puzzle', 'strainer', 'web site', 'envelope']"
67,Cro_v05_chair_ILSVRC2012_val_00012771_cs.jpg,screw,"['screw', 'tripod', 'nail', 'strainer', 'matchstick']"
68,Cro_v05_hippopotamus_ILSVRC2012_val_00038747_cs.jpg,envelope,"['envelope', 'screw', 'web site', 'strainer', 'crossword puzzle']"
69,Cro_v05_flower_ILSVRC2012_val_00039137_cs.jpg,crossword puzzle,"['crossword puzzle', 'strainer', 'microphone', 'jigsaw puzzle', 'Petri dish']"
70,Cro_v05_hippopotamus_ILSVRC2012_val_00006991_cs.jpg,crossword puzzle,"['crossword puzzle', 'menu', 'web site', 'solar dish', 'envelope']"
