,image_path,top1_class,top5_class
0,Cro_v07_turtle_ILSVRC2012_val_00049782_cd.jpg,wall clock,"['wall clock', 'handkerchief', 'bib', 'bottlecap', 'mailbag']"
1,Cro_v07_bear_ILSVRC2012_val_00031906_cd.jpg,jigsaw puzzle,"['jigsaw puzzle', 'screw', 'hair slide', 'wall clock', 'knot']"
2,Cro_v07_bird_ILSVRC2012_val_00030545_cd.jpg,airship,"['airship', 'wall clock', 'screw', 'nail', 'aircraft carrier']"
3,Cro_v07_mug_ILSVRC2012_val_00020276_cd.jpg,strainer,"['strainer', 'wall clock', 'screw', 'jigsaw puzzle', 'bottlecap']"
4,Cro_v07_snake_ILSVRC2012_val_00006751_cd.jpg,necklace,"['necklace', 'screw', 'dial telephone', 'chain', 'centipede']"
5,Cro_v07_snake_ILSVRC2012_val_00013400_cd.jpg,jigsaw puzzle,"['jigsaw puzzle', 'wall clock', 'screw', 'hair slide', 'Christmas stocking']"
6,Cro_v07_car_ILSVRC2012_val_00005456_cd.jpg,jigsaw puzzle,"['jigsaw puzzle', 'wall clock', 'strainer', 'solar dish', 'nail']"
7,Cro_v07_swine_ILSVRC2012_val_00031491_cd.jpg,stole,"['stole', 'jigsaw puzzle', 'ear', 'screw', 'Christmas stocking']"
8,Cro_v07_squirrel_ILSVRC2012_val_00023383_cd.jpg,wall clock,"['wall clock', 'jigsaw puzzle', 'window screen', 'prayer rug', 'Christmas stocking']"
9,Cro_v07_monkey_ILSVRC2012_val_00027323_cd.jpg,screw,"['screw', 'necklace', 'knot', 'abaya', 'hair slide']"
10,Cro_v07_bear_ILSVRC2012_val_00038263_cd.jpg,jigsaw puzzle,"['jigsaw puzzle', 'wall clock', 'window screen', 'solar dish', 'stole']"
11,Cro_v07_airplane_ILSVRC2012_val_00023781_cd.jpg,screw,"['screw', 'warplane', 'airship', 'chain saw', 'dogsled']"
12,Cro_v07_spider_ILSVRC2012_val_00026030_cd.jpg,spider web,"['spider web', 'screw', 'necklace', 'warplane', 'chain saw']"
13,Cro_v07_lobster_ILSVRC2012_val_00047059_cd.jpg,jigsaw puzzle,"['jigsaw puzzle', 'screw', 'honeycomb', 'strainer', 'hair slide']"
14,Cro_v07_flower_ILSVRC2012_val_00022139_cd.jpg,wall clock,"['wall clock', 'jigsaw puzzle', 'strainer', 'window screen', 'screw']"
15,Cro_v07_crab_ILSVRC2012_val_00011922_cd.jpg,screw,"['screw', 'chain saw', 'jigsaw puzzle', 'airship', 'window screen']"
16,Cro_v07_squirrel_ILSVRC2012_val_00035501_cd.jpg,screw,"['screw', 'nail', 'wall clock', 'analog clock', 'strainer']"
17,Cro_v07_spider_ILSVRC2012_val_00039661_cd.jpg,warplane,"['warplane', 'crane', 'screw', 'chain saw', 'ski']"
18,Cro_v07_mushroom_ILSVRC2012_val_00040625_cd.jpg,screw,"['screw', 'wall clock', 'nail', 'stole', 'crane']"
19,Cro_v07_flower_ILSVRC2012_val_00048934_cd.jpg,jigsaw puzzle,"['jigsaw puzzle', 'wall clock', 'strainer', 'screw', 'airship']"
20,Cro_v07_hammer_ILSVRC2012_val_00001110_cd.jpg,screw,"['screw', 'oboe', 'crane', 'corkscrew', 'wall clock']"
21,Cro_v07_airplane_ILSVRC2012_val_00011168_cd.jpg,screw,"['screw', 'ski', 'jigsaw puzzle', 'airship', 'hair slide']"
22,Cro_v07_flower_ILSVRC2012_val_00039137_cd.jpg,wall clock,"['wall clock', 'jigsaw puzzle', 'stole', 'screw', 'strainer']"
23,Cro_v07_camel_ILSVRC2012_val_00011354_cd.jpg,jigsaw puzzle,"['jigsaw puzzle', 'wall clock', 'screw', 'stole', 'strainer']"
24,Cro_v07_hammer_ILSVRC2012_val_00003387_cd.jpg,jigsaw puzzle,"['jigsaw puzzle', 'hair slide', 'chain saw', 'screw', 'strainer']"
25,Cro_v07_dog_ILSVRC2012_val_00028881_cd.jpg,jigsaw puzzle,"['jigsaw puzzle', 'American alligator', 'wall clock', 'screw', 'abaya']"
26,Cro_v07_rabbit_ILSVRC2012_val_00013125_cd.jpg,wall clock,"['wall clock', 'screw', 'vase', 'airship', 'jigsaw puzzle']"
27,Cro_v07_gun_ILSVRC2012_val_00018910_cd.jpg,jigsaw puzzle,"['jigsaw puzzle', 'screw', 'airship', 'chain saw', 'dogsled']"
28,Cro_v07_fish_ILSVRC2012_val_00032417_cd.jpg,nail,"['nail', 'strainer', 'chain saw', 'wall clock', 'jigsaw puzzle']"
29,Cro_v07_squirrel_ILSVRC2012_val_00042981_cd.jpg,jigsaw puzzle,"['jigsaw puzzle', 'wall clock', 'stole', 'screw', 'American alligator']"
30,Cro_v07_butterfly_ILSVRC2012_val_00025307_cd.jpg,jigsaw puzzle,"['jigsaw puzzle', 'solar dish', 'wall clock', 'stole', 'strainer']"
31,Cro_v07_snail_ILSVRC2012_val_00001959_cd.jpg,screw,"['screw', 'chain saw', 'strainer', 'nail', 'solar dish']"
32,Cro_v07_chair_ILSVRC2012_val_00004120_cd.jpg,screw,"['screw', 'knot', 'pick', 'wall clock', 'analog clock']"
33,Cro_v07_bird_ILSVRC2012_val_00028363_cd.jpg,airship,"['airship', 'wall clock', 'jigsaw puzzle', 'screw', 'hair slide']"
34,Cro_v07_bee_ILSVRC2012_val_00017418_cd.jpg,screw,"['screw', 'honeycomb', 'jigsaw puzzle', 'airship', 'hair slide']"
35,Cro_v07_guitar_ILSVRC2012_val_00021556_cd.jpg,screw,"['screw', 'aircraft carrier', 'wall clock', 'warplane', 'airship']"
36,Cro_v07_bellpepper_ILSVRC2012_val_00000423_cd.jpg,wall clock,"['wall clock', 'stole', 'strainer', 'ear', 'bib']"
37,Cro_v07_snake_ILSVRC2012_val_00014926_cd.jpg,screw,"['screw', 'chain saw', 'knot', 'hair slide', 'nail']"
38,Cro_v07_acorn_ILSVRC2012_val_00031536_cd.jpg,jigsaw puzzle,"['jigsaw puzzle', 'wall clock', 'solar dish', 'honeycomb', 'strainer']"
39,Cro_v07_chair_ILSVRC2012_val_00041720_cd.jpg,screw,"['screw', 'jigsaw puzzle', 'wall clock', 'honeycomb', 'binder']"
40,Cro_v07_snake_ILSVRC2012_val_00024301_cd.jpg,screw,"['screw', 'centipede', 'corkscrew', 'nematode', 'necklace']"
41,Cro_v07_broccoli_ILSVRC2012_val_00019851_cd.jpg,strainer,"['strainer', 'screw', 'jigsaw puzzle', 'honeycomb', 'wall clock']"
42,Cro_v07_camel_ILSVRC2012_val_00006200_cd.jpg,screw,"['screw', 'airship', 'wall clock', 'hair slide', 'warplane']"
43,Cro_v07_camel_ILSVRC2012_val_00003409_cd.jpg,screw,"['screw', 'jigsaw puzzle', 'nail', 'American alligator', 'abaya']"
44,Cro_v07_dog_ILSVRC2012_val_00030058_cd.jpg,wall clock,"['wall clock', 'jigsaw puzzle', 'stole', 'solar dish', 'West Highland white terrier']"
45,Cro_v07_bellpepper_ILSVRC2012_val_00048089_cd.jpg,jigsaw puzzle,"['jigsaw puzzle', 'wall clock', 'stole', 'Christmas stocking', 'handkerchief']"
46,Cro_v07_butterfly_ILSVRC2012_val_00035074_cd.jpg,wall clock,"['wall clock', 'honeycomb', 'jigsaw puzzle', 'airship', 'screw']"
47,Cro_v07_turtle_ILSVRC2012_val_00024666_cd.jpg,jigsaw puzzle,"['jigsaw puzzle', 'wall clock', 'strainer', 'airship', 'honeycomb']"
48,Cro_v07_horse_ILSVRC2012_val_00011600_cd.jpg,wall clock,"['wall clock', 'screw', 'American alligator', 'jigsaw puzzle', 'analog clock']"
49,Cro_v07_frog_ILSVRC2012_val_00010287_cd.jpg,jigsaw puzzle,"['jigsaw puzzle', 'wall clock', 'solar dish', 'stole', 'handkerchief']"
50,Cro_v07_acorn_ILSVRC2012_val_00028557_cd.jpg,wall clock,"['wall clock', 'stole', 'jigsaw puzzle', 'strainer', 'honeycomb']"
51,Cro_v07_banana_ILSVRC2012_val_00049606_cd.jpg,strainer,"['strainer', 'necklace', 'stole', 'American alligator', 'screw']"
52,Cro_v07_mug_ILSVRC2012_val_00027194_cd.jpg,wall clock,"['wall clock', 'strainer', 'stole', 'nail', 'jigsaw puzzle']"
53,Cro_v07_flower_ILSVRC2012_val_00013936_cd.jpg,wall clock,"['wall clock', 'jigsaw puzzle', 'strainer', 'airship', 'screw']"
54,Cro_v07_guitar_ILSVRC2012_val_00036762_cd.jpg,screw,"['screw', 'aircraft carrier', 'wall clock', 'analog clock', 'nail']"
55,Cro_v07_crocodilian_ILSVRC2012_val_00038287_cd.jpg,screw,"['screw', 'nail', 'wall clock', 'coil', 'analog clock']"
56,Cro_v07_crab_ILSVRC2012_val_00008705_cd.jpg,screw,"['screw', 'airship', 'jigsaw puzzle', 'chain saw', 'nail']"
57,Cro_v07_squirrel_ILSVRC2012_val_00048792_cd.jpg,jigsaw puzzle,"['jigsaw puzzle', 'stole', 'wall clock', 'Christmas stocking', 'prayer rug']"
58,Cro_v07_chair_ILSVRC2012_val_00001953_cd.jpg,aircraft carrier,"['aircraft carrier', 'white stork', 'screw', 'jigsaw puzzle', 'warplane']"
59,Cro_v07_squirrel_ILSVRC2012_val_00024584_cd.jpg,screw,"['screw', 'hair slide', 'American alligator', 'airship', 'knot']"
60,Cro_v07_mushroom_ILSVRC2012_val_00039698_cd.jpg,wall clock,"['wall clock', 'jigsaw puzzle', 'screw', 'knot', 'strainer']"
61,Cro_v07_airplane_ILSVRC2012_val_00033920_cd.jpg,screw,"['screw', 'warplane', 'airship', 'dogsled', 'ski']"
62,Cro_v07_camel_ILSVRC2012_val_00013553_cd.jpg,jigsaw puzzle,"['jigsaw puzzle', 'nail', 'wall clock', 'strainer', 'screw']"
63,Cro_v07_lobster_ILSVRC2012_val_00002502_cd.jpg,American alligator,"['American alligator', 'strainer', 'hair slide', 'airship', 'warplane']"
64,Cro_v07_gun_ILSVRC2012_val_00016796_cd.jpg,screw,"['screw', 'hair slide', 'jigsaw puzzle', 'wall clock', 'nail']"
65,Cro_v07_snail_ILSVRC2012_val_00046248_cd.jpg,screw,"['screw', 'wall clock', 'airship', 'strainer', 'honeycomb']"
66,Cro_v07_flower_ILSVRC2012_val_00019320_cd.jpg,jigsaw puzzle,"['jigsaw puzzle', 'wall clock', 'strainer', 'screw', 'honeycomb']"
67,Cro_v07_pineapple_ILSVRC2012_val_00012582_cd.jpg,wall clock,"['wall clock', 'jigsaw puzzle', 'airship', 'lakeside', 'solar dish']"
68,Cro_v07_gun_ILSVRC2012_val_00012180_cd.jpg,jigsaw puzzle,"['jigsaw puzzle', 'screw', 'wall clock', 'strainer', 'knot']"
69,Cro_v07_crocodilian_ILSVRC2012_val_00038647_cd.jpg,jigsaw puzzle,"['jigsaw puzzle', 'wall clock', 'envelope', 'airship', 'window screen']"
70,Cro_v07_bird_ILSVRC2012_val_00007153_cd.jpg,wall clock,"['wall clock', 'jigsaw puzzle', 'strainer', 'lampshade', 'solar dish']"
71,Cro_v07_broccoli_ILSVRC2012_val_00027637_cd.jpg,jigsaw puzzle,"['jigsaw puzzle', 'screw', 'strainer', 'honeycomb', 'wall clock']"
72,Cro_v07_crab_ILSVRC2012_val_00034670_cd.jpg,jigsaw puzzle,"['jigsaw puzzle', 'screw', 'airship', 'warplane', 'hair slide']"
73,Cro_v07_mug_ILSVRC2012_val_00025548_cd.jpg,strainer,"['strainer', 'jigsaw puzzle', 'solar dish', 'wall clock', 'apron']"
74,Cro_v07_butterfly_ILSVRC2012_val_00015608_cd.jpg,jigsaw puzzle,"['jigsaw puzzle', 'wall clock', 'airship', 'solar dish', 'honeycomb']"
75,Cro_v07_cat_ILSVRC2012_val_00000796_cd.jpg,jigsaw puzzle,"['jigsaw puzzle', 'wall clock', 'window screen', 'stole', 'handkerchief']"
76,Cro_v07_cat_ILSVRC2012_val_00001341_cd.jpg,jigsaw puzzle,"['jigsaw puzzle', 'wall clock', 'strainer', 'screw', 'nail']"
77,Cro_v07_fish_ILSVRC2012_val_00021994_cd.jpg,hair slide,"['hair slide', 'screw', 'knot', 'nail', 'strainer']"
78,Cro_v07_shoe_ILSVRC2012_val_00048970_cd.jpg,Christmas stocking,"['Christmas stocking', 'solar dish', 'stole', 'ear', 'hair slide']"
79,Cro_v07_snail_ILSVRC2012_val_00045031_cd.jpg,screw,"['screw', 'strainer', 'knot', 'nail', 'hair slide']"
80,Cro_v07_lobster_ILSVRC2012_val_00028657_cd.jpg,screw,"['screw', 'honeycomb', 'strainer', 'wall clock', 'knot']"
