,image_path,top1_class,top5_class
0,Tex_cat_ILSVRC2012_val_00031180_t.jpg,coral fungus,"['coral fungus', 'sea anemone', 'hen-of-the-woods', 'anemone fish', 'toilet tissue']"
1,Tex_clock_ILSVRC2012_val_00035392_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'stone wall', 'hammerhead', 'hen-of-the-woods', 'chain']"
2,Tex_spider_ILSVRC2012_val_00008805_t.jpg,honeycomb,"['honeycomb', 'chain mail', 'hen-of-the-woods', 'apiary', 'nail']"
3,Tex_bird_ILSVRC2012_val_00004344_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'red-backed sandpiper', 'nail', 'chain', 'king penguin']"
4,Tex_guitar_ILSVRC2012_val_00036762_t.jpg,wool,"['wool', 'velvet', 'stole', 'dishrag', 'sea urchin']"
5,Tex_dryer_ILSVRC2012_val_00038783_t.jpg,tile roof,"['tile roof', 'rifle', 'screw', 'dumbbell', 'chain']"
6,Tex_chair_ILSVRC2012_val_00001953_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'jigsaw puzzle', 'apiary', 'honeycomb', 'ant']"
7,Tex_bellpepper_ILSVRC2012_val_00000423_t.jpg,jellyfish,"['jellyfish', 'conch', 'hen-of-the-woods', 'gyromitra', 'bell pepper']"
8,Tex_microwave_ILSVRC2012_val_00038763_t.jpg,lumbermill,"['lumbermill', 'moving van', 'boathouse', 'turnstile', 'mobile home']"
9,Tex_bee_ILSVRC2012_val_00017418_t.jpg,chain mail,"['chain mail', 'chainlink fence', 'honeycomb', 'safety pin', 'apiary']"
10,Tex_cat_ILSVRC2012_val_00001341_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'velvet', 'bulletproof vest', 'isopod', 'honeycomb']"
11,Tex_guitar_ILSVRC2012_val_00019484_t.jpg,oboe,"['oboe', 'bassoon', 'beer glass', 'sax', 'chain mail']"
12,Tex_flower_ILSVRC2012_val_00013936_t.jpg,shower curtain,"['shower curtain', 'daisy', 'shower cap', 'diaper', 'handkerchief']"
13,Tex_lobster_ILSVRC2012_val_00028657_t.jpg,thatch,"['thatch', 'chain mail', 'tile roof', 'velvet', 'nail']"
14,Tex_broccoli_ILSVRC2012_val_00004207_t.jpg,honeycomb,"['honeycomb', 'hen-of-the-woods', 'chain mail', 'apiary', 'stole']"
15,Tex_helmet_ILSVRC2012_val_00049691_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'chocolate sauce', 'platypus', 'goldfish', 'stingray']"
16,Tex_frog_ILSVRC2012_val_00041279_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'mushroom', 'jigsaw puzzle', 'shoe shop', 'tobacco shop']"
17,Tex_cat_ILSVRC2012_val_00038913_t.jpg,guacamole,"['guacamole', 'head cabbage', 'anemone fish', 'pot', 'nail']"
18,Tex_cabbage_ILSVRC2012_val_00005749_t.jpg,dishrag,"['dishrag', 'tile roof', 'maze', 'honeycomb', 'hen-of-the-woods']"
19,Tex_banana_ILSVRC2012_val_00038819_t.jpg,potpie,"['potpie', 'mashed potato', 'broccoli', 'carbonara', 'pizza']"
20,Tex_crab_ILSVRC2012_val_00003272_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'prayer rug', 'Windsor tie', 'doormat', 'hen-of-the-woods']"
21,Tex_gun_ILSVRC2012_val_00018910_t.jpg,stone wall,"['stone wall', 'jigsaw puzzle', 'tile roof', 'rifle', 'sea lion']"
22,Tex_dryer_ILSVRC2012_val_00013313_t.jpg,starfish,"['starfish', 'brain coral', 'spider web', 'honeycomb', 'velvet']"
23,Tex_crocodilian_ILSVRC2012_val_00037166_t.jpg,stone wall,"['stone wall', 'tile roof', 'worm fence', 'cliff dwelling', 'nail']"
24,Tex_crocodilian_ILSVRC2012_val_00038647_t.jpg,chain mail,"['chain mail', 'tile roof', 'chain', 'hen-of-the-woods', 'nail']"
25,Tex_car_ILSVRC2012_val_00037128_t.jpg,chain mail,"['chain mail', 'tile roof', 'nail', 'chain', 'computer keyboard']"
26,Tex_airplane_ILSVRC2012_val_00023781_t.jpg,projectile,"['projectile', 'missile', 'coho', 'rifle', 'screwdriver']"
27,Tex_monkey_ILSVRC2012_val_00003631_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'gyromitra', 'honeycomb', 'coral fungus', 'isopod']"
28,Tex_bear_ILSVRC2012_val_00031906_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'dishrag', 'wool', 'coral reef', 'chain mail']"
29,Tex_snail_ILSVRC2012_val_00045031_t.jpg,hot pot,"['hot pot', 'grocery store', 'conch', 'wooden spoon', 'hen-of-the-woods']"
30,Tex_clock_ILSVRC2012_val_00028769_t.jpg,sewing machine,"['sewing machine', 'power drill', 'chain saw', 'microwave', 'medicine chest']"
31,Tex_camel_ILSVRC2012_val_00011354_t.jpg,coral fungus,"['coral fungus', 'dough', 'mashed potato', 'rapeseed', 'volcano']"
32,Tex_tiger_ILSVRC2012_val_00030651_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'rock python', 'Windsor tie', 'tobacco shop', 'velvet']"
33,Tex_tiger_ILSVRC2012_val_00005323_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'hen-of-the-woods', 'apiary', 'honeycomb', 'velvet']"
34,Tex_hammer_ILSVRC2012_val_00001110_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'coral fungus', 'hammer', 'hatchet', 'stone wall']"
35,Tex_pineapple_ILSVRC2012_val_00009015_t.jpg,velvet,"['velvet', 'honeycomb', 'doormat', 'stole', 'jigsaw puzzle']"
36,Tex_dog_ILSVRC2012_val_00010378_t.jpg,bubble,"['bubble', 'brain coral', 'sea anemone', 'coral reef', 'beer glass']"
37,Tex_snail_ILSVRC2012_val_00046248_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'dishrag', 'hen-of-the-woods', 'velvet', 'stole']"
38,Tex_bellpepper_ILSVRC2012_val_00048089_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'shoe shop', 'wine bottle', 'honeycomb', 'stone wall']"
39,Tex_tiger_ILSVRC2012_val_00015897_t.jpg,chain mail,"['chain mail', 'hen-of-the-woods', 'jigsaw puzzle', 'apiary', 'tile roof']"
40,Tex_chair_ILSVRC2012_val_00041720_t.jpg,chain mail,"['chain mail', 'hen-of-the-woods', 'oboe', 'pickelhaube', 'nematode']"
41,Tex_microwave_ILSVRC2012_val_00047421_t.jpg,organ,"['organ', 'altar', 'coil', 'bannister', 'fountain']"
42,Tex_cabbage_ILSVRC2012_val_00037102_t.jpg,chain mail,"['chain mail', 'hen-of-the-woods', 'dishrag', 'wool', 'chain']"
43,Tex_microwave_ILSVRC2012_val_00037721_t.jpg,refrigerator,"['refrigerator', 'sewing machine', 'microwave', 'cliff dwelling', 'medicine chest']"
