,image_path,top1_class,top5_class
0,LinFil_tiger_ILSVRC2012_val_00015897_lf.jpg,spider web,"['spider web', 'chainlink fence', 'window screen', 'shower curtain', 'worm fence']"
1,LinFil_crab_ILSVRC2012_val_00008705_lf.jpg,magpie,"['magpie', 'plastic bag', 'vulture', 'chainlink fence', 'howler monkey']"
2,LinFil_dog_ILSVRC2012_val_00012566_lf.jpg,great grey owl,"['great grey owl', 'soccer ball', 'ruffed grouse', 'timber wolf', 'bald eagle']"
3,LinFil_bird_ILSVRC2012_val_00028363_lf.jpg,American alligator,"['American alligator', 'African crocodile', 'leatherback turtle', 'mud turtle', 'terrapin']"
4,LinFil_rabbit_ILSVRC2012_val_00044412_lf.jpg,birdhouse,"['birdhouse', 'park bench', 'barn', 'chain saw', 'American alligator']"
5,LinFil_snake_ILSVRC2012_val_00027631_lf.jpg,maze,"['maze', 'spotlight', 'fountain', 'golf ball', 'seashore']"
6,LinFil_bellpepper_ILSVRC2012_val_00028090_lf.jpg,bald eagle,"['bald eagle', 'vulture', 'magpie', 'plastic bag', 'great grey owl']"
7,LinFil_apple_ILSVRC2012_val_00000023_lf.jpg,envelope,"['envelope', 'binder', 'jersey', 'book jacket', 'laptop']"
8,LinFil_cat_ILSVRC2012_val_00031180_lf.jpg,spider web,"['spider web', 'magpie', 'bald eagle', 'hornbill', 'toucan']"
9,LinFil_hippopotamus_ILSVRC2012_val_00045847_lf.jpg,toucan,"['toucan', 'bald eagle', 'magpie', 'vulture', 'bubble']"
10,LinFil_fish_ILSVRC2012_val_00014195_lf.jpg,coral reef,"['coral reef', 'spider web', 'loupe', 'brain coral', 'African elephant']"
11,LinFil_corn_ILSVRC2012_val_00010495_lf.jpg,chainlink fence,"['chainlink fence', 'honeycomb', 'maze', 'shopping cart', 'puck']"
12,LinFil_cabbage_ILSVRC2012_val_00037102_lf.jpg,chain saw,"['chain saw', 'spider web', 'bald eagle', 'bubble', 'great grey owl']"
13,LinFil_snake_ILSVRC2012_val_00014926_lf.jpg,bannister,"['bannister', 'park bench', 'American alligator', 'birdhouse', 'lakeside']"
14,LinFil_tiger_ILSVRC2012_val_00030651_lf.jpg,spider web,"['spider web', 'great grey owl', 'plastic bag', 'black grouse', 'bannister']"
15,LinFil_hammer_ILSVRC2012_val_00028069_lf.jpg,traffic light,"['traffic light', 'chainlink fence', 'plastic bag', 'pole', 'lakeside']"
16,LinFil_bear_ILSVRC2012_val_00020441_lf.jpg,spider web,"['spider web', 'chain saw', 'great grey owl', 'howler monkey', 'bald eagle']"
17,LinFil_clock_ILSVRC2012_val_00041461_lf.jpg,wall clock,"['wall clock', 'stopwatch', 'analog clock', 'tray', 'book jacket']"
18,LinFil_guitar_ILSVRC2012_val_00029538_lf.jpg,pillow,"['pillow', 'quilt', 'envelope', 'book jacket', 'loupe']"
19,LinFil_pineapple_ILSVRC2012_val_00009015_lf.jpg,bald eagle,"['bald eagle', 'vulture', 'plastic bag', 'magpie', 'proboscis monkey']"
20,LinFil_butterfly_ILSVRC2012_val_00042436_lf.jpg,shower curtain,"['shower curtain', 'quilt', 'handkerchief', 'spider web', 'starfish']"
21,LinFil_butterfly_ILSVRC2012_val_00013795_lf.jpg,bald eagle,"['bald eagle', 'vulture', 'magpie', 'great grey owl', 'toucan']"
22,LinFil_banana_ILSVRC2012_val_00049606_lf.jpg,magpie,"['magpie', 'bald eagle', 'chain saw', 'spider web', 'plastic bag']"
23,LinFil_broccoli_ILSVRC2012_val_00019851_lf.jpg,spider monkey,"['spider monkey', 'park bench', 'swing', 'chainlink fence', 'bubble']"
24,LinFil_hammer_ILSVRC2012_val_00032002_lf.jpg,maze,"['maze', 'prayer rug', 'nail', 'vault', 'triumphal arch']"
25,LinFil_snail_ILSVRC2012_val_00023958_lf.jpg,honeycomb,"['honeycomb', 'maze', 'spider web', 'coil', 'dome']"
26,LinFil_chair_ILSVRC2012_val_00041720_lf.jpg,maze,"['maze', 'comic book', 'jigsaw puzzle', 'book jacket', 'pillow']"
27,LinFil_corn_ILSVRC2012_val_00030375_lf.jpg,maze,"['maze', 'jigsaw puzzle', 'window screen', 'stone wall', 'seashore']"
28,LinFil_fish_ILSVRC2012_val_00021994_lf.jpg,chainlink fence,"['chainlink fence', 'plastic bag', 'magpie', 'maze', 'chain']"
29,LinFil_spider_ILSVRC2012_val_00039661_lf.jpg,park bench,"['park bench', 'tennis ball', 'maze', 'chainlink fence', 'soccer ball']"
30,LinFil_squirrel_ILSVRC2012_val_00048792_lf.jpg,bald eagle,"['bald eagle', 'great grey owl', 'vulture', 'magpie', 'toucan']"
31,LinFil_strawberry_ILSVRC2012_val_00035170_lf.jpg,vulture,"['vulture', 'bald eagle', 'spider web', 'pole', 'white stork']"
32,LinFil_swine_ILSVRC2012_val_00031491_lf.jpg,howler monkey,"['howler monkey', 'spider monkey', 'spider web', 'magpie', 'black grouse']"
33,LinFil_lemon_ILSVRC2012_val_00038325_lf.jpg,bald eagle,"['bald eagle', 'vulture', 'toucan', 'magpie', 'great grey owl']"
34,LinFil_swine_ILSVRC2012_val_00016806_lf.jpg,timber wolf,"['timber wolf', 'coyote', 'white wolf', 'cougar', 'dingo']"
35,LinFil_crocodilian_ILSVRC2012_val_00010826_lf.jpg,maze,"['maze', 'wing', 'lakeside', 'valley', 'park bench']"
36,LinFil_bird_ILSVRC2012_val_00007153_lf.jpg,bald eagle,"['bald eagle', 'park bench', 'vulture', 'magpie', 'great grey owl']"
37,LinFil_swine_ILSVRC2012_val_00014171_lf.jpg,bald eagle,"['bald eagle', 'magpie', 'vulture', 'toucan', 'hornbill']"
38,LinFil_fish_ILSVRC2012_val_00021343_lf.jpg,bald eagle,"['bald eagle', 'park bench', 'vulture', 'magpie', 'howler monkey']"
39,LinFil_monkey_ILSVRC2012_val_00025615_lf.jpg,bald eagle,"['bald eagle', 'howler monkey', 'toucan', 'great grey owl', 'spider monkey']"
40,LinFil_cat_ILSVRC2012_val_00001341_lf.jpg,spider web,"['spider web', 'great grey owl', 'magpie', 'bald eagle', 'plastic bag']"
41,LinFil_mug_ILSVRC2012_val_00025893_lf.jpg,tray,"['tray', 'maze', 'plate rack', 'spider web', 'chain']"
42,LinFil_snake_ILSVRC2012_val_00024301_lf.jpg,brain coral,"['brain coral', 'quilt', 'maze', 'pillow', 'nail']"
43,LinFil_mug_ILSVRC2012_val_00043571_lf.jpg,vase,"['vase', 'pillow', 'mixing bowl', 'spider web', 'coffee mug']"
44,LinFil_lobster_ILSVRC2012_val_00047059_lf.jpg,magpie,"['magpie', 'plastic bag', 'maze', 'bannister', 'birdhouse']"
45,LinFil_rabbit_ILSVRC2012_val_00021667_lf.jpg,great grey owl,"['great grey owl', 'bubble', 'park bench', 'magpie', 'ruffed grouse']"
46,LinFil_helmet_ILSVRC2012_val_00016289_lf.jpg,plastic bag,"['plastic bag', 'spider web', 'book jacket', 'tray', 'paintbrush']"
