,image_path,top1_class,top5_class
0,SilTex_broccoli_ILSVRC2012_val_00043347_st.jpg,broccoli,"['broccoli', 'cauliflower', 'poncho', 'shower curtain', 'head cabbage']"
1,SilTex_acorn_ILSVRC2012_val_00013791_st.jpg,Granny Smith,"['Granny Smith', 'banded gecko', 'African chameleon', 'broccoli', 'head cabbage']"
2,SilTex_dryer_ILSVRC2012_val_00038783_st.jpg,power drill,"['power drill', 'switch', 'spotlight', 'reel', 'hook']"
3,SilTex_frog_ILSVRC2012_val_00014735_st.jpg,triceratops,"['triceratops', 'hen-of-the-woods', 'electric ray', 'coral fungus', 'banded gecko']"
4,SilTex_swine_ILSVRC2012_val_00031491_st.jpg,hog,"['hog', 'Siamese cat', 'Labrador retriever', 'weasel', 'electric ray']"
5,SilTex_airplane_ILSVRC2012_val_00023781_st.jpg,warplane,"['warplane', 'wing', 'snowmobile', 'parachute', 'airliner']"
6,SilTex_dog_ILSVRC2012_val_00046583_st.jpg,breastplate,"['breastplate', 'bow', 'cuirass', 'crutch', 'English springer']"
7,SilTex_cat_ILSVRC2012_val_00013550_st.jpg,triceratops,"['triceratops', 'hen-of-the-woods', 'Irish setter', 'cocker spaniel', 'Sussex spaniel']"
8,SilTex_spider_ILSVRC2012_val_00026030_st.jpg,tick,"['tick', 'harvestman', 'barn spider', 'isopod', 'garden spider']"
9,SilTex_bird_ILSVRC2012_val_00007153_st.jpg,black grouse,"['black grouse', 'goose', 'albatross', 'ptarmigan', 'hen']"
10,SilTex_strawberry_ILSVRC2012_val_00037522_st.jpg,strawberry,"['strawberry', 'sea slug', 'candle', 'stole', 'chocolate sauce']"
11,SilTex_frog_ILSVRC2012_val_00010287_st.jpg,tailed frog,"['tailed frog', 'hen-of-the-woods', 'electric ray', 'spiny lobster', 'stethoscope']"
12,SilTex_acorn_ILSVRC2012_val_00031536_st.jpg,chiton,"['chiton', 'terrapin', 'hen-of-the-woods', 'mud turtle', 'electric ray']"
13,SilTex_fish_ILSVRC2012_val_00021343_st.jpg,warplane,"['warplane', 'projectile', 'hair slide', 'barracouta', 'wing']"
14,SilTex_monkey_ILSVRC2012_val_00003631_st.jpg,titi,"['titi', 'proboscis monkey', 'Saint Bernard', 'wire-haired fox terrier', 'cocker spaniel']"
15,SilTex_snake_ILSVRC2012_val_00006751_st.jpg,sea snake,"['sea snake', 'nematode', 'vine snake', 'night snake', 'sidewinder']"
16,SilTex_guitar_ILSVRC2012_val_00019484_st.jpg,electric guitar,"['electric guitar', 'acoustic guitar', 'joystick', 'muzzle', 'cello']"
17,SilTex_hippopotamus_ILSVRC2012_val_00032449_st.jpg,hippopotamus,"['hippopotamus', 'hog', 'gyromitra', 'triceratops', 'hen-of-the-woods']"
18,SilTex_car_ILSVRC2012_val_00034824_st.jpg,chain,"['chain', 'sports car', 'racer', 'cab', 'stretcher']"
19,SilTex_guitar_ILSVRC2012_val_00021556_st.jpg,banjo,"['banjo', 'electric guitar', 'acoustic guitar', 'drum', 'toilet seat']"
20,SilTex_corn_ILSVRC2012_val_00019250_st.jpg,ear,"['ear', 'corn', 'starfish', 'honeycomb', 'coral fungus']"
21,SilTex_microwave_ILSVRC2012_val_00037721_st.jpg,printer,"['printer', 'photocopier', 'sewing machine', 'cash machine', 'microwave']"
22,SilTex_horse_ILSVRC2012_val_00017358_st.jpg,Rhodesian ridgeback,"['Rhodesian ridgeback', 'English foxhound', 'Saluki', 'whippet', 'bloodhound']"
23,SilTex_lemon_ILSVRC2012_val_00045149_st.jpg,sea slug,"['sea slug', 'honeycomb', 'corn', 'head cabbage', 'dough']"
24,SilTex_bird_ILSVRC2012_val_00030545_st.jpg,electric ray,"['electric ray', 'stole', 'hen-of-the-woods', 'hair slide', 'English setter']"
25,SilTex_dryer_ILSVRC2012_val_00013313_st.jpg,hair slide,"['hair slide', 'velvet', 'holster', 'plane', 'power drill']"
26,SilTex_banana_ILSVRC2012_val_00046575_st.jpg,knot,"['knot', 'stole', 'hair slide', 'swab', 'sleeping bag']"
27,SilTex_broccoli_ILSVRC2012_val_00027637_st.jpg,broccoli,"['broccoli', 'head cabbage', 'cauliflower', 'meat loaf', 'hair slide']"
28,SilTex_dog_ILSVRC2012_val_00012566_st.jpg,triceratops,"['triceratops', 'golden retriever', 'badger', 'hen-of-the-woods', 'Pekinese']"
29,SilTex_camel_ILSVRC2012_val_00013553_st.jpg,hen-of-the-woods,"['hen-of-the-woods', 'Siamese cat', 'Labrador retriever', 'pug', 'meerkat']"
30,SilTex_rabbit_ILSVRC2012_val_00044412_st.jpg,hen-of-the-woods,"['hen-of-the-woods', 'mask', 'candle', 'wool', 'chiton']"
31,SilTex_helmet_ILSVRC2012_val_00032342_st.jpg,crash helmet,"['crash helmet', 'oxygen mask', 'ladle', 'football helmet', 'bolo tie']"
32,SilTex_dryer_ILSVRC2012_val_00027635_st.jpg,muzzle,"['muzzle', 'holster', 'scabbard', 'knee pad', 'whistle']"
33,SilTex_rabbit_ILSVRC2012_val_00027435_st.jpg,hen-of-the-woods,"['hen-of-the-woods', 'lynx', 'snow leopard', 'tabby', 'sea slug']"
34,SilTex_lemon_ILSVRC2012_val_00028823_st.jpg,honeycomb,"['honeycomb', 'shower cap', 'sea slug', 'stinkhorn', 'orange']"
35,SilTex_microwave_ILSVRC2012_val_00042691_st.jpg,restaurant,"['restaurant', 'tray', 'photocopier', 'spotlight', 'sewing machine']"
36,SilTex_strawberry_ILSVRC2012_val_00035170_st.jpg,strawberry,"['strawberry', 'candle', 'Windsor tie', 'tray', 'envelope']"
37,SilTex_swine_ILSVRC2012_val_00014171_st.jpg,hog,"['hog', 'gyromitra', 'hen-of-the-woods', 'electric ray', 'weasel']"
38,SilTex_camel_ILSVRC2012_val_00003409_st.jpg,triceratops,"['triceratops', 'Arabian camel', 'African hunting dog', 'Airedale', 'Indian elephant']"
39,SilTex_squirrel_ILSVRC2012_val_00048792_st.jpg,Norwich terrier,"['Norwich terrier', 'hen-of-the-woods', 'Norfolk terrier', 'Airedale', 'Border terrier']"
40,SilTex_crocodilian_ILSVRC2012_val_00010826_st.jpg,knot,"['knot', 'chain', 'ant', 'banded gecko', 'volcano']"
41,SilTex_turtle_ILSVRC2012_val_00024666_st.jpg,stole,"['stole', 'triceratops', 'wool', 'bonnet', 'electric ray']"
42,SilTex_cabbage_ILSVRC2012_val_00007752_st.jpg,head cabbage,"['head cabbage', 'cauliflower', 'shower cap', 'broccoli', 'Dutch oven']"
43,SilTex_elephant_ILSVRC2012_val_00011247_st.jpg,triceratops,"['triceratops', 'basset', 'Greater Swiss Mountain dog', 'beagle', 'kelpie']"
44,SilTex_rabbit_ILSVRC2012_val_00006108_st.jpg,gyromitra,"['gyromitra', 'hen-of-the-woods', 'triceratops', 'sea slug', 'candle']"
45,SilTex_squirrel_ILSVRC2012_val_00035501_st.jpg,electric ray,"['electric ray', 'chiton', 'three-toed sloth', 'fox squirrel', 'banded gecko']"
46,SilTex_shoe_ILSVRC2012_val_00020303_st.jpg,bow,"['bow', 'violin', 'muzzle', 'half track', 'cello']"
47,SilTex_lobster_ILSVRC2012_val_00002502_st.jpg,American lobster,"['American lobster', 'crayfish', 'centipede', 'isopod', 'spiny lobster']"
48,SilTex_frog_ILSVRC2012_val_00022660_st.jpg,hen-of-the-woods,"['hen-of-the-woods', 'head cabbage', 'sea slug', 'mushroom', 'bee']"
49,SilTex_flower_ILSVRC2012_val_00019320_st.jpg,banded gecko,"['banded gecko', 'corn', 'daisy', 'conch', 'starfish']"
