,image_path,top1_class,top5_class
0,Cro5dva_v05_gun_ILSVRC2012_val_00016796_cs.jpg,warplane,"['warplane', 'envelope', 'aircraft carrier', 'wing', 'parachute']"
1,Cro5dva_v05_broccoli_ILSVRC2012_val_00027637_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'nail', 'strainer', 'hand blower', 'airship']"
2,Cro5dva_v05_dog_ILSVRC2012_val_00030058_cs.jpg,thimble,"['thimble', 'chain mail', 'nail', 'microphone', 'envelope']"
3,Cro5dva_v05_turtle_ILSVRC2012_val_00049782_cs.jpg,envelope,"['envelope', 'nail', 'paper towel', 'doormat', 'strainer']"
4,Cro5dva_v05_crocodilian_ILSVRC2012_val_00038647_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'envelope', 'airship', 'warplane', 'nematode']"
5,Cro5dva_v05_snail_ILSVRC2012_val_00023958_cs.jpg,envelope,"['envelope', 'airship', 'warplane', 'strainer', 'hammerhead']"
6,Cro5dva_v05_flower_ILSVRC2012_val_00048934_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'crossword puzzle', 'cup', 'envelope', 'strainer']"
7,Cro5dva_v05_chair_ILSVRC2012_val_00001953_cs.jpg,warplane,"['warplane', 'kite', 'nematode', 'space shuttle', 'aircraft carrier']"
8,Cro5dva_v05_banana_ILSVRC2012_val_00049606_cs.jpg,nematode,"['nematode', 'hook', 'banana', 'envelope', 'cup']"
9,Cro5dva_v05_pineapple_ILSVRC2012_val_00029522_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'window screen', 'crossword puzzle', 'envelope', 'web site']"
10,Cro5dva_v05_horse_ILSVRC2012_val_00017358_cs.jpg,envelope,"['envelope', 'jigsaw puzzle', 'book jacket', 'paper towel', 'handkerchief']"
11,Cro5dva_v05_elephant_ILSVRC2012_val_00040375_cs.jpg,Indian elephant,"['Indian elephant', 'African elephant', 'jigsaw puzzle', 'tusker', 'pencil sharpener']"
12,Cro5dva_v05_mug_ILSVRC2012_val_00027194_cs.jpg,cup,"['cup', 'coffee mug', 'measuring cup', 'water jug', 'pitcher']"
13,Cro5dva_v05_tiger_ILSVRC2012_val_00048186_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'envelope', 'paper towel', 'web site', 'crossword puzzle']"
14,Cro5dva_v05_fish_ILSVRC2012_val_00032417_cs.jpg,warplane,"['warplane', 'aircraft carrier', 'airship', 'strainer', 'envelope']"
15,Cro5dva_v05_camel_ILSVRC2012_val_00015872_cs.jpg,Arabian camel,"['Arabian camel', 'abaya', 'llama', 'muzzle', 'Indian elephant']"
16,Cro5dva_v05_crocodilian_ILSVRC2012_val_00037166_cs.jpg,warplane,"['warplane', 'airship', 'nail', 'envelope', 'nematode']"
17,Cro5dva_v05_lobster_ILSVRC2012_val_00036759_cs.jpg,warplane,"['warplane', 'aircraft carrier', 'ant', 'oboe', 'space shuttle']"
18,Cro5dva_v05_dog_ILSVRC2012_val_00028881_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'Kerry blue terrier', 'envelope', 'Bouvier des Flandres', 'strainer']"
19,Cro5dva_v05_snail_ILSVRC2012_val_00046248_cs.jpg,cup,"['cup', 'envelope', 'strainer', 'airship', 'bubble']"
20,Cro5dva_v05_airplane_ILSVRC2012_val_00049097_cs.jpg,warplane,"['warplane', 'aircraft carrier', 'wing', 'airship', 'airliner']"
21,Cro5dva_v05_swine_ILSVRC2012_val_00011892_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'window screen', 'crossword puzzle', 'web site', 'envelope']"
22,Cro5dva_v05_dog_ILSVRC2012_val_00012566_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'airship', 'warplane', 'strainer', 'envelope']"
23,Cro5dva_v05_shoe_ILSVRC2012_val_00048970_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'running shoe', 'hook', 'shoe shop', 'nail']"
24,Cro5dva_v05_snake_ILSVRC2012_val_00014926_cs.jpg,nematode,"['nematode', 'hook', 'matchstick', 'nail', 'safety pin']"
25,Cro5dva_v05_rabbit_ILSVRC2012_val_00013125_cs.jpg,hare,"['hare', 'paper towel', 'envelope', 'handkerchief', 'wood rabbit']"
