,image_path,top1_class,top5_class
0,Cro_v07_turtle_ILSVRC2012_val_00049782_cd.jpg,wool,"['wool', 'chain mail', 'stole', 'hoopskirt', 'isopod']"
1,Cro_v07_bear_ILSVRC2012_val_00031906_cd.jpg,Kerry blue terrier,"['Kerry blue terrier', 'Sealyham terrier', 'komondor', 'wool', 'stole']"
2,Cro_v07_bird_ILSVRC2012_val_00030545_cd.jpg,maze,"['maze', 'envelope', 'doormat', 'fire screen', 'window screen']"
3,Cro_v07_mug_ILSVRC2012_val_00020276_cd.jpg,chain mail,"['chain mail', 'pick', 'wool', 'prayer rug', 'honeycomb']"
4,Cro_v07_snake_ILSVRC2012_val_00006751_cd.jpg,whistle,"['whistle', 'pick', 'loupe', 'lipstick', 'nematode']"
5,Cro_v07_snake_ILSVRC2012_val_00013400_cd.jpg,Petri dish,"['Petri dish', 'envelope', 'pick', 'pillow', 'parachute']"
6,Cro_v07_car_ILSVRC2012_val_00005456_cd.jpg,chain mail,"['chain mail', 'wool', 'stole', 'honeycomb', 'poncho']"
7,Cro_v07_swine_ILSVRC2012_val_00031491_cd.jpg,airship,"['airship', 'lakeside', 'sandbar', 'parachute', 'matchstick']"
8,Cro_v07_squirrel_ILSVRC2012_val_00023383_cd.jpg,chain mail,"['chain mail', 'window screen', 'honeycomb', 'wool', 'jigsaw puzzle']"
9,Cro_v07_monkey_ILSVRC2012_val_00027323_cd.jpg,Kerry blue terrier,"['Kerry blue terrier', 'Lakeland terrier', 'standard poodle', 'Irish water spaniel', 'curly-coated retriever']"
10,Cro_v07_bear_ILSVRC2012_val_00038263_cd.jpg,chain mail,"['chain mail', 'wool', 'stole', 'honeycomb', 'poncho']"
11,Cro_v07_airplane_ILSVRC2012_val_00023781_cd.jpg,envelope,"['envelope', 'American alligator', 'lakeside', 'screw', 'rifle']"
12,Cro_v07_spider_ILSVRC2012_val_00026030_cd.jpg,rifle,"['rifle', 'maze', 'assault rifle', 'envelope', 'pillow']"
13,Cro_v07_lobster_ILSVRC2012_val_00047059_cd.jpg,envelope,"['envelope', 'pillow', 'jigsaw puzzle', 'maze', 'airship']"
14,Cro_v07_flower_ILSVRC2012_val_00022139_cd.jpg,jigsaw puzzle,"['jigsaw puzzle', 'chain mail', 'window screen', 'wool', 'honeycomb']"
15,Cro_v07_crab_ILSVRC2012_val_00011922_cd.jpg,envelope,"['envelope', 'pick', 'fire screen', 'pillow', 'laptop']"
16,Cro_v07_squirrel_ILSVRC2012_val_00035501_cd.jpg,window screen,"['window screen', 'envelope', 'banded gecko', 'handkerchief', 'jigsaw puzzle']"
17,Cro_v07_spider_ILSVRC2012_val_00039661_cd.jpg,envelope,"['envelope', 'tray', 'tripod', 'binder', 'rifle']"
18,Cro_v07_mushroom_ILSVRC2012_val_00040625_cd.jpg,chain mail,"['chain mail', 'stole', 'prayer rug', 'parachute', 'screw']"
19,Cro_v07_flower_ILSVRC2012_val_00048934_cd.jpg,jigsaw puzzle,"['jigsaw puzzle', 'window screen', 'fire screen', 'airship', 'Scotch terrier']"
20,Cro_v07_hammer_ILSVRC2012_val_00001110_cd.jpg,binder,"['binder', 'oboe', 'ski', 'chain mail', 'screw']"
21,Cro_v07_airplane_ILSVRC2012_val_00011168_cd.jpg,American alligator,"['American alligator', 'African crocodile', 'lakeside', 'rule', 'canoe']"
22,Cro_v07_flower_ILSVRC2012_val_00039137_cd.jpg,poncho,"['poncho', 'chain mail', 'stole', 'wool', 'honeycomb']"
23,Cro_v07_camel_ILSVRC2012_val_00011354_cd.jpg,jigsaw puzzle,"['jigsaw puzzle', 'chain mail', 'doormat', 'envelope', 'laptop']"
24,Cro_v07_hammer_ILSVRC2012_val_00003387_cd.jpg,Kerry blue terrier,"['Kerry blue terrier', 'Irish water spaniel', 'curly-coated retriever', 'sea cucumber', 'pick']"
25,Cro_v07_dog_ILSVRC2012_val_00028881_cd.jpg,Kerry blue terrier,"['Kerry blue terrier', 'chain mail', 'jigsaw puzzle', 'Irish water spaniel', 'wool']"
26,Cro_v07_rabbit_ILSVRC2012_val_00013125_cd.jpg,chain mail,"['chain mail', 'window screen', 'stole', 'envelope', 'jigsaw puzzle']"
27,Cro_v07_gun_ILSVRC2012_val_00018910_cd.jpg,window screen,"['window screen', 'envelope', 'jigsaw puzzle', 'rifle', 'lakeside']"
28,Cro_v07_fish_ILSVRC2012_val_00032417_cd.jpg,stole,"['stole', 'chain mail', 'komondor', 'kuvasz', 'stone wall']"
29,Cro_v07_squirrel_ILSVRC2012_val_00042981_cd.jpg,window screen,"['window screen', 'Kerry blue terrier', 'jigsaw puzzle', 'book jacket', 'envelope']"
30,Cro_v07_butterfly_ILSVRC2012_val_00025307_cd.jpg,chain mail,"['chain mail', 'wool', 'Petri dish', 'stole', 'airship']"
31,Cro_v07_snail_ILSVRC2012_val_00001959_cd.jpg,envelope,"['envelope', 'jigsaw puzzle', 'pick', 'airship', 'chain mail']"
32,Cro_v07_chair_ILSVRC2012_val_00004120_cd.jpg,pillow,"['pillow', 'envelope', 'book jacket', 'rifle', 'handkerchief']"
33,Cro_v07_bird_ILSVRC2012_val_00028363_cd.jpg,stole,"['stole', 'American alligator', 'maze', 'pick', 'trilobite']"
34,Cro_v07_bee_ILSVRC2012_val_00017418_cd.jpg,envelope,"['envelope', 'laptop', 'book jacket', 'pick', 'parachute']"
35,Cro_v07_guitar_ILSVRC2012_val_00021556_cd.jpg,window screen,"['window screen', 'binder', 'book jacket', 'envelope', 'airship']"
36,Cro_v07_bellpepper_ILSVRC2012_val_00000423_cd.jpg,chain mail,"['chain mail', 'stole', 'wool', 'honeycomb', 'poncho']"
37,Cro_v07_snake_ILSVRC2012_val_00014926_cd.jpg,chain,"['chain', 'pick', 'maze', 'bib', 'loupe']"
38,Cro_v07_acorn_ILSVRC2012_val_00031536_cd.jpg,sea slug,"['sea slug', 'isopod', 'electric ray', 'radio telescope', 'Petri dish']"
39,Cro_v07_chair_ILSVRC2012_val_00041720_cd.jpg,chain mail,"['chain mail', 'window screen', 'prayer rug', 'jigsaw puzzle', 'bib']"
40,Cro_v07_snake_ILSVRC2012_val_00024301_cd.jpg,maze,"['maze', 'chain', 'bib', 'envelope', 'abaya']"
41,Cro_v07_broccoli_ILSVRC2012_val_00019851_cd.jpg,jigsaw puzzle,"['jigsaw puzzle', 'Kerry blue terrier', 'chain mail', 'envelope', 'fire screen']"
42,Cro_v07_camel_ILSVRC2012_val_00006200_cd.jpg,lakeside,"['lakeside', 'chain saw', 'snowmobile', 'maze', 'dogsled']"
43,Cro_v07_camel_ILSVRC2012_val_00003409_cd.jpg,chain mail,"['chain mail', 'prayer rug', 'Kerry blue terrier', 'doormat', 'jigsaw puzzle']"
44,Cro_v07_dog_ILSVRC2012_val_00030058_cd.jpg,stole,"['stole', 'chain mail', 'poncho', 'honeycomb', 'wool']"
45,Cro_v07_bellpepper_ILSVRC2012_val_00048089_cd.jpg,chain mail,"['chain mail', 'wool', 'stole', 'doormat', 'poncho']"
46,Cro_v07_butterfly_ILSVRC2012_val_00035074_cd.jpg,chain mail,"['chain mail', 'honeycomb', 'Petri dish', 'airship', 'prayer rug']"
47,Cro_v07_turtle_ILSVRC2012_val_00024666_cd.jpg,chain mail,"['chain mail', 'wool', 'jigsaw puzzle', 'airship', 'poncho']"
48,Cro_v07_horse_ILSVRC2012_val_00011600_cd.jpg,chain mail,"['chain mail', 'window screen', 'lakeside', 'stole', 'ski']"
49,Cro_v07_frog_ILSVRC2012_val_00010287_cd.jpg,airship,"['airship', 'jigsaw puzzle', 'balloon', 'chain mail', 'honeycomb']"
50,Cro_v07_acorn_ILSVRC2012_val_00028557_cd.jpg,honeycomb,"['honeycomb', 'chain mail', 'stole', 'Petri dish', 'isopod']"
