,image_path,top1_class,top5_class
0,Cro_v07_turtle_ILSVRC2012_val_00049782_cd.jpg,shower cap,"['shower cap', 'strainer', 'wool', 'toilet seat', 'chain mail']"
1,Cro_v07_bear_ILSVRC2012_val_00031906_cd.jpg,jigsaw puzzle,"['jigsaw puzzle', 'wool', 'stole', 'mitten', 'bow tie']"
2,Cro_v07_bird_ILSVRC2012_val_00030545_cd.jpg,airship,"['airship', 'whistle', 'quill', 'jigsaw puzzle', 'aircraft carrier']"
3,Cro_v07_mug_ILSVRC2012_val_00020276_cd.jpg,strainer,"['strainer', 'chain mail', 'nematode', 'jigsaw puzzle', 'prayer rug']"
4,Cro_v07_snake_ILSVRC2012_val_00006751_cd.jpg,chain,"['chain', 'nematode', 'oboe', 'whistle', 'necklace']"
5,Cro_v07_snake_ILSVRC2012_val_00013400_cd.jpg,jigsaw puzzle,"['jigsaw puzzle', 'strainer', 'shower cap', 'toilet seat', 'Petri dish']"
6,Cro_v07_car_ILSVRC2012_val_00005456_cd.jpg,window screen,"['window screen', 'jigsaw puzzle', 'screw', 'prayer rug', 'wool']"
7,Cro_v07_swine_ILSVRC2012_val_00031491_cd.jpg,airship,"['airship', 'quill', 'whistle', 'jigsaw puzzle', 'window screen']"
8,Cro_v07_squirrel_ILSVRC2012_val_00023383_cd.jpg,prayer rug,"['prayer rug', 'wool', 'window screen', 'stole', 'chain mail']"
9,Cro_v07_monkey_ILSVRC2012_val_00027323_cd.jpg,jigsaw puzzle,"['jigsaw puzzle', 'oboe', 'prayer rug', 'honeycomb', 'chain']"
10,Cro_v07_bear_ILSVRC2012_val_00038263_cd.jpg,wool,"['wool', 'prayer rug', 'shower cap', 'poncho', 'chain mail']"
11,Cro_v07_airplane_ILSVRC2012_val_00023781_cd.jpg,aircraft carrier,"['aircraft carrier', 'airship', 'crane', 'warplane', 'lakeside']"
12,Cro_v07_spider_ILSVRC2012_val_00026030_cd.jpg,oboe,"['oboe', 'jigsaw puzzle', 'spider web', 'binder', 'aircraft carrier']"
13,Cro_v07_lobster_ILSVRC2012_val_00047059_cd.jpg,jigsaw puzzle,"['jigsaw puzzle', 'prayer rug', 'crossword puzzle', 'aircraft carrier', 'handkerchief']"
14,Cro_v07_flower_ILSVRC2012_val_00022139_cd.jpg,prayer rug,"['prayer rug', 'jigsaw puzzle', 'wool', 'window screen', 'stole']"
15,Cro_v07_crab_ILSVRC2012_val_00011922_cd.jpg,jigsaw puzzle,"['jigsaw puzzle', 'prayer rug', 'binder', 'handkerchief', 'aircraft carrier']"
16,Cro_v07_squirrel_ILSVRC2012_val_00035501_cd.jpg,oboe,"['oboe', 'whistle', 'screw', 'chain', 'hair slide']"
17,Cro_v07_spider_ILSVRC2012_val_00039661_cd.jpg,aircraft carrier,"['aircraft carrier', 'warplane', 'oboe', 'drilling platform', 'crane']"
18,Cro_v07_mushroom_ILSVRC2012_val_00040625_cd.jpg,oboe,"['oboe', 'lampshade', 'chain', 'stole', 'jersey']"
19,Cro_v07_flower_ILSVRC2012_val_00048934_cd.jpg,jigsaw puzzle,"['jigsaw puzzle', 'aircraft carrier', 'airship', 'prayer rug', 'warplane']"
20,Cro_v07_hammer_ILSVRC2012_val_00001110_cd.jpg,drilling platform,"['drilling platform', 'oboe', 'aircraft carrier', 'crane', 'space shuttle']"
21,Cro_v07_airplane_ILSVRC2012_val_00011168_cd.jpg,airship,"['airship', 'aircraft carrier', 'parachute', 'lakeside', 'jigsaw puzzle']"
22,Cro_v07_flower_ILSVRC2012_val_00039137_cd.jpg,prayer rug,"['prayer rug', 'jigsaw puzzle', 'wool', 'window screen', 'aircraft carrier']"
23,Cro_v07_camel_ILSVRC2012_val_00011354_cd.jpg,jigsaw puzzle,"['jigsaw puzzle', 'prayer rug', 'handkerchief', 'window screen', 'wool']"
24,Cro_v07_hammer_ILSVRC2012_val_00003387_cd.jpg,steel arch bridge,"['steel arch bridge', 'Gila monster', 'banded gecko', 'weasel', 'jigsaw puzzle']"
25,Cro_v07_dog_ILSVRC2012_val_00028881_cd.jpg,jigsaw puzzle,"['jigsaw puzzle', 'prayer rug', 'window screen', 'handkerchief', 'stole']"
26,Cro_v07_rabbit_ILSVRC2012_val_00013125_cd.jpg,airship,"['airship', 'bow tie', 'jigsaw puzzle', 'drilling platform', 'parachute']"
27,Cro_v07_gun_ILSVRC2012_val_00018910_cd.jpg,aircraft carrier,"['aircraft carrier', 'airship', 'jigsaw puzzle', 'lakeside', 'crane']"
28,Cro_v07_fish_ILSVRC2012_val_00032417_cd.jpg,airship,"['airship', 'quill', 'whistle', 'window screen', 'aircraft carrier']"
29,Cro_v07_squirrel_ILSVRC2012_val_00042981_cd.jpg,airship,"['airship', 'jigsaw puzzle', 'aircraft carrier', 'window screen', 'stole']"
