,image_path,top1_class,top5_class
0,Cro_v07_turtle_ILSVRC2012_val_00049782_cd.jpg,stole,"['stole', 'crossword puzzle', 'scoreboard', 'container ship', 'solar dish']"
1,Cro_v07_bear_ILSVRC2012_val_00031906_cd.jpg,stole,"['stole', 'spider web', 'scoreboard', 'window screen', 'Newfoundland']"
2,Cro_v07_bird_ILSVRC2012_val_00030545_cd.jpg,spider web,"['spider web', 'stole', 'poncho', 'scoreboard', 'chainlink fence']"
3,Cro_v07_mug_ILSVRC2012_val_00020276_cd.jpg,spider web,"['spider web', 'window screen', 'stole', 'scoreboard', 'crossword puzzle']"
4,Cro_v07_snake_ILSVRC2012_val_00006751_cd.jpg,oboe,"['oboe', 'screw', 'sea snake', 'electric guitar', 'spider web']"
5,Cro_v07_snake_ILSVRC2012_val_00013400_cd.jpg,crossword puzzle,"['crossword puzzle', 'jigsaw puzzle', 'poncho', 'stole', 'window screen']"
6,Cro_v07_car_ILSVRC2012_val_00005456_cd.jpg,stole,"['stole', 'spider web', 'scoreboard', 'crossword puzzle', 'poncho']"
7,Cro_v07_swine_ILSVRC2012_val_00031491_cd.jpg,stole,"['stole', 'spider web', 'crossword puzzle', 'American black bear', 'chain mail']"
8,Cro_v07_squirrel_ILSVRC2012_val_00023383_cd.jpg,stole,"['stole', 'window screen', 'spider web', 'chain mail', 'crossword puzzle']"
9,Cro_v07_monkey_ILSVRC2012_val_00027323_cd.jpg,screw,"['screw', 'panpipe', 'window screen', 'jigsaw puzzle', 'spider web']"
10,Cro_v07_bear_ILSVRC2012_val_00038263_cd.jpg,crossword puzzle,"['crossword puzzle', 'stole', 'window screen', 'spider web', 'scoreboard']"
11,Cro_v07_airplane_ILSVRC2012_val_00023781_cd.jpg,screw,"['screw', 'spider web', 'seashore', 'airship', 'pajama']"
12,Cro_v07_spider_ILSVRC2012_val_00026030_cd.jpg,oboe,"['oboe', 'spider web', 'seashore', 'barn spider', 'window screen']"
13,Cro_v07_lobster_ILSVRC2012_val_00047059_cd.jpg,spider web,"['spider web', 'crossword puzzle', 'seashore', 'container ship', 'jigsaw puzzle']"
14,Cro_v07_flower_ILSVRC2012_val_00022139_cd.jpg,stole,"['stole', 'poncho', 'crossword puzzle', 'window screen', 'spider web']"
15,Cro_v07_crab_ILSVRC2012_val_00011922_cd.jpg,window screen,"['window screen', 'spider web', 'seashore', 'airship', 'barn spider']"
