,image_path,top1_class,top5_class
0,Lin_pineapple_ILSVRC2012_val_00029522_l.jpg,pineapple,"['pineapple', 'strawberry', 'banana', 'orange', 'cardoon']"
1,Lin_crab_ILSVRC2012_val_00003272_l.jpg,rock crab,"['rock crab', 'Dungeness crab', 'scorpion', 'fiddler crab', 'king crab']"
2,Lin_banana_ILSVRC2012_val_00046575_l.jpg,banana,"['banana', 'platypus', 'hook', 'scabbard', 'knot']"
3,Lin_crab_ILSVRC2012_val_00034670_l.jpg,fiddler crab,"['fiddler crab', 'rock crab', 'king crab', 'Dungeness crab', 'barn spider']"
4,Lin_cabbage_ILSVRC2012_val_00019287_l.jpg,gong,"['gong', 'bearskin', 'face powder', 'frying pan', 'shield']"
5,Lin_crocodilian_ILSVRC2012_val_00038647_l.jpg,American alligator,"['American alligator', 'African crocodile', 'hippopotamus', 'platypus', 'triceratops']"
6,Lin_snail_ILSVRC2012_val_00018951_l.jpg,snail,"['snail', 'chambered nautilus', 'slug', 'conch', 'chiton']"
7,Lin_horse_ILSVRC2012_val_00017358_l.jpg,sorrel,"['sorrel', 'cloak', 'zebra', 'comic book', 'horse cart']"
8,Lin_dryer_ILSVRC2012_val_00044460_l.jpg,hand blower,"['hand blower', 'microphone', 'power drill', 'electric fan', 'hair spray']"
9,Lin_crocodilian_ILSVRC2012_val_00037166_l.jpg,African crocodile,"['African crocodile', 'American alligator', 'platypus', 'alligator lizard', 'sea cucumber']"
10,Lin_squirrel_ILSVRC2012_val_00023383_l.jpg,fox squirrel,"['fox squirrel', 'mink', 'marmot', 'beaver', 'hare']"
11,Lin_mug_ILSVRC2012_val_00043571_l.jpg,coffee mug,"['coffee mug', 'cup', 'whiskey jug', 'goblet', 'soup bowl']"
12,Lin_lobster_ILSVRC2012_val_00017039_l.jpg,American lobster,"['American lobster', 'crayfish', 'spiny lobster', 'Dungeness crab', 'rock crab']"
13,Lin_turtle_ILSVRC2012_val_00047941_l.jpg,terrapin,"['terrapin', 'mud turtle', 'box turtle', 'leatherback turtle', 'loggerhead']"
14,Lin_apple_ILSVRC2012_val_00012232_l.jpg,Granny Smith,"['Granny Smith', 'fig', 'orange', 'custard apple', 'gong']"
15,Lin_dryer_ILSVRC2012_val_00038783_l.jpg,hand blower,"['hand blower', 'power drill', 'electric fan', 'vacuum', 'microphone']"
16,Lin_mushroom_ILSVRC2012_val_00021713_l.jpg,bolete,"['bolete', 'mushroom', 'hen-of-the-woods', 'stinkhorn', 'gyromitra']"
17,Lin_bellpepper_ILSVRC2012_val_00009973_l.jpg,custard apple,"['custard apple', 'hen-of-the-woods', 'gyromitra', 'pomegranate', 'flatworm']"
18,Lin_flower_ILSVRC2012_val_00022139_l.jpg,daisy,"['daisy', 'vase', 'bee', 'pot', 'fly']"
19,Lin_microwave_ILSVRC2012_val_00047421_l.jpg,mousetrap,"['mousetrap', 'modem', 'space heater', 'radio', 'cassette player']"
