,image_path,top1_class,top5_class
0,LinFil_tiger_ILSVRC2012_val_00015897_lf.jpg,chainlink fence,"['chainlink fence', 'picket fence', 'stone wall', 'vulture', 'bittern']"
1,LinFil_crab_ILSVRC2012_val_00008705_lf.jpg,chainlink fence,"['chainlink fence', 'magpie', 'langur', 'bee eater', 'plastic bag']"
2,LinFil_dog_ILSVRC2012_val_00012566_lf.jpg,spider web,"['spider web', 'jigsaw puzzle', 'chainlink fence', 'envelope', 'magpie']"
3,LinFil_bird_ILSVRC2012_val_00028363_lf.jpg,jigsaw puzzle,"['jigsaw puzzle', 'maze', 'spider web', 'chainlink fence', 'volcano']"
4,LinFil_rabbit_ILSVRC2012_val_00044412_lf.jpg,magpie,"['magpie', 'chainlink fence', 'spider web', 'orangutan', 'jigsaw puzzle']"
5,LinFil_snake_ILSVRC2012_val_00027631_lf.jpg,doormat,"['doormat', 'chain', 'honeycomb', 'chain mail', 'shower curtain']"
6,LinFil_bellpepper_ILSVRC2012_val_00028090_lf.jpg,magpie,"['magpie', 'bee eater', 'vulture', 'spider web', 'bald eagle']"
7,LinFil_apple_ILSVRC2012_val_00000023_lf.jpg,bow,"['bow', 'black and gold garden spider', 'envelope', 'nematode', 'necklace']"
8,LinFil_cat_ILSVRC2012_val_00031180_lf.jpg,vulture,"['vulture', 'bee eater', 'bald eagle', 'kite', 'magpie']"
9,LinFil_hippopotamus_ILSVRC2012_val_00045847_lf.jpg,magpie,"['magpie', 'spider web', 'vulture', 'cliff', 'bald eagle']"
10,LinFil_fish_ILSVRC2012_val_00014195_lf.jpg,spider web,"['spider web', 'maze', 'jigsaw puzzle', 'chainlink fence', 'sundial']"
11,LinFil_corn_ILSVRC2012_val_00010495_lf.jpg,jigsaw puzzle,"['jigsaw puzzle', 'indri', 'chainlink fence', 'stone wall', 'colobus']"
12,LinFil_cabbage_ILSVRC2012_val_00037102_lf.jpg,spider web,"['spider web', 'bald eagle', 'cliff', 'obelisk', 'howler monkey']"
13,LinFil_snake_ILSVRC2012_val_00014926_lf.jpg,envelope,"['envelope', 'jigsaw puzzle', 'maze', 'chainlink fence', 'magpie']"
14,LinFil_tiger_ILSVRC2012_val_00030651_lf.jpg,magpie,"['magpie', 'maze', 'chainlink fence', 'partridge', 'spider web']"
15,LinFil_hammer_ILSVRC2012_val_00028069_lf.jpg,chainlink fence,"['chainlink fence', 'jigsaw puzzle', 'magpie', 'vulture', 'bee eater']"
16,LinFil_bear_ILSVRC2012_val_00020441_lf.jpg,lakeside,"['lakeside', 'spider web', 'indri', 'alp', 'cliff']"
17,LinFil_clock_ILSVRC2012_val_00041461_lf.jpg,scale,"['scale', 'jigsaw puzzle', 'barometer', 'envelope', 'comic book']"
18,LinFil_guitar_ILSVRC2012_val_00029538_lf.jpg,shower curtain,"['shower curtain', 'magpie', 'vulture', 'lakeside', 'bee eater']"
19,LinFil_pineapple_ILSVRC2012_val_00009015_lf.jpg,magpie,"['magpie', 'langur', 'bee eater', 'chainlink fence', 'plastic bag']"
20,LinFil_butterfly_ILSVRC2012_val_00042436_lf.jpg,chainlink fence,"['chainlink fence', 'magpie', 'spider web', 'house finch', 'plastic bag']"
21,LinFil_butterfly_ILSVRC2012_val_00013795_lf.jpg,vulture,"['vulture', 'spider web', 'bald eagle', 'magpie', 'kite']"
22,LinFil_banana_ILSVRC2012_val_00049606_lf.jpg,spider web,"['spider web', 'jigsaw puzzle', 'envelope', 'bee eater', 'chainlink fence']"
23,LinFil_broccoli_ILSVRC2012_val_00019851_lf.jpg,chainlink fence,"['chainlink fence', 'jigsaw puzzle', 'spider web', 'colobus', 'white stork']"
24,LinFil_hammer_ILSVRC2012_val_00032002_lf.jpg,maze,"['maze', 'chainlink fence', 'nail', 'jigsaw puzzle', 'crossword puzzle']"
25,LinFil_snail_ILSVRC2012_val_00023958_lf.jpg,spider web,"['spider web', 'maze', 'jigsaw puzzle', 'shower curtain', 'cliff dwelling']"
