,image_path,top1_class,top5_class
0,Cro_v05_gun_ILSVRC2012_val_00016796_cs.jpg,swab,"['swab', 'whistle', 'quill', 'handkerchief', 'tray']"
1,Cro_v05_broccoli_ILSVRC2012_val_00027637_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'crossword puzzle', 'screw', 'window screen', 'loupe']"
2,Cro_v05_dog_ILSVRC2012_val_00030058_cs.jpg,window screen,"['window screen', 'jigsaw puzzle', 'prayer rug', 'handkerchief', 'crossword puzzle']"
3,Cro_v05_turtle_ILSVRC2012_val_00049782_cs.jpg,strainer,"['strainer', 'jigsaw puzzle', 'window screen', 'shower cap', 'crossword puzzle']"
4,Cro_v05_crocodilian_ILSVRC2012_val_00038647_cs.jpg,crossword puzzle,"['crossword puzzle', 'jigsaw puzzle', 'window screen', 'handkerchief', 'prayer rug']"
5,Cro_v05_snail_ILSVRC2012_val_00023958_cs.jpg,crossword puzzle,"['crossword puzzle', 'jigsaw puzzle', 'handkerchief', 'prayer rug', 'envelope']"
6,Cro_v05_flower_ILSVRC2012_val_00048934_cs.jpg,prayer rug,"['prayer rug', 'jigsaw puzzle', 'window screen', 'handkerchief', 'book jacket']"
7,Cro_v05_chair_ILSVRC2012_val_00001953_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'aircraft carrier', 'crossword puzzle', 'prayer rug', 'handkerchief']"
8,Cro_v05_banana_ILSVRC2012_val_00049606_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'airship', 'aircraft carrier', 'loupe', 'drilling platform']"
9,Cro_v05_pineapple_ILSVRC2012_val_00029522_cs.jpg,window screen,"['window screen', 'prayer rug', 'jigsaw puzzle', 'crossword puzzle', 'handkerchief']"
10,Cro_v05_horse_ILSVRC2012_val_00017358_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'crossword puzzle', 'prayer rug', 'handkerchief', 'window screen']"
11,Cro_v05_elephant_ILSVRC2012_val_00040375_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'prayer rug', 'crossword puzzle', 'window screen', 'handkerchief']"
12,Cro_v05_mug_ILSVRC2012_val_00027194_cs.jpg,window screen,"['window screen', 'jigsaw puzzle', 'prayer rug', 'handkerchief', 'wool']"
13,Cro_v05_tiger_ILSVRC2012_val_00048186_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'handkerchief', 'crossword puzzle', 'prayer rug', 'envelope']"
14,Cro_v05_fish_ILSVRC2012_val_00032417_cs.jpg,crossword puzzle,"['crossword puzzle', 'rubber eraser', 'quill', 'screw', 'jigsaw puzzle']"
15,Cro_v05_camel_ILSVRC2012_val_00015872_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'prayer rug', 'window screen', 'handkerchief', 'crossword puzzle']"
16,Cro_v05_crocodilian_ILSVRC2012_val_00037166_cs.jpg,crossword puzzle,"['crossword puzzle', 'loupe', 'mousetrap', 'chainlink fence', 'quill']"
17,Cro_v05_lobster_ILSVRC2012_val_00036759_cs.jpg,crane,"['crane', 'jigsaw puzzle', 'aircraft carrier', 'handkerchief', 'airship']"
18,Cro_v05_dog_ILSVRC2012_val_00028881_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'crossword puzzle', 'handkerchief', 'prayer rug', 'window screen']"
19,Cro_v05_snail_ILSVRC2012_val_00046248_cs.jpg,crossword puzzle,"['crossword puzzle', 'handkerchief', 'quill', 'shower cap', 'jigsaw puzzle']"
20,Cro_v05_airplane_ILSVRC2012_val_00049097_cs.jpg,carton,"['carton', 'envelope', 'handkerchief', 'swab', 'monitor']"
21,Cro_v05_swine_ILSVRC2012_val_00011892_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'window screen', 'prayer rug', 'crossword puzzle', 'handkerchief']"
22,Cro_v05_dog_ILSVRC2012_val_00012566_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'crossword puzzle', 'handkerchief', 'prayer rug', 'window screen']"
23,Cro_v05_shoe_ILSVRC2012_val_00048970_cs.jpg,crossword puzzle,"['crossword puzzle', 'jigsaw puzzle', 'quill', 'handkerchief', 'window screen']"
24,Cro_v05_snake_ILSVRC2012_val_00014926_cs.jpg,oboe,"['oboe', 'nematode', 'aircraft carrier', 'prayer rug', 'quill']"
25,Cro_v05_rabbit_ILSVRC2012_val_00013125_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'window screen', 'handkerchief', 'prayer rug', 'crossword puzzle']"
26,Cro_v05_airplane_ILSVRC2012_val_00030531_cs.jpg,swab,"['swab', 'screw', 'envelope', 'handkerchief', 'whistle']"
27,Cro_v05_rabbit_ILSVRC2012_val_00044412_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'window screen', 'crossword puzzle', 'prayer rug', 'handkerchief']"
28,Cro_v05_pineapple_ILSVRC2012_val_00012582_cs.jpg,window screen,"['window screen', 'jigsaw puzzle', 'crossword puzzle', 'handkerchief', 'prayer rug']"
29,Cro_v05_squirrel_ILSVRC2012_val_00048792_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'window screen', 'prayer rug', 'handkerchief', 'airship']"
30,Cro_v05_lemon_ILSVRC2012_val_00048264_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'window screen', 'strainer', 'honeycomb', 'toilet seat']"
31,Cro_v05_spider_ILSVRC2012_val_00039661_cs.jpg,envelope,"['envelope', 'warplane', 'aircraft carrier', 'crane', 'handkerchief']"
32,Cro_v05_horse_ILSVRC2012_val_00011600_cs.jpg,aircraft carrier,"['aircraft carrier', 'jigsaw puzzle', 'prayer rug', 'oboe', 'drilling platform']"
33,Cro_v05_bellpepper_ILSVRC2012_val_00000423_cs.jpg,window screen,"['window screen', 'jigsaw puzzle', 'honeycomb', 'crossword puzzle', 'prayer rug']"
34,Cro_v05_turtle_ILSVRC2012_val_00047941_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'crossword puzzle', 'window screen', 'handkerchief', 'prayer rug']"
35,Cro_v05_lemon_ILSVRC2012_val_00038325_cs.jpg,strainer,"['strainer', 'jigsaw puzzle', 'toilet seat', 'window screen', 'Petri dish']"
36,Cro_v05_bear_ILSVRC2012_val_00011967_cs.jpg,crossword puzzle,"['crossword puzzle', 'jigsaw puzzle', 'handkerchief', 'window screen', 'prayer rug']"
37,Cro_v05_car_ILSVRC2012_val_00005456_cs.jpg,crossword puzzle,"['crossword puzzle', 'window screen', 'jigsaw puzzle', 'quill', 'paper towel']"
38,Cro_v05_hammer_ILSVRC2012_val_00032002_cs.jpg,crane,"['crane', 'aircraft carrier', 'monitor', 'envelope', 'carton']"
39,Cro_v05_lobster_ILSVRC2012_val_00028657_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'window screen', 'crossword puzzle', 'prayer rug', 'handkerchief']"
40,Cro_v05_butterfly_ILSVRC2012_val_00035074_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'window screen', 'handkerchief', 'crossword puzzle', 'prayer rug']"
41,Cro_v05_fish_ILSVRC2012_val_00047320_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'swab', 'crane', 'handkerchief', 'screw']"
42,Cro_v05_airplane_ILSVRC2012_val_00011168_cs.jpg,crossword puzzle,"['crossword puzzle', 'quill', 'jigsaw puzzle', 'airship', 'handkerchief']"
43,Cro_v05_dog_ILSVRC2012_val_00010378_cs.jpg,window screen,"['window screen', 'jigsaw puzzle', 'prayer rug', 'handkerchief', 'crossword puzzle']"
44,Cro_v05_butterfly_ILSVRC2012_val_00042436_cs.jpg,crossword puzzle,"['crossword puzzle', 'jigsaw puzzle', 'window screen', 'handkerchief', 'quill']"
45,Cro_v05_chair_ILSVRC2012_val_00044181_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'window screen', 'prayer rug', 'loupe', 'book jacket']"
46,Cro_v05_horse_ILSVRC2012_val_00032126_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'window screen', 'prayer rug', 'crossword puzzle', 'handkerchief']"
47,Cro_v05_car_ILSVRC2012_val_00037492_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'window screen', 'crossword puzzle', 'quill', 'rubber eraser']"
48,Cro_v05_bee_ILSVRC2012_val_00042015_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'envelope', 'handkerchief', 'crossword puzzle', 'binder']"
49,Cro_v05_horse_ILSVRC2012_val_00008317_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'aircraft carrier', 'prayer rug', 'airship', 'book jacket']"
50,Cro_v05_swine_ILSVRC2012_val_00031491_cs.jpg,crossword puzzle,"['crossword puzzle', 'jigsaw puzzle', 'window screen', 'loupe', 'quill']"
51,Cro_v05_mushroom_ILSVRC2012_val_00039698_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'loupe', 'oboe', 'crossword puzzle', 'prayer rug']"
52,Cro_v05_snail_ILSVRC2012_val_00001959_cs.jpg,crossword puzzle,"['crossword puzzle', 'envelope', 'handkerchief', 'jigsaw puzzle', 'menu']"
53,Cro_v05_acorn_ILSVRC2012_val_00013791_cs.jpg,window screen,"['window screen', 'strainer', 'jigsaw puzzle', 'toilet seat', 'loupe']"
