,image_path,top1_class,top5_class
0,Cro_v07_turtle_ILSVRC2012_val_00049782_cd.jpg,window screen,"['window screen', 'lampshade', 'chain mail', 'fountain', 'military uniform']"
1,Cro_v07_bear_ILSVRC2012_val_00031906_cd.jpg,chain mail,"['chain mail', 'nail', 'umbrella', 'screw', 'rifle']"
2,Cro_v07_bird_ILSVRC2012_val_00030545_cd.jpg,screw,"['screw', 'nail', 'palace', 'drilling platform', 'container ship']"
3,Cro_v07_mug_ILSVRC2012_val_00020276_cd.jpg,necklace,"['necklace', 'airship', 'scoreboard', 'jigsaw puzzle', 'drilling platform']"
4,Cro_v07_snake_ILSVRC2012_val_00006751_cd.jpg,screw,"['screw', 'chain', 'crane', 'necklace', 'oboe']"
5,Cro_v07_snake_ILSVRC2012_val_00013400_cd.jpg,jigsaw puzzle,"['jigsaw puzzle', 'crossword puzzle', 'scoreboard', 'airship', 'drilling platform']"
6,Cro_v07_car_ILSVRC2012_val_00005456_cd.jpg,scoreboard,"['scoreboard', 'palace', 'window screen', 'jigsaw puzzle', 'fountain']"
7,Cro_v07_swine_ILSVRC2012_val_00031491_cd.jpg,window screen,"['window screen', 'scoreboard', 'palace', 'chain mail', 'umbrella']"
8,Cro_v07_squirrel_ILSVRC2012_val_00023383_cd.jpg,window screen,"['window screen', 'jigsaw puzzle', 'crossword puzzle', 'airship', 'drilling platform']"
9,Cro_v07_monkey_ILSVRC2012_val_00027323_cd.jpg,drilling platform,"['drilling platform', 'jigsaw puzzle', 'hair slide', 'dock', 'screw']"
10,Cro_v07_bear_ILSVRC2012_val_00038263_cd.jpg,window screen,"['window screen', 'jigsaw puzzle', 'airship', 'fountain', 'palace']"
11,Cro_v07_airplane_ILSVRC2012_val_00023781_cd.jpg,screw,"['screw', 'crane', 'drilling platform', 'aircraft carrier', 'dock']"
12,Cro_v07_spider_ILSVRC2012_val_00026030_cd.jpg,drilling platform,"['drilling platform', 'screw', 'aircraft carrier', 'crane', 'dock']"
13,Cro_v07_lobster_ILSVRC2012_val_00047059_cd.jpg,airship,"['airship', 'drilling platform', 'jigsaw puzzle', 'scoreboard', 'menu']"
14,Cro_v07_flower_ILSVRC2012_val_00022139_cd.jpg,window screen,"['window screen', 'jigsaw puzzle', 'airship', 'crossword puzzle', 'scoreboard']"
15,Cro_v07_crab_ILSVRC2012_val_00011922_cd.jpg,drilling platform,"['drilling platform', 'aircraft carrier', 'airship', 'screw', 'menu']"
16,Cro_v07_squirrel_ILSVRC2012_val_00035501_cd.jpg,crane,"['crane', 'drilling platform', 'screw', 'aircraft carrier', 'dock']"
17,Cro_v07_spider_ILSVRC2012_val_00039661_cd.jpg,drilling platform,"['drilling platform', 'crane', 'aircraft carrier', 'screw', 'pirate']"
18,Cro_v07_mushroom_ILSVRC2012_val_00040625_cd.jpg,crane,"['crane', 'screw', 'drilling platform', 'airship', 'banjo']"
19,Cro_v07_flower_ILSVRC2012_val_00048934_cd.jpg,drilling platform,"['drilling platform', 'jigsaw puzzle', 'scoreboard', 'airship', 'aircraft carrier']"
20,Cro_v07_hammer_ILSVRC2012_val_00001110_cd.jpg,drilling platform,"['drilling platform', 'crane', 'banjo', 'screw', 'electric guitar']"
21,Cro_v07_airplane_ILSVRC2012_val_00011168_cd.jpg,palace,"['palace', 'screw', 'umbrella', 'dock', 'rifle']"
22,Cro_v07_flower_ILSVRC2012_val_00039137_cd.jpg,window screen,"['window screen', 'jigsaw puzzle', 'airship', 'container ship', 'drilling platform']"
23,Cro_v07_camel_ILSVRC2012_val_00011354_cd.jpg,scoreboard,"['scoreboard', 'airship', 'menu', 'drilling platform', 'jigsaw puzzle']"
