,image_path,top1_class,top5_class
0,Cro_v07_turtle_ILSVRC2012_val_00049782_cd.jpg,stole,"['stole', 'Great Dane', 'screen', 'maillot tank suit', 'studio couch']"
1,Cro_v07_bear_ILSVRC2012_val_00031906_cd.jpg,safety pin,"['safety pin', 'wallet', 'jigsaw puzzle', 'lampshade', 'miniskirt']"
2,Cro_v07_bird_ILSVRC2012_val_00030545_cd.jpg,swimming trunks,"['swimming trunks', 'wallet', 'wool', 'turnstile', 'racket']"
3,Cro_v07_mug_ILSVRC2012_val_00020276_cd.jpg,window screen,"['window screen', 'screen', 'gong', 'stretcher', 'tobacco shop']"
4,Cro_v07_snake_ILSVRC2012_val_00006751_cd.jpg,crane,"['crane', 'hook', 'drilling platform', 'swimming trunks', 'container ship']"
5,Cro_v07_snake_ILSVRC2012_val_00013400_cd.jpg,safety pin,"['safety pin', 'window screen', 'carbonara', 'jigsaw puzzle', 'soccer ball']"
6,Cro_v07_car_ILSVRC2012_val_00005456_cd.jpg,window screen,"['window screen', 'fountain', 'paintbrush', 'spotlight', 'hamper']"
7,Cro_v07_swine_ILSVRC2012_val_00031491_cd.jpg,window screen,"['window screen', 'scoreboard', 'solar dish', 'torch', 'Bernese mountain dog']"
8,Cro_v07_squirrel_ILSVRC2012_val_00023383_cd.jpg,window shade,"['window shade', 'hamper', 'conch', 'window screen', 'stole']"
9,Cro_v07_monkey_ILSVRC2012_val_00027323_cd.jpg,solar dish,"['solar dish', 'gong', 'honeycomb', 'swimming trunks', 'modem']"
10,Cro_v07_bear_ILSVRC2012_val_00038263_cd.jpg,screen,"['screen', 'stole', 'Windsor tie', 'frilled lizard', 'Arabian camel']"
11,Cro_v07_airplane_ILSVRC2012_val_00023781_cd.jpg,bubble,"['bubble', 'bathtub', 'syringe', 'manhole cover', 'guillotine']"
12,Cro_v07_spider_ILSVRC2012_val_00026030_cd.jpg,scale,"['scale', 'solar dish', 'Irish water spaniel', 'birdhouse', 'hammer']"
13,Cro_v07_lobster_ILSVRC2012_val_00047059_cd.jpg,container ship,"['container ship', 'aircraft carrier', 'ear', 'odometer', 'football helmet']"
14,Cro_v07_flower_ILSVRC2012_val_00022139_cd.jpg,window screen,"['window screen', 'stole', 'cloak', 'beer glass', 'tobacco shop']"
15,Cro_v07_crab_ILSVRC2012_val_00011922_cd.jpg,aircraft carrier,"['aircraft carrier', 'seashore', 'pirate', 'crane', 'ear']"
16,Cro_v07_squirrel_ILSVRC2012_val_00035501_cd.jpg,steel arch bridge,"['steel arch bridge', 'torch', 'solar dish', 'beer bottle', 'weevil']"
17,Cro_v07_spider_ILSVRC2012_val_00039661_cd.jpg,drilling platform,"['drilling platform', 'ballplayer', 'chime', 'seashore', 'modem']"
18,Cro_v07_mushroom_ILSVRC2012_val_00040625_cd.jpg,safety pin,"['safety pin', 'power drill', 'plastic bag', 'syringe', 'screwdriver']"
19,Cro_v07_flower_ILSVRC2012_val_00048934_cd.jpg,window screen,"['window screen', 'bearskin', 'prayer rug', 'tub', 'assault rifle']"
20,Cro_v07_hammer_ILSVRC2012_val_00001110_cd.jpg,plunger,"['plunger', 'clog', 'bow', 'vacuum', 'projectile']"
21,Cro_v07_airplane_ILSVRC2012_val_00011168_cd.jpg,military uniform,"['military uniform', 'cellular telephone', 'shoe shop', 'rain barrel', 'pole']"
22,Cro_v07_flower_ILSVRC2012_val_00039137_cd.jpg,stole,"['stole', 'jigsaw puzzle', 'black and gold garden spider', 'table lamp', 'remote control']"
23,Cro_v07_camel_ILSVRC2012_val_00011354_cd.jpg,hook,"['hook', 'window screen', 'jigsaw puzzle', 'wreck', 'organ']"
24,Cro_v07_hammer_ILSVRC2012_val_00003387_cd.jpg,leafhopper,"['leafhopper', 'syringe', 'ping-pong ball', 'lakeside', 'rifle']"
25,Cro_v07_dog_ILSVRC2012_val_00028881_cd.jpg,pier,"['pier', 'steel arch bridge', 'plastic bag', 'butcher shop', 'printer']"
26,Cro_v07_rabbit_ILSVRC2012_val_00013125_cd.jpg,window screen,"['window screen', 'safety pin', 'spider web', 'velvet', 'lotion']"
27,Cro_v07_gun_ILSVRC2012_val_00018910_cd.jpg,container ship,"['container ship', 'go-kart', 'web site', 'seashore', 'drilling platform']"
28,Cro_v07_fish_ILSVRC2012_val_00032417_cd.jpg,bubble,"['bubble', 'maillot', 'prayer rug', 'revolver', 'cellular telephone']"
29,Cro_v07_squirrel_ILSVRC2012_val_00042981_cd.jpg,scoreboard,"['scoreboard', 'plow', 'quilt', 'monitor', 'torch']"
30,Cro_v07_butterfly_ILSVRC2012_val_00025307_cd.jpg,screen,"['screen', 'honeycomb', 'file', 'home theater', 'apron']"
31,Cro_v07_snail_ILSVRC2012_val_00001959_cd.jpg,spotlight,"['spotlight', 'hammer', 'park bench', 'hard disc', 'cellular telephone']"
32,Cro_v07_chair_ILSVRC2012_val_00004120_cd.jpg,container ship,"['container ship', 'drilling platform', 'jigsaw puzzle', 'motor scooter', 'polecat']"
33,Cro_v07_bird_ILSVRC2012_val_00028363_cd.jpg,steel arch bridge,"['steel arch bridge', 'airship', 'safety pin', 'water tower', 'lynx']"
34,Cro_v07_bee_ILSVRC2012_val_00017418_cd.jpg,scoreboard,"['scoreboard', 'carbonara', 'cellular telephone', 'washbasin', 'water bottle']"
35,Cro_v07_guitar_ILSVRC2012_val_00021556_cd.jpg,corkscrew,"['corkscrew', 'syringe', 'space heater', 'chambered nautilus', 'crane']"
36,Cro_v07_bellpepper_ILSVRC2012_val_00000423_cd.jpg,stole,"['stole', 'window shade', 'maillot', 'frilled lizard', 'siamang']"
37,Cro_v07_snake_ILSVRC2012_val_00014926_cd.jpg,drilling platform,"['drilling platform', 'aircraft carrier', 'chain mail', 'corkscrew', 'medicine chest']"
38,Cro_v07_acorn_ILSVRC2012_val_00031536_cd.jpg,scoreboard,"['scoreboard', 'ping-pong ball', 'screwdriver', 'mailbox', 'computer keyboard']"
39,Cro_v07_chair_ILSVRC2012_val_00041720_cd.jpg,honeycomb,"['honeycomb', 'screen', 'scoreboard', 'window screen', 'pajama']"
40,Cro_v07_snake_ILSVRC2012_val_00024301_cd.jpg,plastic bag,"['plastic bag', 'steel arch bridge', 'lynx', 'ladle', 'home theater']"
41,Cro_v07_broccoli_ILSVRC2012_val_00019851_cd.jpg,hook,"['hook', 'jigsaw puzzle', 'seashore', 'mortarboard', 'rugby ball']"
42,Cro_v07_camel_ILSVRC2012_val_00006200_cd.jpg,pole,"['pole', 'measuring cup', 'seashore', 'wall clock', 'bathtub']"
43,Cro_v07_camel_ILSVRC2012_val_00003409_cd.jpg,container ship,"['container ship', 'torch', 'scoreboard', 'hook', 'steel arch bridge']"
