,image_path,top1_class,top5_class
0,Cro_v05_gun_ILSVRC2012_val_00016796_cs.jpg,hair slide,"['hair slide', 'handkerchief', 'nail', 'plate rack', 'maze']"
1,Cro_v05_broccoli_ILSVRC2012_val_00027637_cs.jpg,handkerchief,"['handkerchief', 'honeycomb', 'crossword puzzle', 'window screen', 'doormat']"
2,Cro_v05_dog_ILSVRC2012_val_00030058_cs.jpg,honeycomb,"['honeycomb', 'crossword puzzle', 'handkerchief', 'dishrag', 'jigsaw puzzle']"
3,Cro_v05_turtle_ILSVRC2012_val_00049782_cs.jpg,handkerchief,"['handkerchief', 'honeycomb', 'window screen', 'dishrag', 'doormat']"
4,Cro_v05_crocodilian_ILSVRC2012_val_00038647_cs.jpg,handkerchief,"['handkerchief', 'window screen', 'honeycomb', 'hair slide', 'fire screen']"
5,Cro_v05_snail_ILSVRC2012_val_00023958_cs.jpg,handkerchief,"['handkerchief', 'fire screen', 'window screen', 'plate rack', 'hair slide']"
6,Cro_v05_flower_ILSVRC2012_val_00048934_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'crossword puzzle', 'maze', 'honeycomb', 'window screen']"
7,Cro_v05_chair_ILSVRC2012_val_00001953_cs.jpg,crossword puzzle,"['crossword puzzle', 'jigsaw puzzle', 'honeycomb', 'maze', 'handkerchief']"
8,Cro_v05_banana_ILSVRC2012_val_00049606_cs.jpg,handkerchief,"['handkerchief', 'crossword puzzle', 'hair slide', 'fire screen', 'honeycomb']"
9,Cro_v05_pineapple_ILSVRC2012_val_00029522_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'crossword puzzle', 'honeycomb', 'maze', 'window screen']"
10,Cro_v05_horse_ILSVRC2012_val_00017358_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'crossword puzzle', 'honeycomb', 'handkerchief', 'maze']"
11,Cro_v05_elephant_ILSVRC2012_val_00040375_cs.jpg,honeycomb,"['honeycomb', 'handkerchief', 'crossword puzzle', 'jigsaw puzzle', 'window screen']"
12,Cro_v05_mug_ILSVRC2012_val_00027194_cs.jpg,crossword puzzle,"['crossword puzzle', 'honeycomb', 'jigsaw puzzle', 'window screen', 'maze']"
13,Cro_v05_tiger_ILSVRC2012_val_00048186_cs.jpg,handkerchief,"['handkerchief', 'jigsaw puzzle', 'hair slide', 'honeycomb', 'window screen']"
14,Cro_v05_fish_ILSVRC2012_val_00032417_cs.jpg,handkerchief,"['handkerchief', 'window screen', 'honeycomb', 'hair slide', 'fire screen']"
15,Cro_v05_camel_ILSVRC2012_val_00015872_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'crossword puzzle', 'honeycomb', 'handkerchief', 'window screen']"
16,Cro_v05_crocodilian_ILSVRC2012_val_00037166_cs.jpg,handkerchief,"['handkerchief', 'window screen', 'honeycomb', 'hair slide', 'fire screen']"
17,Cro_v05_lobster_ILSVRC2012_val_00036759_cs.jpg,crossword puzzle,"['crossword puzzle', 'maze', 'jigsaw puzzle', 'handkerchief', 'honeycomb']"
18,Cro_v05_dog_ILSVRC2012_val_00028881_cs.jpg,handkerchief,"['handkerchief', 'crossword puzzle', 'jigsaw puzzle', 'honeycomb', 'window screen']"
19,Cro_v05_snail_ILSVRC2012_val_00046248_cs.jpg,hair slide,"['hair slide', 'handkerchief', 'fire screen', 'window screen', 'doormat']"
20,Cro_v05_airplane_ILSVRC2012_val_00049097_cs.jpg,warplane,"['warplane', 'hair slide', 'nail', 'plate rack', 'aircraft carrier']"
21,Cro_v05_swine_ILSVRC2012_val_00011892_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'crossword puzzle', 'honeycomb', 'maze', 'handkerchief']"
22,Cro_v05_dog_ILSVRC2012_val_00012566_cs.jpg,handkerchief,"['handkerchief', 'honeycomb', 'hair slide', 'window screen', 'crossword puzzle']"
23,Cro_v05_shoe_ILSVRC2012_val_00048970_cs.jpg,handkerchief,"['handkerchief', 'honeycomb', 'hair slide', 'doormat', 'plate rack']"
24,Cro_v05_snake_ILSVRC2012_val_00014926_cs.jpg,handkerchief,"['handkerchief', 'honeycomb', 'hair slide', 'maze', 'plate rack']"
25,Cro_v05_rabbit_ILSVRC2012_val_00013125_cs.jpg,crossword puzzle,"['crossword puzzle', 'jigsaw puzzle', 'maze', 'window screen', 'honeycomb']"
26,Cro_v05_airplane_ILSVRC2012_val_00030531_cs.jpg,nail,"['nail', 'aircraft carrier', 'warplane', 'hair slide', 'plate rack']"
27,Cro_v05_rabbit_ILSVRC2012_val_00044412_cs.jpg,crossword puzzle,"['crossword puzzle', 'jigsaw puzzle', 'honeycomb', 'maze', 'handkerchief']"
28,Cro_v05_pineapple_ILSVRC2012_val_00012582_cs.jpg,honeycomb,"['honeycomb', 'handkerchief', 'crossword puzzle', 'jigsaw puzzle', 'doormat']"
29,Cro_v05_squirrel_ILSVRC2012_val_00048792_cs.jpg,crossword puzzle,"['crossword puzzle', 'jigsaw puzzle', 'honeycomb', 'handkerchief', 'window screen']"
30,Cro_v05_lemon_ILSVRC2012_val_00048264_cs.jpg,honeycomb,"['honeycomb', 'crossword puzzle', 'jigsaw puzzle', 'maze', 'window screen']"
