,image_path,top1_class,top5_class
0,Cro_v05_gun_ILSVRC2012_val_00016796_cs.jpg,airship,"['airship', 'drilling platform', 'container ship', 'aircraft carrier', 'crane']"
1,Cro_v05_broccoli_ILSVRC2012_val_00027637_cs.jpg,airship,"['airship', 'menu', 'container ship', 'binder', 'crane']"
2,Cro_v05_dog_ILSVRC2012_val_00030058_cs.jpg,airship,"['airship', 'menu', 'jigsaw puzzle', 'shower curtain', 'container ship']"
3,Cro_v05_turtle_ILSVRC2012_val_00049782_cs.jpg,airship,"['airship', 'menu', 'container ship', 'jigsaw puzzle', 'dishwasher']"
4,Cro_v05_crocodilian_ILSVRC2012_val_00038647_cs.jpg,airship,"['airship', 'menu', 'crane', 'container ship', 'binder']"
5,Cro_v05_snail_ILSVRC2012_val_00023958_cs.jpg,airship,"['airship', 'container ship', 'menu', 'drilling platform', 'pier']"
6,Cro_v05_flower_ILSVRC2012_val_00048934_cs.jpg,menu,"['menu', 'airship', 'jigsaw puzzle', 'binder', 'shower curtain']"
7,Cro_v05_chair_ILSVRC2012_val_00001953_cs.jpg,menu,"['menu', 'airship', 'jigsaw puzzle', 'aircraft carrier', 'drilling platform']"
8,Cro_v05_banana_ILSVRC2012_val_00049606_cs.jpg,airship,"['airship', 'drilling platform', 'container ship', 'aircraft carrier', 'crane']"
9,Cro_v05_pineapple_ILSVRC2012_val_00029522_cs.jpg,menu,"['menu', 'jigsaw puzzle', 'airship', 'binder', 'shower curtain']"
10,Cro_v05_horse_ILSVRC2012_val_00017358_cs.jpg,menu,"['menu', 'airship', 'dishwasher', 'binder', 'jigsaw puzzle']"
11,Cro_v05_elephant_ILSVRC2012_val_00040375_cs.jpg,airship,"['airship', 'menu', 'shower curtain', 'dishwasher', 'jigsaw puzzle']"
12,Cro_v05_mug_ILSVRC2012_val_00027194_cs.jpg,menu,"['menu', 'window screen', 'jigsaw puzzle', 'gibbon', 'cicada']"
13,Cro_v05_tiger_ILSVRC2012_val_00048186_cs.jpg,airship,"['airship', 'menu', 'dishwasher', 'web site', 'crane']"
14,Cro_v05_fish_ILSVRC2012_val_00032417_cs.jpg,airship,"['airship', 'menu', 'binder', 'shopping cart', 'web site']"
15,Cro_v05_camel_ILSVRC2012_val_00015872_cs.jpg,menu,"['menu', 'airship', 'shower curtain', 'jigsaw puzzle', 'dishwasher']"
16,Cro_v05_crocodilian_ILSVRC2012_val_00037166_cs.jpg,airship,"['airship', 'container ship', 'pier', 'menu', 'aircraft carrier']"
17,Cro_v05_lobster_ILSVRC2012_val_00036759_cs.jpg,airship,"['airship', 'menu', 'dishwasher', 'pier', 'crane']"
18,Cro_v05_dog_ILSVRC2012_val_00028881_cs.jpg,airship,"['airship', 'menu', 'dishwasher', 'web site', 'dragonfly']"
19,Cro_v05_snail_ILSVRC2012_val_00046248_cs.jpg,airship,"['airship', 'container ship', 'menu', 'crane', 'aircraft carrier']"
20,Cro_v05_airplane_ILSVRC2012_val_00049097_cs.jpg,airship,"['airship', 'drilling platform', 'aircraft carrier', 'screw', 'spotlight']"
21,Cro_v05_swine_ILSVRC2012_val_00011892_cs.jpg,menu,"['menu', 'jigsaw puzzle', 'container ship', 'airship', 'binder']"
22,Cro_v05_dog_ILSVRC2012_val_00012566_cs.jpg,airship,"['airship', 'menu', 'container ship', 'jigsaw puzzle', 'aircraft carrier']"
23,Cro_v05_shoe_ILSVRC2012_val_00048970_cs.jpg,airship,"['airship', 'menu', 'container ship', 'jigsaw puzzle', 'aircraft carrier']"
24,Cro_v05_snake_ILSVRC2012_val_00014926_cs.jpg,airship,"['airship', 'crane', 'menu', 'dishwasher', 'banjo']"
25,Cro_v05_rabbit_ILSVRC2012_val_00013125_cs.jpg,airship,"['airship', 'menu', 'shower curtain', 'table lamp', 'jigsaw puzzle']"
26,Cro_v05_airplane_ILSVRC2012_val_00030531_cs.jpg,airship,"['airship', 'screw', 'drilling platform', 'nail', 'aircraft carrier']"
27,Cro_v05_rabbit_ILSVRC2012_val_00044412_cs.jpg,airship,"['airship', 'menu', 'jigsaw puzzle', 'container ship', 'pier']"
28,Cro_v05_pineapple_ILSVRC2012_val_00012582_cs.jpg,airship,"['airship', 'menu', 'dishwasher', 'jigsaw puzzle', 'container ship']"
29,Cro_v05_squirrel_ILSVRC2012_val_00048792_cs.jpg,airship,"['airship', 'container ship', 'jigsaw puzzle', 'menu', 'shower curtain']"
30,Cro_v05_lemon_ILSVRC2012_val_00048264_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'menu', 'airship', 'shower curtain', 'window screen']"
31,Cro_v05_spider_ILSVRC2012_val_00039661_cs.jpg,airship,"['airship', 'crane', 'drilling platform', 'parachute', 'sax']"
32,Cro_v05_horse_ILSVRC2012_val_00011600_cs.jpg,menu,"['menu', 'airship', 'aircraft carrier', 'shower curtain', 'jigsaw puzzle']"
33,Cro_v05_bellpepper_ILSVRC2012_val_00000423_cs.jpg,menu,"['menu', 'airship', 'shower curtain', 'jigsaw puzzle', 'window screen']"
34,Cro_v05_turtle_ILSVRC2012_val_00047941_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'menu', 'airship', 'dishwasher', 'container ship']"
35,Cro_v05_lemon_ILSVRC2012_val_00038325_cs.jpg,menu,"['menu', 'jigsaw puzzle', 'airship', 'container ship', 'binder']"
36,Cro_v05_bear_ILSVRC2012_val_00011967_cs.jpg,airship,"['airship', 'menu', 'dishwasher', 'jigsaw puzzle', 'web site']"
37,Cro_v05_car_ILSVRC2012_val_00005456_cs.jpg,airship,"['airship', 'menu', 'binder', 'jigsaw puzzle', 'container ship']"
38,Cro_v05_hammer_ILSVRC2012_val_00032002_cs.jpg,airship,"['airship', 'crane', 'drilling platform', 'aircraft carrier', 'nail']"
39,Cro_v05_lobster_ILSVRC2012_val_00028657_cs.jpg,airship,"['airship', 'menu', 'dishwasher', 'jigsaw puzzle', 'binder']"
40,Cro_v05_butterfly_ILSVRC2012_val_00035074_cs.jpg,airship,"['airship', 'menu', 'jigsaw puzzle', 'dishwasher', 'shower curtain']"
41,Cro_v05_fish_ILSVRC2012_val_00047320_cs.jpg,airship,"['airship', 'drilling platform', 'shopping cart', 'container ship', 'crane']"
42,Cro_v05_airplane_ILSVRC2012_val_00011168_cs.jpg,airship,"['airship', 'shopping cart', 'letter opener', 'dishwasher', 'web site']"
43,Cro_v05_dog_ILSVRC2012_val_00010378_cs.jpg,airship,"['airship', 'jigsaw puzzle', 'menu', 'container ship', 'shower curtain']"
44,Cro_v05_butterfly_ILSVRC2012_val_00042436_cs.jpg,airship,"['airship', 'container ship', 'menu', 'crane', 'jigsaw puzzle']"
45,Cro_v05_chair_ILSVRC2012_val_00044181_cs.jpg,airship,"['airship', 'menu', 'shower curtain', 'dishwasher', 'parachute']"
46,Cro_v05_horse_ILSVRC2012_val_00032126_cs.jpg,menu,"['menu', 'airship', 'shower curtain', 'jigsaw puzzle', 'mortarboard']"
47,Cro_v05_car_ILSVRC2012_val_00037492_cs.jpg,airship,"['airship', 'menu', 'container ship', 'jigsaw puzzle', 'crane']"
48,Cro_v05_bee_ILSVRC2012_val_00042015_cs.jpg,airship,"['airship', 'menu', 'crane', 'web site', 'parachute']"
49,Cro_v05_horse_ILSVRC2012_val_00008317_cs.jpg,airship,"['airship', 'menu', 'crane', 'web site', 'dishwasher']"
50,Cro_v05_swine_ILSVRC2012_val_00031491_cs.jpg,airship,"['airship', 'menu', 'dishwasher', 'jigsaw puzzle', 'container ship']"
51,Cro_v05_mushroom_ILSVRC2012_val_00039698_cs.jpg,airship,"['airship', 'menu', 'dishwasher', 'goblet', 'shopping cart']"
52,Cro_v05_snail_ILSVRC2012_val_00001959_cs.jpg,airship,"['airship', 'menu', 'aircraft carrier', 'container ship', 'crane']"
53,Cro_v05_acorn_ILSVRC2012_val_00013791_cs.jpg,airship,"['airship', 'shower curtain', 'menu', 'jigsaw puzzle', 'container ship']"
54,Cro_v05_bird_ILSVRC2012_val_00028363_cs.jpg,airship,"['airship', 'menu', 'dragonfly', 'web site', 'crane']"
55,Cro_v05_elephant_ILSVRC2012_val_00032620_cs.jpg,menu,"['menu', 'airship', 'shower curtain', 'dishwasher', 'jigsaw puzzle']"
56,Cro_v05_butterfly_ILSVRC2012_val_00015608_cs.jpg,menu,"['menu', 'airship', 'jigsaw puzzle', 'binder', 'container ship']"
57,Cro_v05_butterfly_ILSVRC2012_val_00025307_cs.jpg,menu,"['menu', 'dishwasher', 'airship', 'jigsaw puzzle', 'notebook']"
58,Cro_v05_spider_ILSVRC2012_val_00029156_cs.jpg,airship,"['airship', 'menu', 'swing', 'drilling platform', 'parachute']"
59,Cro_v05_dryer_ILSVRC2012_val_00038783_cs.jpg,airship,"['airship', 'menu', 'safe', 'web site', 'shower curtain']"
60,Cro_v05_chair_ILSVRC2012_val_00004120_cs.jpg,menu,"['menu', 'airship', 'swing', 'web site', 'jigsaw puzzle']"
61,Cro_v05_turtle_ILSVRC2012_val_00024666_cs.jpg,airship,"['airship', 'menu', 'jigsaw puzzle', 'container ship', 'dishwasher']"
62,Cro_v05_mushroom_ILSVRC2012_val_00038421_cs.jpg,airship,"['airship', 'menu', 'crane', 'banjo', 'oboe']"
63,Cro_v05_dryer_ILSVRC2012_val_00044460_cs.jpg,menu,"['menu', 'airship', 'jigsaw puzzle', 'dishwasher', 'crane']"
64,Cro_v05_bear_ILSVRC2012_val_00038263_cs.jpg,menu,"['menu', 'airship', 'jigsaw puzzle', 'container ship', 'binder']"
65,Cro_v05_crocodilian_ILSVRC2012_val_00038287_cs.jpg,airship,"['airship', 'menu', 'crane', 'parachute', 'aircraft carrier']"
66,Cro_v05_butterfly_ILSVRC2012_val_00013795_cs.jpg,menu,"['menu', 'airship', 'jigsaw puzzle', 'container ship', 'dishwasher']"
