,image_path,top1_class,top5_class
0,Cro_v05_gun_ILSVRC2012_val_00016796_cs.jpg,screw,"['screw', 'lakeside', 'envelope', 'whistle', 'chain']"
1,Cro_v05_broccoli_ILSVRC2012_val_00027637_cs.jpg,hair slide,"['hair slide', 'nail', 'screw', 'chain', 'knot']"
2,Cro_v05_dog_ILSVRC2012_val_00030058_cs.jpg,window screen,"['window screen', 'jigsaw puzzle', 'stole', 'space shuttle', 'abaya']"
3,Cro_v05_turtle_ILSVRC2012_val_00049782_cs.jpg,broccoli,"['broccoli', 'crossword puzzle', 'screw', 'window screen', 'nail']"
4,Cro_v05_crocodilian_ILSVRC2012_val_00038647_cs.jpg,crane,"['crane', 'window screen', 'airship', 'drilling platform', 'nematode']"
5,Cro_v05_snail_ILSVRC2012_val_00023958_cs.jpg,drilling platform,"['drilling platform', 'crane', 'aircraft carrier', 'space shuttle', 'container ship']"
6,Cro_v05_flower_ILSVRC2012_val_00048934_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'crossword puzzle', 'airship', 'window screen', 'space shuttle']"
7,Cro_v05_chair_ILSVRC2012_val_00001953_cs.jpg,crane,"['crane', 'space shuttle', 'drilling platform', 'aircraft carrier', 'airship']"
8,Cro_v05_banana_ILSVRC2012_val_00049606_cs.jpg,chain,"['chain', 'necklace', 'chain mail', 'hair slide', 'hook']"
9,Cro_v05_pineapple_ILSVRC2012_val_00029522_cs.jpg,crossword puzzle,"['crossword puzzle', 'jigsaw puzzle', 'window screen', 'menu', 'honeycomb']"
10,Cro_v05_horse_ILSVRC2012_val_00017358_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'space shuttle', 'crossword puzzle', 'menu', 'window screen']"
11,Cro_v05_elephant_ILSVRC2012_val_00040375_cs.jpg,crossword puzzle,"['crossword puzzle', 'screw', 'binder', 'window screen', 'handkerchief']"
12,Cro_v05_mug_ILSVRC2012_val_00027194_cs.jpg,crossword puzzle,"['crossword puzzle', 'window screen', 'handkerchief', 'jigsaw puzzle', 'honeycomb']"
13,Cro_v05_tiger_ILSVRC2012_val_00048186_cs.jpg,envelope,"['envelope', 'screw', 'whistle', 'menu', 'binder']"
14,Cro_v05_fish_ILSVRC2012_val_00032417_cs.jpg,nail,"['nail', 'screw', 'chain', 'stone wall', 'chain mail']"
15,Cro_v05_camel_ILSVRC2012_val_00015872_cs.jpg,menu,"['menu', 'jigsaw puzzle', 'window screen', 'handkerchief', 'chain']"
16,Cro_v05_crocodilian_ILSVRC2012_val_00037166_cs.jpg,airship,"['airship', 'hair slide', 'chain', 'nail', 'screw']"
17,Cro_v05_lobster_ILSVRC2012_val_00036759_cs.jpg,screw,"['screw', 'menu', 'hard disc', 'oboe', 'envelope']"
18,Cro_v05_dog_ILSVRC2012_val_00028881_cs.jpg,crossword puzzle,"['crossword puzzle', 'menu', 'screw', 'space shuttle', 'envelope']"
19,Cro_v05_snail_ILSVRC2012_val_00046248_cs.jpg,chain,"['chain', 'screw', 'hair slide', 'space shuttle', 'crane']"
20,Cro_v05_airplane_ILSVRC2012_val_00049097_cs.jpg,screw,"['screw', 'chain', 'oboe', 'envelope', 'whistle']"
21,Cro_v05_swine_ILSVRC2012_val_00011892_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'chain mail', 'necklace', 'aircraft carrier', 'crossword puzzle']"
22,Cro_v05_dog_ILSVRC2012_val_00012566_cs.jpg,space shuttle,"['space shuttle', 'airship', 'screw', 'drilling platform', 'crane']"
23,Cro_v05_shoe_ILSVRC2012_val_00048970_cs.jpg,airship,"['airship', 'crossword puzzle', 'window screen', 'chain', 'oboe']"
24,Cro_v05_snake_ILSVRC2012_val_00014926_cs.jpg,chain mail,"['chain mail', 'chain', 'envelope', 'nematode', 'oboe']"
25,Cro_v05_rabbit_ILSVRC2012_val_00013125_cs.jpg,window screen,"['window screen', 'radio telescope', 'jigsaw puzzle', 'hook', 'chain mail']"
26,Cro_v05_airplane_ILSVRC2012_val_00030531_cs.jpg,chain,"['chain', 'screw', 'hair slide', 'envelope', 'oboe']"
27,Cro_v05_rabbit_ILSVRC2012_val_00044412_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'window screen', 'crossword puzzle', 'space shuttle', 'airship']"
28,Cro_v05_pineapple_ILSVRC2012_val_00012582_cs.jpg,crossword puzzle,"['crossword puzzle', 'window screen', 'whistle', 'jigsaw puzzle', 'airship']"
29,Cro_v05_squirrel_ILSVRC2012_val_00048792_cs.jpg,aircraft carrier,"['aircraft carrier', 'jigsaw puzzle', 'airship', 'window screen', 'space shuttle']"
30,Cro_v05_lemon_ILSVRC2012_val_00048264_cs.jpg,broccoli,"['broccoli', 'nail', 'crossword puzzle', 'window screen', 'honeycomb']"
31,Cro_v05_spider_ILSVRC2012_val_00039661_cs.jpg,menu,"['menu', 'envelope', 'aircraft carrier', 'warplane', 'screw']"
