,image_path,top1_class,top5_class
0,Cro_v07_turtle_ILSVRC2012_val_00049782_cd.jpg,bib,"['bib', 'crossword puzzle', 'lampshade', 'dishrag', 'purse']"
1,Cro_v07_bear_ILSVRC2012_val_00031906_cd.jpg,crossword puzzle,"['crossword puzzle', 'stole', 'swab', 'honeycomb', 'jigsaw puzzle']"
2,Cro_v07_bird_ILSVRC2012_val_00030545_cd.jpg,digital clock,"['digital clock', 'crossword puzzle', 'ant', 'jigsaw puzzle', 'lampshade']"
3,Cro_v07_mug_ILSVRC2012_val_00020276_cd.jpg,bib,"['bib', 'jigsaw puzzle', 'crossword puzzle', 'lampshade', 'prayer rug']"
4,Cro_v07_snake_ILSVRC2012_val_00006751_cd.jpg,chain,"['chain', 'whistle', 'knot', 'centipede', 'dial telephone']"
5,Cro_v07_snake_ILSVRC2012_val_00013400_cd.jpg,jigsaw puzzle,"['jigsaw puzzle', 'crossword puzzle', 'lampshade', 'honeycomb', 'ant']"
6,Cro_v07_car_ILSVRC2012_val_00005456_cd.jpg,crossword puzzle,"['crossword puzzle', 'jigsaw puzzle', 'lampshade', 'stole', 'honeycomb']"
7,Cro_v07_swine_ILSVRC2012_val_00031491_cd.jpg,crossword puzzle,"['crossword puzzle', 'digital clock', 'stole', 'sea cucumber', 'honeycomb']"
8,Cro_v07_squirrel_ILSVRC2012_val_00023383_cd.jpg,crossword puzzle,"['crossword puzzle', 'jigsaw puzzle', 'bib', 'stole', 'prayer rug']"
9,Cro_v07_monkey_ILSVRC2012_val_00027323_cd.jpg,ant,"['ant', 'chain', 'chainlink fence', 'digital clock', 'lampshade']"
10,Cro_v07_bear_ILSVRC2012_val_00038263_cd.jpg,crossword puzzle,"['crossword puzzle', 'bib', 'jigsaw puzzle', 'prayer rug', 'stole']"
11,Cro_v07_airplane_ILSVRC2012_val_00023781_cd.jpg,ant,"['ant', 'warplane', 'digital clock', 'ski', 'nematode']"
12,Cro_v07_spider_ILSVRC2012_val_00026030_cd.jpg,ant,"['ant', 'spider web', 'chain', 'fire screen', 'chainlink fence']"
13,Cro_v07_lobster_ILSVRC2012_val_00047059_cd.jpg,ant,"['ant', 'digital clock', 'chainlink fence', 'warplane', 'chain saw']"
14,Cro_v07_flower_ILSVRC2012_val_00022139_cd.jpg,crossword puzzle,"['crossword puzzle', 'prayer rug', 'stole', 'jigsaw puzzle', 'wall clock']"
