,image_path,top1_class,top5_class
0,Cro_v07_turtle_ILSVRC2012_val_00049782_cd.jpg,strainer,"['strainer', 'honeycomb', 'stole', 'jigsaw puzzle', 'window screen']"
1,Cro_v07_bear_ILSVRC2012_val_00031906_cd.jpg,jigsaw puzzle,"['jigsaw puzzle', 'window screen', 'strainer', 'hair slide', 'honeycomb']"
2,Cro_v07_bird_ILSVRC2012_val_00030545_cd.jpg,strainer,"['strainer', 'window screen', 'hair slide', 'honeycomb', 'airship']"
3,Cro_v07_mug_ILSVRC2012_val_00020276_cd.jpg,window screen,"['window screen', 'strainer', 'honeycomb', 'bottlecap', 'jigsaw puzzle']"
4,Cro_v07_snake_ILSVRC2012_val_00006751_cd.jpg,necklace,"['necklace', 'sea snake', 'chain', 'quill', 'knot']"
5,Cro_v07_snake_ILSVRC2012_val_00013400_cd.jpg,window screen,"['window screen', 'jigsaw puzzle', 'strainer', 'honeycomb', 'handkerchief']"
6,Cro_v07_car_ILSVRC2012_val_00005456_cd.jpg,jigsaw puzzle,"['jigsaw puzzle', 'window screen', 'strainer', 'honeycomb', 'solar dish']"
7,Cro_v07_swine_ILSVRC2012_val_00031491_cd.jpg,window screen,"['window screen', 'strainer', 'honeycomb', 'bottlecap', 'handkerchief']"
8,Cro_v07_squirrel_ILSVRC2012_val_00023383_cd.jpg,window screen,"['window screen', 'jigsaw puzzle', 'honeycomb', 'stole', 'strainer']"
9,Cro_v07_monkey_ILSVRC2012_val_00027323_cd.jpg,necklace,"['necklace', 'chain', 'swing', 'swab', 'window screen']"
10,Cro_v07_bear_ILSVRC2012_val_00038263_cd.jpg,window screen,"['window screen', 'jigsaw puzzle', 'strainer', 'honeycomb', 'stole']"
11,Cro_v07_airplane_ILSVRC2012_val_00023781_cd.jpg,aircraft carrier,"['aircraft carrier', 'lakeside', 'dogsled', 'obelisk', 'white stork']"
12,Cro_v07_spider_ILSVRC2012_val_00026030_cd.jpg,necklace,"['necklace', 'chain', 'spider web', 'missile', 'aircraft carrier']"
13,Cro_v07_lobster_ILSVRC2012_val_00047059_cd.jpg,window screen,"['window screen', 'jigsaw puzzle', 'strainer', 'necklace', 'handkerchief']"
14,Cro_v07_flower_ILSVRC2012_val_00022139_cd.jpg,window screen,"['window screen', 'jigsaw puzzle', 'honeycomb', 'stole', 'strainer']"
15,Cro_v07_crab_ILSVRC2012_val_00011922_cd.jpg,window screen,"['window screen', 'jigsaw puzzle', 'strainer', 'handkerchief', 'traffic light']"
16,Cro_v07_squirrel_ILSVRC2012_val_00035501_cd.jpg,necklace,"['necklace', 'quill', 'strainer', 'hair slide', 'parachute']"
17,Cro_v07_spider_ILSVRC2012_val_00039661_cd.jpg,aircraft carrier,"['aircraft carrier', 'oboe', 'barn spider', 'warplane', 'corkscrew']"
18,Cro_v07_mushroom_ILSVRC2012_val_00040625_cd.jpg,oboe,"['oboe', 'necklace', 'strainer', 'aircraft carrier', 'swab']"
19,Cro_v07_flower_ILSVRC2012_val_00048934_cd.jpg,window screen,"['window screen', 'jigsaw puzzle', 'strainer', 'honeycomb', 'chainlink fence']"
20,Cro_v07_hammer_ILSVRC2012_val_00001110_cd.jpg,oboe,"['oboe', 'crane', 'pole', 'totem pole', 'aircraft carrier']"
21,Cro_v07_airplane_ILSVRC2012_val_00011168_cd.jpg,ski,"['ski', 'lakeside', 'window screen', 'chain', 'airship']"
22,Cro_v07_flower_ILSVRC2012_val_00039137_cd.jpg,window screen,"['window screen', 'jigsaw puzzle', 'honeycomb', 'stole', 'strainer']"
23,Cro_v07_camel_ILSVRC2012_val_00011354_cd.jpg,jigsaw puzzle,"['jigsaw puzzle', 'window screen', 'strainer', 'honeycomb', 'handkerchief']"
24,Cro_v07_hammer_ILSVRC2012_val_00003387_cd.jpg,strainer,"['strainer', 'hair slide', 'window screen', 'jigsaw puzzle', 'coil']"
25,Cro_v07_dog_ILSVRC2012_val_00028881_cd.jpg,window screen,"['window screen', 'jigsaw puzzle', 'handkerchief', 'necklace', 'strainer']"
26,Cro_v07_rabbit_ILSVRC2012_val_00013125_cd.jpg,strainer,"['strainer', 'necklace', 'window screen', 'honeycomb', 'swab']"
27,Cro_v07_gun_ILSVRC2012_val_00018910_cd.jpg,aircraft carrier,"['aircraft carrier', 'dogsled', 'airship', 'traffic light', 'window screen']"
28,Cro_v07_fish_ILSVRC2012_val_00032417_cd.jpg,strainer,"['strainer', 'honeycomb', 'window screen', 'broom', 'puck']"
29,Cro_v07_squirrel_ILSVRC2012_val_00042981_cd.jpg,window screen,"['window screen', 'jigsaw puzzle', 'swab', 'strainer', 'aircraft carrier']"
30,Cro_v07_butterfly_ILSVRC2012_val_00025307_cd.jpg,jigsaw puzzle,"['jigsaw puzzle', 'window screen', 'honeycomb', 'strainer', 'stole']"
31,Cro_v07_snail_ILSVRC2012_val_00001959_cd.jpg,parachute,"['parachute', 'necklace', 'strainer', 'hair slide', 'envelope']"
32,Cro_v07_chair_ILSVRC2012_val_00004120_cd.jpg,necklace,"['necklace', 'strainer', 'jigsaw puzzle', 'window screen', 'handkerchief']"
33,Cro_v07_bird_ILSVRC2012_val_00028363_cd.jpg,window screen,"['window screen', 'strainer', 'jigsaw puzzle', 'honeycomb', 'puck']"
34,Cro_v07_bee_ILSVRC2012_val_00017418_cd.jpg,window screen,"['window screen', 'jigsaw puzzle', 'handkerchief', 'honeycomb', 'swab']"
35,Cro_v07_guitar_ILSVRC2012_val_00021556_cd.jpg,oboe,"['oboe', 'aircraft carrier', 'pole', 'crane', 'swab']"
36,Cro_v07_bellpepper_ILSVRC2012_val_00000423_cd.jpg,window screen,"['window screen', 'honeycomb', 'stole', 'chain mail', 'strainer']"
37,Cro_v07_snake_ILSVRC2012_val_00014926_cd.jpg,necklace,"['necklace', 'chain', 'coil', 'quill', 'knot']"
38,Cro_v07_acorn_ILSVRC2012_val_00031536_cd.jpg,strainer,"['strainer', 'honeycomb', 'jigsaw puzzle', 'window screen', 'puck']"
39,Cro_v07_chair_ILSVRC2012_val_00041720_cd.jpg,window screen,"['window screen', 'jigsaw puzzle', 'lakeside', 'strainer', 'honeycomb']"
40,Cro_v07_snake_ILSVRC2012_val_00024301_cd.jpg,necklace,"['necklace', 'chain', 'corkscrew', 'knot', 'quill']"
41,Cro_v07_broccoli_ILSVRC2012_val_00019851_cd.jpg,window screen,"['window screen', 'jigsaw puzzle', 'strainer', 'honeycomb', 'swab']"
42,Cro_v07_camel_ILSVRC2012_val_00006200_cd.jpg,window screen,"['window screen', 'envelope', 'jigsaw puzzle', 'strainer', 'necklace']"
43,Cro_v07_camel_ILSVRC2012_val_00003409_cd.jpg,stole,"['stole', 'jigsaw puzzle', 'necklace', 'strainer', 'chain mail']"
44,Cro_v07_dog_ILSVRC2012_val_00030058_cd.jpg,window screen,"['window screen', 'jigsaw puzzle', 'honeycomb', 'stole', 'strainer']"
45,Cro_v07_bellpepper_ILSVRC2012_val_00048089_cd.jpg,strainer,"['strainer', 'honeycomb', 'stole', 'chain mail', 'window screen']"
46,Cro_v07_butterfly_ILSVRC2012_val_00035074_cd.jpg,window screen,"['window screen', 'strainer', 'honeycomb', 'jigsaw puzzle', 'stole']"
47,Cro_v07_turtle_ILSVRC2012_val_00024666_cd.jpg,window screen,"['window screen', 'jigsaw puzzle', 'strainer', 'honeycomb', 'stole']"
48,Cro_v07_horse_ILSVRC2012_val_00011600_cd.jpg,oboe,"['oboe', 'pole', 'aircraft carrier', 'window screen', 'necklace']"
49,Cro_v07_frog_ILSVRC2012_val_00010287_cd.jpg,window screen,"['window screen', 'jigsaw puzzle', 'honeycomb', 'strainer', 'stole']"
50,Cro_v07_acorn_ILSVRC2012_val_00028557_cd.jpg,honeycomb,"['honeycomb', 'window screen', 'strainer', 'stole', 'chain mail']"
51,Cro_v07_banana_ILSVRC2012_val_00049606_cd.jpg,necklace,"['necklace', 'strainer', 'hair slide', 'aircraft carrier', 'bottlecap']"
52,Cro_v07_mug_ILSVRC2012_val_00027194_cd.jpg,window screen,"['window screen', 'honeycomb', 'jigsaw puzzle', 'stole', 'strainer']"
53,Cro_v07_flower_ILSVRC2012_val_00013936_cd.jpg,window screen,"['window screen', 'jigsaw puzzle', 'strainer', 'honeycomb', 'stole']"
54,Cro_v07_guitar_ILSVRC2012_val_00036762_cd.jpg,necklace,"['necklace', 'oboe', 'aircraft carrier', 'quill', 'strainer']"
55,Cro_v07_crocodilian_ILSVRC2012_val_00038287_cd.jpg,quill,"['quill', 'necklace', 'coil', 'parachute', 'swab']"
56,Cro_v07_crab_ILSVRC2012_val_00008705_cd.jpg,window screen,"['window screen', 'strainer', 'jigsaw puzzle', 'traffic light', 'necklace']"
57,Cro_v07_squirrel_ILSVRC2012_val_00048792_cd.jpg,stole,"['stole', 'jigsaw puzzle', 'honeycomb', 'window screen', 'swab']"
58,Cro_v07_chair_ILSVRC2012_val_00001953_cd.jpg,window screen,"['window screen', 'jigsaw puzzle', 'aircraft carrier', 'handkerchief', 'strainer']"
