,image_path,top1_class,top5_class
0,Cro_v05_gun_ILSVRC2012_val_00016796_cs.jpg,fire screen,"['fire screen', 'envelope', 'window screen', 'nematode', 'paper towel']"
1,Cro_v05_broccoli_ILSVRC2012_val_00027637_cs.jpg,window screen,"['window screen', 'fire screen', 'nematode', 'strainer', 'microphone']"
2,Cro_v05_dog_ILSVRC2012_val_00030058_cs.jpg,window screen,"['window screen', 'fire screen', 'handkerchief', 'nematode', 'oboe']"
3,Cro_v05_turtle_ILSVRC2012_val_00049782_cs.jpg,window screen,"['window screen', 'fire screen', 'strainer', 'envelope', 'nematode']"
4,Cro_v05_crocodilian_ILSVRC2012_val_00038647_cs.jpg,window screen,"['window screen', 'fire screen', 'nematode', 'envelope', 'airship']"
5,Cro_v05_snail_ILSVRC2012_val_00023958_cs.jpg,window screen,"['window screen', 'fire screen', 'nematode', 'parachute', 'envelope']"
6,Cro_v05_flower_ILSVRC2012_val_00048934_cs.jpg,window screen,"['window screen', 'fire screen', 'nematode', 'letter opener', 'nail']"
7,Cro_v05_chair_ILSVRC2012_val_00001953_cs.jpg,fire screen,"['fire screen', 'window screen', 'nematode', 'envelope', 'oboe']"
8,Cro_v05_banana_ILSVRC2012_val_00049606_cs.jpg,strainer,"['strainer', 'window screen', 'fire screen', 'envelope', 'necklace']"
9,Cro_v05_pineapple_ILSVRC2012_val_00029522_cs.jpg,window screen,"['window screen', 'fire screen', 'velvet', 'nematode', 'envelope']"
10,Cro_v05_horse_ILSVRC2012_val_00017358_cs.jpg,window screen,"['window screen', 'fire screen', 'nematode', 'envelope', 'assault rifle']"
11,Cro_v05_elephant_ILSVRC2012_val_00040375_cs.jpg,window screen,"['window screen', 'fire screen', 'envelope', 'nematode', 'crossword puzzle']"
12,Cro_v05_mug_ILSVRC2012_val_00027194_cs.jpg,window screen,"['window screen', 'fire screen', 'velvet', 'letter opener', 'loudspeaker']"
13,Cro_v05_tiger_ILSVRC2012_val_00048186_cs.jpg,window screen,"['window screen', 'fire screen', 'envelope', 'nematode', 'crossword puzzle']"
14,Cro_v05_fish_ILSVRC2012_val_00032417_cs.jpg,window screen,"['window screen', 'strainer', 'fire screen', 'cleaver', 'envelope']"
15,Cro_v05_camel_ILSVRC2012_val_00015872_cs.jpg,window screen,"['window screen', 'fire screen', 'nematode', 'oboe', 'microphone']"
16,Cro_v05_crocodilian_ILSVRC2012_val_00037166_cs.jpg,window screen,"['window screen', 'fire screen', 'nematode', 'envelope', 'strainer']"
17,Cro_v05_lobster_ILSVRC2012_val_00036759_cs.jpg,envelope,"['envelope', 'window screen', 'fire screen', 'nematode', 'broom']"
18,Cro_v05_dog_ILSVRC2012_val_00028881_cs.jpg,window screen,"['window screen', 'nematode', 'fire screen', 'oboe', 'envelope']"
19,Cro_v05_snail_ILSVRC2012_val_00046248_cs.jpg,window screen,"['window screen', 'fire screen', 'envelope', 'nematode', 'strainer']"
20,Cro_v05_airplane_ILSVRC2012_val_00049097_cs.jpg,envelope,"['envelope', 'window screen', 'nematode', 'warplane', 'parachute']"
21,Cro_v05_swine_ILSVRC2012_val_00011892_cs.jpg,window screen,"['window screen', 'nematode', 'fire screen', 'envelope', 'microphone']"
22,Cro_v05_dog_ILSVRC2012_val_00012566_cs.jpg,window screen,"['window screen', 'fire screen', 'nematode', 'parachute', 'envelope']"
23,Cro_v05_shoe_ILSVRC2012_val_00048970_cs.jpg,window screen,"['window screen', 'strainer', 'nematode', 'microphone', 'envelope']"
24,Cro_v05_snake_ILSVRC2012_val_00014926_cs.jpg,nematode,"['nematode', 'window screen', 'envelope', 'fire screen', 'oboe']"
25,Cro_v05_rabbit_ILSVRC2012_val_00013125_cs.jpg,window screen,"['window screen', 'fire screen', 'nematode', 'microphone', 'oboe']"
26,Cro_v05_airplane_ILSVRC2012_val_00030531_cs.jpg,envelope,"['envelope', 'fire screen', 'cleaver', 'window screen', 'toilet seat']"
27,Cro_v05_rabbit_ILSVRC2012_val_00044412_cs.jpg,window screen,"['window screen', 'fire screen', 'nematode', 'envelope', 'strainer']"
28,Cro_v05_pineapple_ILSVRC2012_val_00012582_cs.jpg,window screen,"['window screen', 'fire screen', 'nematode', 'envelope', 'parachute']"
29,Cro_v05_squirrel_ILSVRC2012_val_00048792_cs.jpg,window screen,"['window screen', 'fire screen', 'assault rifle', 'rifle', 'oboe']"
30,Cro_v05_lemon_ILSVRC2012_val_00048264_cs.jpg,strainer,"['strainer', 'window screen', 'fire screen', 'chain mail', 'loudspeaker']"
31,Cro_v05_spider_ILSVRC2012_val_00039661_cs.jpg,envelope,"['envelope', 'menu', 'nematode', 'toilet seat', 'oscilloscope']"
32,Cro_v05_horse_ILSVRC2012_val_00011600_cs.jpg,fire screen,"['fire screen', 'window screen', 'envelope', 'oboe', 'nematode']"
33,Cro_v05_bellpepper_ILSVRC2012_val_00000423_cs.jpg,window screen,"['window screen', 'fire screen', 'chain mail', 'loudspeaker', 'strainer']"
34,Cro_v05_turtle_ILSVRC2012_val_00047941_cs.jpg,window screen,"['window screen', 'fire screen', 'strainer', 'nematode', 'rifle']"
35,Cro_v05_lemon_ILSVRC2012_val_00038325_cs.jpg,strainer,"['strainer', 'window screen', 'fire screen', 'chain mail', 'loudspeaker']"
36,Cro_v05_bear_ILSVRC2012_val_00011967_cs.jpg,window screen,"['window screen', 'fire screen', 'nematode', 'assault rifle', 'rifle']"
37,Cro_v05_car_ILSVRC2012_val_00005456_cs.jpg,window screen,"['window screen', 'fire screen', 'strainer', 'envelope', 'nematode']"
38,Cro_v05_hammer_ILSVRC2012_val_00032002_cs.jpg,envelope,"['envelope', 'microphone', 'kite', 'screw', 'nail']"
