,image_path,top1_class,top5_class
0,Sil_acorn_ILSVRC2012_val_00031536_s.jpg,promontory,"['promontory', 'volcano', 'balloon', 'alp', 'parachute']"
1,Sil_acorn_ILSVRC2012_val_00045517_s.jpg,promontory,"['promontory', 'cliff', 'volcano', 'alp', 'vulture']"
2,Sil_bellpepper_ILSVRC2012_val_00028090_s.jpg,sleeping bag,"['sleeping bag', 'promontory', 'megalith', 'bulletproof vest', 'knee pad']"
3,Sil_bird_ILSVRC2012_val_00007153_s.jpg,caldron,"['caldron', 'balloon', 'fire screen', 'vulture', 'chime']"
4,Sil_corn_ILSVRC2012_val_00019250_s.jpg,volcano,"['volcano', 'promontory', 'alp', 'megalith', 'cliff']"
5,Sil_bear_ILSVRC2012_val_00041813_s.jpg,Arabian camel,"['Arabian camel', 'megalith', 'vulture', 'abaya', 'hammerhead']"
6,Sil_swine_ILSVRC2012_val_00031491_s.jpg,promontory,"['promontory', 'Arabian camel', 'vulture', 'cliff', 'parachute']"
7,Sil_mug_ILSVRC2012_val_00027194_s.jpg,mailbag,"['mailbag', 'backpack', 'jersey', 'bulletproof vest', 'apron']"
8,Sil_horse_ILSVRC2012_val_00008317_s.jpg,Doberman,"['Doberman', 'Great Dane', 'Mexican hairless', 'ibex', 'giant schnauzer']"
9,Sil_crab_ILSVRC2012_val_00003272_s.jpg,megalith,"['megalith', 'tusker', 'ski mask', 'Arabian camel', 'African elephant']"
10,Sil_spider_ILSVRC2012_val_00008805_s.jpg,garden spider,"['garden spider', 'black and gold garden spider', 'barn spider', 'wolf spider', 'black widow']"
11,Sil_clock_ILSVRC2012_val_00035461_s.jpg,bathing cap,"['bathing cap', 'toilet seat', 'loupe', 'pick', 'balloon']"
12,Sil_snail_ILSVRC2012_val_00045031_s.jpg,slug,"['slug', 'brassiere', 'snail', 'balloon', 'hip']"
13,Sil_frog_ILSVRC2012_val_00022660_s.jpg,parachute,"['parachute', 'pedestal', 'Arabian camel', 'hook', 'ibex']"
14,Sil_squirrel_ILSVRC2012_val_00035501_s.jpg,albatross,"['albatross', 'vulture', 'kite', 'bald eagle', 'little blue heron']"
15,Sil_frog_ILSVRC2012_val_00010287_s.jpg,Arabian camel,"['Arabian camel', 'cradle', 'hammerhead', 'megalith', 'abaya']"
16,Sil_cabbage_ILSVRC2012_val_00007752_s.jpg,promontory,"['promontory', 'volcano', 'cliff', 'balloon', 'alp']"
17,Sil_microwave_ILSVRC2012_val_00038763_s.jpg,binder,"['binder', 'envelope', 'screen', 'printer', 'notebook']"
18,Sil_fish_ILSVRC2012_val_00021343_s.jpg,kite,"['kite', 'hatchet', 'albatross', 'vulture', 'quill']"
19,Sil_spider_ILSVRC2012_val_00029756_s.jpg,tick,"['tick', 'ground beetle', 'barn spider', 'garden spider', 'gazelle']"
20,Sil_hippopotamus_ILSVRC2012_val_00032449_s.jpg,bulletproof vest,"['bulletproof vest', 'jersey', 'abaya', 'wool', 'sweatshirt']"
21,Sil_flower_ILSVRC2012_val_00013936_s.jpg,megalith,"['megalith', 'traffic light', 'velvet', 'stupa', 'wool']"
22,Sil_pineapple_ILSVRC2012_val_00012582_s.jpg,binder,"['binder', 'warplane', 'envelope', 'wreck', 'aircraft carrier']"
23,Sil_hammer_ILSVRC2012_val_00001110_s.jpg,hook,"['hook', 'obelisk', 'pedestal', 'hatchet', 'street sign']"
24,Sil_dog_ILSVRC2012_val_00012566_s.jpg,megalith,"['megalith', 'Arabian camel', 'vulture', 'abaya', 'pedestal']"
25,Sil_apple_ILSVRC2012_val_00000023_s.jpg,toilet seat,"['toilet seat', 'bathing cap', 'balloon', 'fire screen', 'water tower']"
26,Sil_snake_ILSVRC2012_val_00013400_s.jpg,neck brace,"['neck brace', 'mask', 'ski mask', 'toilet seat', 'hook']"
27,Sil_hammer_ILSVRC2012_val_00003387_s.jpg,hook,"['hook', 'spatula', 'can opener', 'sock', 'letter opener']"
28,Sil_camel_ILSVRC2012_val_00006200_s.jpg,Arabian camel,"['Arabian camel', 'vulture', 'hook', 'kite', 'little blue heron']"
29,Sil_dryer_ILSVRC2012_val_00027635_s.jpg,hook,"['hook', 'assault rifle', 'holster', 'corkscrew', 'rifle']"
30,Sil_bird_ILSVRC2012_val_00028363_s.jpg,balloon,"['balloon', 'vulture', 'ibex', 'stupa', 'Arabian camel']"
31,Sil_airplane_ILSVRC2012_val_00049097_s.jpg,albatross,"['albatross', 'warplane', 'wing', 'kite', 'vulture']"
32,Sil_squirrel_ILSVRC2012_val_00042981_s.jpg,megalith,"['megalith', 'Arabian camel', 'vulture', 'hammerhead', 'promontory']"
33,Sil_frog_ILSVRC2012_val_00041279_s.jpg,kite,"['kite', 'black grouse', 'magpie', 'vulture', 'balloon']"
34,Sil_monkey_ILSVRC2012_val_00003631_s.jpg,promontory,"['promontory', 'cliff', 'abaya', 'alp', 'Arabian camel']"
35,Sil_car_ILSVRC2012_val_00005456_s.jpg,megalith,"['megalith', 'backpack', 'parachute', 'bulletproof vest', 'sleeping bag']"
36,Sil_car_ILSVRC2012_val_00034824_s.jpg,megalith,"['megalith', 'promontory', 'balloon', 'vulture', 'parachute']"
37,Sil_banana_ILSVRC2012_val_00046575_s.jpg,wing,"['wing', 'schooner', 'airship', 'mountain tent', 'table lamp']"
38,Sil_lemon_ILSVRC2012_val_00028823_s.jpg,bathing cap,"['bathing cap', 'bulletproof vest', 'backpack', 'mask', 'balloon']"
39,Sil_spider_ILSVRC2012_val_00026030_s.jpg,tick,"['tick', 'ibex', 'barn spider', 'impala', 'garden spider']"
40,Sil_cabbage_ILSVRC2012_val_00005749_s.jpg,volcano,"['volcano', 'sulphur-crested cockatoo', 'balloon', 'parachute', 'American egret']"
41,Sil_snake_ILSVRC2012_val_00014926_s.jpg,albatross,"['albatross', 'goose', 'hook', 'black swan', 'nematode']"
42,Sil_banana_ILSVRC2012_val_00038819_s.jpg,volcano,"['volcano', 'promontory', 'parachute', 'cliff', 'alp']"
43,Sil_crab_ILSVRC2012_val_00011922_s.jpg,scorpion,"['scorpion', 'pelican', 'tick', 'albatross', 'fiddler crab']"
44,Sil_butterfly_ILSVRC2012_val_00013795_s.jpg,parachute,"['parachute', 'mailbag', 'backpack', 'sleeping bag', 'rhinoceros beetle']"
45,Sil_tiger_ILSVRC2012_val_00048186_s.jpg,triceratops,"['triceratops', 'ibex', 'Egyptian cat', 'Indian elephant', 'Great Dane']"
46,Sil_microwave_ILSVRC2012_val_00027917_s.jpg,jersey,"['jersey', 'volcano', 'bulletproof vest', 'abaya', 'trench coat']"
47,Sil_apple_ILSVRC2012_val_00045087_s.jpg,frying pan,"['frying pan', 'gong', 'wok', 'solar dish', 'chime']"
48,Sil_pineapple_ILSVRC2012_val_00029522_s.jpg,parachute,"['parachute', 'warplane', 'corkscrew', 'hook', 'wreck']"
49,Sil_butterfly_ILSVRC2012_val_00035074_s.jpg,parachute,"['parachute', 'electric ray', 'mosque', 'hook', 'airship']"
50,Sil_apple_ILSVRC2012_val_00012232_s.jpg,bathing cap,"['bathing cap', 'toilet seat', 'balloon', 'puck', 'pick']"
51,Sil_helmet_ILSVRC2012_val_00013302_s.jpg,jersey,"['jersey', 'bulletproof vest', 'abaya', 'sweatshirt', 'cloak']"
52,Sil_airplane_ILSVRC2012_val_00030531_s.jpg,warplane,"['warplane', 'albatross', 'wing', 'airship', 'airliner']"
53,Sil_crocodilian_ILSVRC2012_val_00010826_s.jpg,vulture,"['vulture', 'kite', 'megalith', 'parachute', 'pedestal']"
54,Sil_shoe_ILSVRC2012_val_00033141_s.jpg,backpack,"['backpack', 'megalith', 'mailbag', 'sleeping bag', 'bulletproof vest']"
55,Sil_camel_ILSVRC2012_val_00013553_s.jpg,megalith,"['megalith', 'Arabian camel', 'promontory', 'abaya', 'jersey']"
56,Sil_lemon_ILSVRC2012_val_00038325_s.jpg,volcano,"['volcano', 'promontory', 'mountain tent', 'balloon', 'cliff']"
57,Sil_chair_ILSVRC2012_val_00041720_s.jpg,mailbag,"['mailbag', 'stretcher', 'folding chair', 'rocking chair', 'binder']"
58,Sil_acorn_ILSVRC2012_val_00012754_s.jpg,promontory,"['promontory', 'volcano', 'cliff', 'alp', 'parachute']"
59,Sil_broccoli_ILSVRC2012_val_00013519_s.jpg,notebook,"['notebook', 'jersey', 'laptop', 'abaya', 'loudspeaker']"
60,Sil_pineapple_ILSVRC2012_val_00024461_s.jpg,parachute,"['parachute', 'vulture', 'bald eagle', 'balloon', 'warplane']"
61,Sil_hammer_ILSVRC2012_val_00032002_s.jpg,nail,"['nail', 'hammer', 'hatchet', 'hook', 'matchstick']"
62,Sil_shoe_ILSVRC2012_val_00034558_s.jpg,mailbag,"['mailbag', 'abaya', 'sleeping bag', 'apron', 'backpack']"
63,Sil_helmet_ILSVRC2012_val_00047186_s.jpg,bulletproof vest,"['bulletproof vest', 'jersey', 'sweatshirt', 'abaya', 'mask']"
64,Sil_strawberry_ILSVRC2012_val_00031440_s.jpg,sleeping bag,"['sleeping bag', 'volcano', 'bulletproof vest', 'backpack', 'knee pad']"
65,Sil_dog_ILSVRC2012_val_00010378_s.jpg,promontory,"['promontory', 'cliff', 'alp', 'megalith', 'vulture']"
66,Sil_bellpepper_ILSVRC2012_val_00003536_s.jpg,volcano,"['volcano', 'promontory', 'alp', 'bulletproof vest', 'sleeping bag']"
67,Sil_snail_ILSVRC2012_val_00018951_s.jpg,promontory,"['promontory', 'backpack', 'cliff', 'parachute', 'megalith']"
68,Sil_airplane_ILSVRC2012_val_00033920_s.jpg,warplane,"['warplane', 'airliner', 'wing', 'hook', 'syringe']"
69,Sil_tiger_ILSVRC2012_val_00015897_s.jpg,hammerhead,"['hammerhead', 'kite', 'vulture', 'bald eagle', 'albatross']"
70,Sil_mushroom_ILSVRC2012_val_00021713_s.jpg,albatross,"['albatross', 'parachute', 'kite', 'vulture', 'hook']"
71,Sil_chair_ILSVRC2012_val_00001953_s.jpg,rocking chair,"['rocking chair', 'dining table', 'desk', 'folding chair', 'bassinet']"
72,Sil_cabbage_ILSVRC2012_val_00027632_s.jpg,jersey,"['jersey', 'bulletproof vest', 'sweatshirt', 'binder', 'abaya']"
73,Sil_cat_ILSVRC2012_val_00001341_s.jpg,conch,"['conch', 'parachute', 'volcano', 'megalith', 'vulture']"
74,Sil_camel_ILSVRC2012_val_00011354_s.jpg,Arabian camel,"['Arabian camel', 'megalith', 'vulture', 'abaya', 'hammerhead']"
75,Sil_elephant_ILSVRC2012_val_00011247_s.jpg,Arabian camel,"['Arabian camel', 'vulture', 'stupa', 'megalith', 'kite']"
76,Sil_cat_ILSVRC2012_val_00013550_s.jpg,megalith,"['megalith', 'promontory', 'vulture', 'cliff', 'pedestal']"
77,Sil_mushroom_ILSVRC2012_val_00040625_s.jpg,megalith,"['megalith', 'pedestal', 'table lamp', 'vulture', 'hook']"
78,Sil_guitar_ILSVRC2012_val_00019484_s.jpg,spatula,"['spatula', 'ladle', 'acoustic guitar', 'whistle', 'shovel']"
79,Sil_snake_ILSVRC2012_val_00027631_s.jpg,little blue heron,"['little blue heron', 'ringneck snake', 'nematode', 'thunder snake', 'hook']"
80,Sil_lobster_ILSVRC2012_val_00028657_s.jpg,airship,"['airship', 'corkscrew', 'backpack', 'plow', 'hook']"
81,Sil_flower_ILSVRC2012_val_00019320_s.jpg,megalith,"['megalith', 'mitten', 'vulture', 'daisy', 'warplane']"
82,Sil_guitar_ILSVRC2012_val_00036762_s.jpg,electric guitar,"['electric guitar', 'acoustic guitar', 'banjo', 'whistle', 'letter opener']"
83,Sil_camel_ILSVRC2012_val_00015872_s.jpg,Arabian camel,"['Arabian camel', 'ibex', 'poncho', 'abaya', 'bulletproof vest']"
84,Sil_car_ILSVRC2012_val_00010455_s.jpg,megalith,"['megalith', 'abaya', 'Arabian camel', 'vulture', 'parachute']"
85,Sil_dryer_ILSVRC2012_val_00046673_s.jpg,ibex,"['ibex', 'parachute', 'vulture', 'kite', 'bald eagle']"
86,Sil_fish_ILSVRC2012_val_00032417_s.jpg,promontory,"['promontory', 'volcano', 'megalith', 'alp', 'cliff']"
87,Sil_lemon_ILSVRC2012_val_00045149_s.jpg,pick,"['pick', 'balloon', 'toilet seat', 'bathing cap', 'mask']"
88,Sil_squirrel_ILSVRC2012_val_00023383_s.jpg,promontory,"['promontory', 'cliff', 'bulletproof vest', 'stupa', 'megalith']"
89,Sil_hammer_ILSVRC2012_val_00015583_s.jpg,hatchet,"['hatchet', 'hammer', 'hook', 'nail', 'parachute']"
90,Sil_crocodilian_ILSVRC2012_val_00038287_s.jpg,kite,"['kite', 'vulture', 'bald eagle', 'ibex', 'albatross']"
91,Sil_crab_ILSVRC2012_val_00008705_s.jpg,ibex,"['ibex', 'scorpion', 'tick', 'fiddler crab', 'rock crab']"
92,Sil_hippopotamus_ILSVRC2012_val_00003302_s.jpg,abaya,"['abaya', 'electric ray', 'megalith', 'vulture', 'bulletproof vest']"
93,Sil_turtle_ILSVRC2012_val_00047941_s.jpg,megalith,"['megalith', 'balloon', 'stupa', 'airship', 'Arabian camel']"
94,Sil_snake_ILSVRC2012_val_00006751_s.jpg,nematode,"['nematode', 'thunder snake', 'ringneck snake', 'sea snake', 'water snake']"
95,Sil_shoe_ILSVRC2012_val_00020303_s.jpg,megalith,"['megalith', 'vulture', 'warplane', 'kite', 'hook']"
