,image_path,top1_class,top5_class
0,Tex_cat_ILSVRC2012_val_00031180_t.jpg,Angora,"['Angora', 'Samoyed', 'Arctic fox', 'Persian cat', 'Great Pyrenees']"
1,Tex_clock_ILSVRC2012_val_00035392_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'maze', 'wall clock', 'buckle', 'comic book']"
2,Tex_spider_ILSVRC2012_val_00008805_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'stole', 'poncho', 'wool', 'coho']"
3,Tex_bird_ILSVRC2012_val_00004344_t.jpg,jay,"['jay', 'handkerchief', 'plastic bag', 'jigsaw puzzle', 'swimming trunks']"
4,Tex_guitar_ILSVRC2012_val_00036762_t.jpg,electric guitar,"['electric guitar', 'comic book', 'poncho', 'safety pin', 'stole']"
5,Tex_dryer_ILSVRC2012_val_00038783_t.jpg,tank,"['tank', 'projectile', 'aircraft carrier', 'missile', 'cannon']"
6,Tex_chair_ILSVRC2012_val_00001953_t.jpg,shoe shop,"['shoe shop', 'cowboy hat', 'cowboy boot', 'clog', 'padlock']"
7,Tex_bellpepper_ILSVRC2012_val_00000423_t.jpg,conch,"['conch', 'American lobster', 'cello', ""jack-o'-lantern"", 'butternut squash']"
8,Tex_microwave_ILSVRC2012_val_00038763_t.jpg,recreational vehicle,"['recreational vehicle', 'passenger car', 'mobile home', 'trailer truck', 'microwave']"
9,Tex_bee_ILSVRC2012_val_00017418_t.jpg,bee,"['bee', 'honeycomb', 'apiary', 'fly', 'ladybug']"
10,Tex_cat_ILSVRC2012_val_00001341_t.jpg,jackfruit,"['jackfruit', 'pineapple', 'hen-of-the-woods', 'custard apple', 'pizza']"
11,Tex_guitar_ILSVRC2012_val_00019484_t.jpg,chain mail,"['chain mail', 'oboe', 'necklace', 'comic book', 'hair slide']"
12,Tex_flower_ILSVRC2012_val_00013936_t.jpg,daisy,"['daisy', 'bee', 'vase', 'long-horned beetle', 'fly']"
13,Tex_lobster_ILSVRC2012_val_00028657_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'poncho', 'stole', 'hen', 'ruffed grouse']"
14,Tex_broccoli_ILSVRC2012_val_00004207_t.jpg,broccoli,"['broccoli', 'cauliflower', 'head cabbage', 'coral reef', 'zucchini']"
15,Tex_helmet_ILSVRC2012_val_00049691_t.jpg,breastplate,"['breastplate', 'cuirass', 'comic book', 'carousel', 'rhinoceros beetle']"
16,Tex_frog_ILSVRC2012_val_00041279_t.jpg,ruffed grouse,"['ruffed grouse', 'acorn', 'capuchin', 'buckeye', 'red fox']"
17,Tex_cat_ILSVRC2012_val_00038913_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'standard schnauzer', 'komondor', 'wool', 'Bedlington terrier']"
18,Tex_cabbage_ILSVRC2012_val_00005749_t.jpg,head cabbage,"['head cabbage', 'cauliflower', 'broccoli', 'plastic bag', 'artichoke']"
19,Tex_banana_ILSVRC2012_val_00038819_t.jpg,cauliflower,"['cauliflower', 'hen-of-the-woods', 'coral fungus', 'broccoli', 'artichoke']"
20,Tex_crab_ILSVRC2012_val_00003272_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'gyromitra', 'pizza', 'sea cucumber', 'tailed frog']"
21,Tex_gun_ILSVRC2012_val_00018910_t.jpg,assault rifle,"['assault rifle', 'dumbbell', 'rifle', 'revolver', 'plane']"
