,image_path,top1_class,top5_class
0,Cro5dva_v05_gun_ILSVRC2012_val_00016796_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'ant', 'envelope', 'nematode', 'window screen']"
1,Cro5dva_v05_broccoli_ILSVRC2012_val_00027637_cs.jpg,window screen,"['window screen', 'strainer', 'nematode', 'envelope', 'handkerchief']"
2,Cro5dva_v05_dog_ILSVRC2012_val_00030058_cs.jpg,window screen,"['window screen', 'lampshade', 'table lamp', 'strainer', 'chain mail']"
3,Cro5dva_v05_turtle_ILSVRC2012_val_00049782_cs.jpg,strainer,"['strainer', 'window screen', 'envelope', 'jersey', 'paper towel']"
4,Cro5dva_v05_crocodilian_ILSVRC2012_val_00038647_cs.jpg,starfish,"['starfish', 'nematode', 'strainer', 'hook', 'corkscrew']"
5,Cro5dva_v05_snail_ILSVRC2012_val_00023958_cs.jpg,envelope,"['envelope', 'window screen', 'handkerchief', 'nematode', 'strainer']"
6,Cro5dva_v05_flower_ILSVRC2012_val_00048934_cs.jpg,window screen,"['window screen', 'strainer', 'jigsaw puzzle', 'nematode', 'envelope']"
7,Cro5dva_v05_chair_ILSVRC2012_val_00001953_cs.jpg,window screen,"['window screen', 'Angora', 'airship', 'envelope', 'Sealyham terrier']"
8,Cro5dva_v05_banana_ILSVRC2012_val_00049606_cs.jpg,nematode,"['nematode', 'handkerchief', 'strainer', 'safety pin', 'airship']"
9,Cro5dva_v05_pineapple_ILSVRC2012_val_00029522_cs.jpg,window screen,"['window screen', 'vase', 'chain mail', 'loudspeaker', 'table lamp']"
10,Cro5dva_v05_horse_ILSVRC2012_val_00017358_cs.jpg,window screen,"['window screen', 'envelope', 'handkerchief', 'hair slide', 'ant']"
11,Cro5dva_v05_elephant_ILSVRC2012_val_00040375_cs.jpg,window screen,"['window screen', 'digital clock', 'safety pin', 'web site', 'hand blower']"
12,Cro5dva_v05_mug_ILSVRC2012_val_00027194_cs.jpg,window screen,"['window screen', 'vase', 'jersey', 'face powder', 'strainer']"
13,Cro5dva_v05_tiger_ILSVRC2012_val_00048186_cs.jpg,nematode,"['nematode', 'ant', 'envelope', 'lipstick', 'safety pin']"
14,Cro5dva_v05_fish_ILSVRC2012_val_00032417_cs.jpg,strainer,"['strainer', 'window screen', 'starfish', 'nematode', 'handkerchief']"
15,Cro5dva_v05_camel_ILSVRC2012_val_00015872_cs.jpg,komondor,"['komondor', 'kuvasz', 'window screen', 'Irish wolfhound', 'envelope']"
16,Cro5dva_v05_crocodilian_ILSVRC2012_val_00037166_cs.jpg,nematode,"['nematode', 'strainer', 'starfish', 'window screen', 'hook']"
17,Cro5dva_v05_lobster_ILSVRC2012_val_00036759_cs.jpg,nematode,"['nematode', 'web site', 'envelope', 'oscilloscope', 'lipstick']"
18,Cro5dva_v05_dog_ILSVRC2012_val_00028881_cs.jpg,window screen,"['window screen', 'nematode', 'ant', 'envelope', 'safety pin']"
19,Cro5dva_v05_snail_ILSVRC2012_val_00046248_cs.jpg,nematode,"['nematode', 'envelope', 'cup', 'matchstick', 'airship']"
