,"file_name","image_type","predicted_index","possible_label"
720,"shoe_ILSVRC2012_val_00033141_t.jpg","rapeseed",984,"rapeseed"
721,"horse_ILSVRC2012_val_00029082_t.jpg","kite (bird of prey)",21,"kite (bird of prey)"
722,"airplane_ILSVRC2012_val_00033920_t.jpg","ski",795,"ski"
723,"clock_ILSVRC2012_val_00035392_t.jpg","spindle",816,"spindle"
724,"clock_ILSVRC2012_val_00028769_t.jpg","sarong",775,"sarong"
725,"broccoli_ILSVRC2012_val_00019851_t.jpg","Petri dish",712,"Petri dish"
726,"fish_ILSVRC2012_val_00032417_t.jpg","lakeshore",975,"lakeshore"
727,"tiger_ILSVRC2012_val_00015897_t.jpg","cloak",501,"cloak"
728,"bird_ILSVRC2012_val_00028363_t.jpg","paintbrush",696,"paintbrush"
729,"chair_ILSVRC2012_val_00004120_t.jpg","comic book",917,"comic book"
730,"hippopotamus_ILSVRC2012_val_00032449_t.jpg","earth star fungus",995,"earth star fungus"
731,"helmet_ILSVRC2012_val_00016289_t.jpg","stone wall",825,"stone wall"
732,"acorn_ILSVRC2012_val_00013791_t.jpg","Gila monster",45,"Gila monster"
733,"bellpepper_ILSVRC2012_val_00028090_t.jpg","jigsaw puzzle",611,"jigsaw puzzle"
734,"turtle_ILSVRC2012_val_00009376_t.jpg","Petri dish",712,"Petri dish"
735,"gun_ILSVRC2012_val_00012180_t.jpg","sarong",775,"sarong"
736,"car_ILSVRC2012_val_00034824_t.jpg","swimming cap",433,"swimming cap"
737,"chair_ILSVRC2012_val_00041720_t.jpg","maze",646,"maze"
738,"monkey_ILSVRC2012_val_00030191_t.jpg","kite (bird of prey)",21,"kite (bird of prey)"
739,"dryer_ILSVRC2012_val_00044460_t.jpg","swimming cap",433,"swimming cap"
740,"flower_ILSVRC2012_val_00019320_t.jpg","garbage truck",569,"garbage truck"
741,"butterfly_ILSVRC2012_val_00013795_t.jpg","spindle",816,"spindle"
742,"banana_ILSVRC2012_val_00049606_t.jpg","comic book",917,"comic book"
743,"dog_ILSVRC2012_val_00012566_t.jpg","ski",795,"ski"
744,"car_ILSVRC2012_val_00005456_t.jpg","kimono",614,"kimono"
745,"pineapple_ILSVRC2012_val_00024461_t.jpg","cloak",501,"cloak"
746,"pineapple_ILSVRC2012_val_00009015_t.jpg","kite (bird of prey)",21,"kite (bird of prey)"
747,"lobster_ILSVRC2012_val_00002502_t.jpg","kite (bird of prey)",21,"kite (bird of prey)"
748,"cat_ILSVRC2012_val_00000796_t.jpg","velvet fabric",885,"velvet fabric"
749,"cat_ILSVRC2012_val_00001341_t.jpg","assault rifle",413,"assault rifle"
750,"monkey_ILSVRC2012_val_00027323_t.jpg","paintbrush",696,"paintbrush"
751,"turtle_ILSVRC2012_val_00024666_t.jpg","Petri dish",712,"Petri dish"
752,"rabbit_ILSVRC2012_val_00044412_t.jpg","hen of the woods mushroom",996,"hen of the woods mushroom"
753,"snake_ILSVRC2012_val_00006751_t.jpg","lacewing",318,"lacewing"
754,"corn_ILSVRC2012_val_00007467_t.jpg","television",851,"television"
755,"snail_ILSVRC2012_val_00018951_t.jpg","bittern bird",133,"bittern bird"
756,"cabbage_ILSVRC2012_val_00027632_t.jpg","television",851,"television"
757,"squirrel_ILSVRC2012_val_00048792_t.jpg","fur coat",568,"fur coat"
758,"camel_ILSVRC2012_val_00013553_t.jpg","kite (bird of prey)",21,"kite (bird of prey)"
759,"mug_ILSVRC2012_val_00020276_t.jpg","bulletproof vest",465,"bulletproof vest"
760,"lemon_ILSVRC2012_val_00034286_t.jpg","jigsaw puzzle",611,"jigsaw puzzle"
761,"butterfly_ILSVRC2012_val_00035074_t.jpg","cloak",501,"cloak"
762,"dryer_ILSVRC2012_val_00038783_t.jpg","sarong",775,"sarong"
