,image_path,top1_class,top5_class
0,Cro_v07_turtle_ILSVRC2012_val_00049782_cd.jpg,window screen,"['window screen', 'chain mail', 'stole', 'poncho', 'strainer']"
1,Cro_v07_bear_ILSVRC2012_val_00031906_cd.jpg,window screen,"['window screen', 'chain mail', 'jigsaw puzzle', 'stole', 'screw']"
2,Cro_v07_bird_ILSVRC2012_val_00030545_cd.jpg,window screen,"['window screen', 'chain mail', 'screw', 'poncho', 'stole']"
3,Cro_v07_mug_ILSVRC2012_val_00020276_cd.jpg,window screen,"['window screen', 'chain mail', 'stole', 'necklace', 'brass']"
4,Cro_v07_snake_ILSVRC2012_val_00006751_cd.jpg,chain,"['chain', 'necklace', 'screw', 'oboe', 'chain mail']"
5,Cro_v07_snake_ILSVRC2012_val_00013400_cd.jpg,window screen,"['window screen', 'jigsaw puzzle', 'chain mail', 'stole', 'screw']"
6,Cro_v07_car_ILSVRC2012_val_00005456_cd.jpg,window screen,"['window screen', 'chain mail', 'stole', 'poncho', 'jigsaw puzzle']"
7,Cro_v07_swine_ILSVRC2012_val_00031491_cd.jpg,window screen,"['window screen', 'chain mail', 'stole', 'screw', 'poncho']"
8,Cro_v07_squirrel_ILSVRC2012_val_00023383_cd.jpg,window screen,"['window screen', 'chain mail', 'jigsaw puzzle', 'strainer', 'crossword puzzle']"
9,Cro_v07_monkey_ILSVRC2012_val_00027323_cd.jpg,window screen,"['window screen', 'jigsaw puzzle', 'screw', 'aircraft carrier', 'necklace']"
10,Cro_v07_bear_ILSVRC2012_val_00038263_cd.jpg,window screen,"['window screen', 'jigsaw puzzle', 'stole', 'chain mail', 'brass']"
11,Cro_v07_airplane_ILSVRC2012_val_00023781_cd.jpg,aircraft carrier,"['aircraft carrier', 'airship', 'dogsled', 'screw', 'drilling platform']"
12,Cro_v07_spider_ILSVRC2012_val_00026030_cd.jpg,screw,"['screw', 'necklace', 'chain', 'window screen', 'aircraft carrier']"
13,Cro_v07_lobster_ILSVRC2012_val_00047059_cd.jpg,window screen,"['window screen', 'jigsaw puzzle', 'aircraft carrier', 'screw', 'airship']"
14,Cro_v07_flower_ILSVRC2012_val_00022139_cd.jpg,window screen,"['window screen', 'jigsaw puzzle', 'chain mail', 'crossword puzzle', 'shower curtain']"
15,Cro_v07_crab_ILSVRC2012_val_00011922_cd.jpg,aircraft carrier,"['aircraft carrier', 'window screen', 'jigsaw puzzle', 'screw', 'ant']"
16,Cro_v07_squirrel_ILSVRC2012_val_00035501_cd.jpg,chain mail,"['chain mail', 'window screen', 'screw', 'necklace', 'stole']"
17,Cro_v07_spider_ILSVRC2012_val_00039661_cd.jpg,aircraft carrier,"['aircraft carrier', 'screw', 'warplane', 'pirate', 'necklace']"
18,Cro_v07_mushroom_ILSVRC2012_val_00040625_cd.jpg,screw,"['screw', 'aircraft carrier', 'airship', 'window screen', 'chain mail']"
19,Cro_v07_flower_ILSVRC2012_val_00048934_cd.jpg,window screen,"['window screen', 'jigsaw puzzle', 'crossword puzzle', 'brass', 'screw']"
20,Cro_v07_hammer_ILSVRC2012_val_00001110_cd.jpg,screw,"['screw', 'airship', 'aircraft carrier', 'snowmobile', 'ski']"
21,Cro_v07_airplane_ILSVRC2012_val_00011168_cd.jpg,aircraft carrier,"['aircraft carrier', 'airship', 'screw', 'window screen', 'dogsled']"
22,Cro_v07_flower_ILSVRC2012_val_00039137_cd.jpg,window screen,"['window screen', 'jigsaw puzzle', 'crossword puzzle', 'brass', 'shower curtain']"
23,Cro_v07_camel_ILSVRC2012_val_00011354_cd.jpg,window screen,"['window screen', 'jigsaw puzzle', 'chain mail', 'screw', 'crossword puzzle']"
24,Cro_v07_hammer_ILSVRC2012_val_00003387_cd.jpg,window screen,"['window screen', 'screw', 'chain mail', 'necklace', 'aircraft carrier']"
25,Cro_v07_dog_ILSVRC2012_val_00028881_cd.jpg,window screen,"['window screen', 'aircraft carrier', 'airship', 'jigsaw puzzle', 'screw']"
26,Cro_v07_rabbit_ILSVRC2012_val_00013125_cd.jpg,window screen,"['window screen', 'chain mail', 'stole', 'screw', 'poncho']"
27,Cro_v07_gun_ILSVRC2012_val_00018910_cd.jpg,aircraft carrier,"['aircraft carrier', 'airship', 'window screen', 'drilling platform', 'screw']"
28,Cro_v07_fish_ILSVRC2012_val_00032417_cd.jpg,window screen,"['window screen', 'chain mail', 'stole', 'screw', 'poncho']"
29,Cro_v07_squirrel_ILSVRC2012_val_00042981_cd.jpg,window screen,"['window screen', 'jigsaw puzzle', 'aircraft carrier', 'airship', 'screw']"
30,Cro_v07_butterfly_ILSVRC2012_val_00025307_cd.jpg,window screen,"['window screen', 'jigsaw puzzle', 'necklace', 'crossword puzzle', 'chain mail']"
31,Cro_v07_snail_ILSVRC2012_val_00001959_cd.jpg,window screen,"['window screen', 'chain mail', 'necklace', 'jigsaw puzzle', 'strainer']"
32,Cro_v07_chair_ILSVRC2012_val_00004120_cd.jpg,necklace,"['necklace', 'window screen', 'chain', 'screw', 'chain mail']"
33,Cro_v07_bird_ILSVRC2012_val_00028363_cd.jpg,window screen,"['window screen', 'aircraft carrier', 'airship', 'chain mail', 'jigsaw puzzle']"
34,Cro_v07_bee_ILSVRC2012_val_00017418_cd.jpg,window screen,"['window screen', 'screw', 'jigsaw puzzle', 'chain mail', 'aircraft carrier']"
35,Cro_v07_guitar_ILSVRC2012_val_00021556_cd.jpg,aircraft carrier,"['aircraft carrier', 'window screen', 'screw', 'airship', 'jigsaw puzzle']"
