,image_path,top1_class,top5_class
0,Cro_v05_gun_ILSVRC2012_val_00016796_cs.jpg,envelope,"['envelope', 'handkerchief', 'bib', 'jersey', 'paper towel']"
1,Cro_v05_broccoli_ILSVRC2012_val_00027637_cs.jpg,handkerchief,"['handkerchief', 'envelope', 'paper towel', 'prayer rug', 'bib']"
2,Cro_v05_dog_ILSVRC2012_val_00030058_cs.jpg,prayer rug,"['prayer rug', 'handkerchief', 'envelope', 'paper towel', 'rule']"
3,Cro_v05_turtle_ILSVRC2012_val_00049782_cs.jpg,handkerchief,"['handkerchief', 'prayer rug', 'envelope', 'jigsaw puzzle', 'paper towel']"
4,Cro_v05_crocodilian_ILSVRC2012_val_00038647_cs.jpg,digital clock,"['digital clock', 'envelope', 'handkerchief', 'rule', 'prayer rug']"
5,Cro_v05_snail_ILSVRC2012_val_00023958_cs.jpg,handkerchief,"['handkerchief', 'envelope', 'bib', 'prayer rug', 'paper towel']"
6,Cro_v05_flower_ILSVRC2012_val_00048934_cs.jpg,prayer rug,"['prayer rug', 'jigsaw puzzle', 'paper towel', 'envelope', 'crossword puzzle']"
7,Cro_v05_chair_ILSVRC2012_val_00001953_cs.jpg,handkerchief,"['handkerchief', 'envelope', 'paper towel', 'prayer rug', 'ant']"
8,Cro_v05_banana_ILSVRC2012_val_00049606_cs.jpg,handkerchief,"['handkerchief', 'envelope', 'nematode', 'necklace', 'rule']"
9,Cro_v05_pineapple_ILSVRC2012_val_00029522_cs.jpg,prayer rug,"['prayer rug', 'window screen', 'jigsaw puzzle', 'rule', 'paper towel']"
10,Cro_v05_horse_ILSVRC2012_val_00017358_cs.jpg,envelope,"['envelope', 'paper towel', 'handkerchief', 'prayer rug', 'jigsaw puzzle']"
11,Cro_v05_elephant_ILSVRC2012_val_00040375_cs.jpg,envelope,"['envelope', 'handkerchief', 'prayer rug', 'paper towel', 'bib']"
12,Cro_v05_mug_ILSVRC2012_val_00027194_cs.jpg,prayer rug,"['prayer rug', 'window screen', 'coral fungus', 'paper towel', 'hen-of-the-woods']"
13,Cro_v05_tiger_ILSVRC2012_val_00048186_cs.jpg,envelope,"['envelope', 'digital clock', 'handkerchief', 'paper towel', 'bib']"
14,Cro_v05_fish_ILSVRC2012_val_00032417_cs.jpg,envelope,"['envelope', 'handkerchief', 'paper towel', 'rule', 'prayer rug']"
15,Cro_v05_camel_ILSVRC2012_val_00015872_cs.jpg,envelope,"['envelope', 'prayer rug', 'handkerchief', 'crossword puzzle', 'menu']"
16,Cro_v05_crocodilian_ILSVRC2012_val_00037166_cs.jpg,envelope,"['envelope', 'digital clock', 'rule', 'handkerchief', 'nematode']"
17,Cro_v05_lobster_ILSVRC2012_val_00036759_cs.jpg,envelope,"['envelope', 'handkerchief', 'ant', 'rule', 'menu']"
18,Cro_v05_dog_ILSVRC2012_val_00028881_cs.jpg,envelope,"['envelope', 'handkerchief', 'paper towel', 'rule', 'menu']"
19,Cro_v05_snail_ILSVRC2012_val_00046248_cs.jpg,envelope,"['envelope', 'handkerchief', 'bib', 'digital clock', 'paper towel']"
20,Cro_v05_airplane_ILSVRC2012_val_00049097_cs.jpg,envelope,"['envelope', 'handkerchief', 'power drill', 'paper towel', 'digital clock']"
21,Cro_v05_swine_ILSVRC2012_val_00011892_cs.jpg,prayer rug,"['prayer rug', 'coral fungus', 'window screen', 'jigsaw puzzle', 'hen-of-the-woods']"
22,Cro_v05_dog_ILSVRC2012_val_00012566_cs.jpg,envelope,"['envelope', 'handkerchief', 'digital clock', 'bib', 'paper towel']"
23,Cro_v05_shoe_ILSVRC2012_val_00048970_cs.jpg,envelope,"['envelope', 'handkerchief', 'paper towel', 'prayer rug', 'rule']"
24,Cro_v05_snake_ILSVRC2012_val_00014926_cs.jpg,prayer rug,"['prayer rug', 'handkerchief', 'envelope', 'paper towel', 'digital clock']"
25,Cro_v05_rabbit_ILSVRC2012_val_00013125_cs.jpg,handkerchief,"['handkerchief', 'prayer rug', 'paper towel', 'envelope', 'rule']"
26,Cro_v05_airplane_ILSVRC2012_val_00030531_cs.jpg,envelope,"['envelope', 'handkerchief', 'screw', 'power drill', 'rule']"
27,Cro_v05_rabbit_ILSVRC2012_val_00044412_cs.jpg,prayer rug,"['prayer rug', 'paper towel', 'envelope', 'handkerchief', 'jigsaw puzzle']"
28,Cro_v05_pineapple_ILSVRC2012_val_00012582_cs.jpg,handkerchief,"['handkerchief', 'envelope', 'prayer rug', 'window screen', 'paper towel']"
29,Cro_v05_squirrel_ILSVRC2012_val_00048792_cs.jpg,prayer rug,"['prayer rug', 'handkerchief', 'paper towel', 'window screen', 'envelope']"
30,Cro_v05_lemon_ILSVRC2012_val_00048264_cs.jpg,prayer rug,"['prayer rug', 'hen-of-the-woods', 'jigsaw puzzle', 'window screen', 'coral fungus']"
31,Cro_v05_spider_ILSVRC2012_val_00039661_cs.jpg,warplane,"['warplane', 'envelope', 'handkerchief', 'wing', 'ant']"
32,Cro_v05_horse_ILSVRC2012_val_00011600_cs.jpg,handkerchief,"['handkerchief', 'envelope', 'prayer rug', 'paper towel', 'bib']"
33,Cro_v05_bellpepper_ILSVRC2012_val_00000423_cs.jpg,prayer rug,"['prayer rug', 'window screen', 'jigsaw puzzle', 'paper towel', 'hen-of-the-woods']"
34,Cro_v05_turtle_ILSVRC2012_val_00047941_cs.jpg,handkerchief,"['handkerchief', 'prayer rug', 'envelope', 'paper towel', 'jigsaw puzzle']"
35,Cro_v05_lemon_ILSVRC2012_val_00038325_cs.jpg,prayer rug,"['prayer rug', 'hen-of-the-woods', 'coral fungus', 'handkerchief', 'window screen']"
36,Cro_v05_bear_ILSVRC2012_val_00011967_cs.jpg,envelope,"['envelope', 'handkerchief', 'paper towel', 'bib', 'rule']"
37,Cro_v05_car_ILSVRC2012_val_00005456_cs.jpg,envelope,"['envelope', 'handkerchief', 'prayer rug', 'paper towel', 'jigsaw puzzle']"
38,Cro_v05_hammer_ILSVRC2012_val_00032002_cs.jpg,screw,"['screw', 'power drill', 'envelope', 'warplane', 'handkerchief']"
39,Cro_v05_lobster_ILSVRC2012_val_00028657_cs.jpg,envelope,"['envelope', 'handkerchief', 'prayer rug', 'rule', 'quill']"
40,Cro_v05_butterfly_ILSVRC2012_val_00035074_cs.jpg,prayer rug,"['prayer rug', 'envelope', 'handkerchief', 'paper towel', 'bib']"
41,Cro_v05_fish_ILSVRC2012_val_00047320_cs.jpg,envelope,"['envelope', 'digital clock', 'power drill', 'handkerchief', 'paper towel']"
42,Cro_v05_airplane_ILSVRC2012_val_00011168_cs.jpg,digital clock,"['digital clock', 'envelope', 'handkerchief', 'bib', 'digital watch']"
43,Cro_v05_dog_ILSVRC2012_val_00010378_cs.jpg,prayer rug,"['prayer rug', 'jigsaw puzzle', 'window screen', 'handkerchief', 'envelope']"
44,Cro_v05_butterfly_ILSVRC2012_val_00042436_cs.jpg,envelope,"['envelope', 'handkerchief', 'paper towel', 'prayer rug', 'rule']"
45,Cro_v05_chair_ILSVRC2012_val_00044181_cs.jpg,prayer rug,"['prayer rug', 'envelope', 'handkerchief', 'paper towel', 'bib']"
46,Cro_v05_horse_ILSVRC2012_val_00032126_cs.jpg,prayer rug,"['prayer rug', 'envelope', 'jigsaw puzzle', 'rule', 'handkerchief']"
