,image_path,top1_class,top5_class
0,Cro_v05_gun_ILSVRC2012_val_00016796_cs.jpg,bee eater,"['bee eater', 'screw', 'envelope', 'American egret', 'spider web']"
1,Cro_v05_broccoli_ILSVRC2012_val_00027637_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'parachute', 'screw', 'nail', 'window screen']"
2,Cro_v05_dog_ILSVRC2012_val_00030058_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'stole', 'chain mail', 'window screen', 'crossword puzzle']"
3,Cro_v05_turtle_ILSVRC2012_val_00049782_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'strainer', 'parachute', 'nail', 'window screen']"
4,Cro_v05_crocodilian_ILSVRC2012_val_00038647_cs.jpg,airship,"['airship', 'jigsaw puzzle', 'parachute', 'window screen', 'screw']"
5,Cro_v05_snail_ILSVRC2012_val_00023958_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'envelope', 'strainer', 'nail', 'screw']"
6,Cro_v05_flower_ILSVRC2012_val_00048934_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'crossword puzzle', 'envelope', 'screw', 'menu']"
7,Cro_v05_chair_ILSVRC2012_val_00001953_cs.jpg,bee eater,"['bee eater', 'envelope', 'jigsaw puzzle', 'screw', 'menu']"
8,Cro_v05_banana_ILSVRC2012_val_00049606_cs.jpg,chain,"['chain', 'necklace', 'screw', 'chain mail', 'nail']"
9,Cro_v05_pineapple_ILSVRC2012_val_00029522_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'crossword puzzle', 'window screen', 'menu', 'envelope']"
10,Cro_v05_horse_ILSVRC2012_val_00017358_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'crossword puzzle', 'screw', 'space shuttle', 'envelope']"
11,Cro_v05_elephant_ILSVRC2012_val_00040375_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'crossword puzzle', 'envelope', 'stole', 'prayer rug']"
12,Cro_v05_mug_ILSVRC2012_val_00027194_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'window screen', 'crossword puzzle', 'strainer', 'chain mail']"
13,Cro_v05_tiger_ILSVRC2012_val_00048186_cs.jpg,screw,"['screw', 'jigsaw puzzle', 'crossword puzzle', 'envelope', 'assault rifle']"
14,Cro_v05_fish_ILSVRC2012_val_00032417_cs.jpg,nail,"['nail', 'strainer', 'screw', 'envelope', 'airship']"
15,Cro_v05_camel_ILSVRC2012_val_00015872_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'chain', 'crossword puzzle', 'spider web', 'chain mail']"
16,Cro_v05_crocodilian_ILSVRC2012_val_00037166_cs.jpg,screw,"['screw', 'nail', 'envelope', 'airship', 'strainer']"
