,image_path,top1_class,top5_class
0,Cro_v05_gun_ILSVRC2012_val_00016796_cs.jpg,ant,"['ant', 'whistle', 'envelope', 'binder', 'window screen']"
1,Cro_v05_broccoli_ILSVRC2012_val_00027637_cs.jpg,ear,"['ear', 'whistle', 'folding chair', 'nail', 'envelope']"
2,Cro_v05_dog_ILSVRC2012_val_00030058_cs.jpg,stole,"['stole', 'binder', 'handkerchief', 'Christmas stocking', 'crossword puzzle']"
3,Cro_v05_turtle_ILSVRC2012_val_00049782_cs.jpg,bottlecap,"['bottlecap', 'whistle', 'wool', 'strawberry', 'binder']"
4,Cro_v05_crocodilian_ILSVRC2012_val_00038647_cs.jpg,whistle,"['whistle', 'window screen', 'binder', 'ear', 'handkerchief']"
5,Cro_v05_snail_ILSVRC2012_val_00023958_cs.jpg,folding chair,"['folding chair', 'whistle', 'ant', 'window screen', 'screw']"
6,Cro_v05_flower_ILSVRC2012_val_00048934_cs.jpg,fire screen,"['fire screen', 'binder', 'window screen', 'stole', 'ant']"
7,Cro_v05_chair_ILSVRC2012_val_00001953_cs.jpg,oboe,"['oboe', 'ant', 'aircraft carrier', 'binder', 'jigsaw puzzle']"
8,Cro_v05_banana_ILSVRC2012_val_00049606_cs.jpg,envelope,"['envelope', 'necklace', 'bib', 'nail', 'ear']"
9,Cro_v05_pineapple_ILSVRC2012_val_00029522_cs.jpg,binder,"['binder', 'crossword puzzle', 'window screen', 'whistle', 'Christmas stocking']"
10,Cro_v05_horse_ILSVRC2012_val_00017358_cs.jpg,Christmas stocking,"['Christmas stocking', 'crossword puzzle', 'handkerchief', 'whistle', 'oboe']"
11,Cro_v05_elephant_ILSVRC2012_val_00040375_cs.jpg,crossword puzzle,"['crossword puzzle', 'binder', 'whistle', 'oboe', 'platypus']"
12,Cro_v05_mug_ILSVRC2012_val_00027194_cs.jpg,binder,"['binder', 'stole', 'window screen', 'spotlight', 'strawberry']"
13,Cro_v05_tiger_ILSVRC2012_val_00048186_cs.jpg,whistle,"['whistle', 'crossword puzzle', 'ant', 'oboe', 'guillotine']"
14,Cro_v05_fish_ILSVRC2012_val_00032417_cs.jpg,window screen,"['window screen', 'whistle', 'screw', 'binder', 'envelope']"
15,Cro_v05_camel_ILSVRC2012_val_00015872_cs.jpg,prayer rug,"['prayer rug', 'crossword puzzle', 'oboe', 'Christmas stocking', 'binder']"
16,Cro_v05_crocodilian_ILSVRC2012_val_00037166_cs.jpg,whistle,"['whistle', 'ear', 'folding chair', 'envelope', 'window screen']"
17,Cro_v05_lobster_ILSVRC2012_val_00036759_cs.jpg,whistle,"['whistle', 'envelope', 'nail', 'screw', 'handkerchief']"
18,Cro_v05_dog_ILSVRC2012_val_00028881_cs.jpg,crossword puzzle,"['crossword puzzle', 'oboe', 'whistle', 'ant', 'envelope']"
19,Cro_v05_snail_ILSVRC2012_val_00046248_cs.jpg,whistle,"['whistle', 'window screen', 'strainer', 'envelope', 'binder']"
20,Cro_v05_airplane_ILSVRC2012_val_00049097_cs.jpg,ant,"['ant', 'whistle', 'envelope', 'nail', 'window screen']"
21,Cro_v05_swine_ILSVRC2012_val_00011892_cs.jpg,Christmas stocking,"['Christmas stocking', 'window screen', 'binder', 'crossword puzzle', 'fire screen']"
