,image_path,top1_class,top5_class
0,Cro5dva_v05_gun_ILSVRC2012_val_00016796_cs.jpg,ant,"['ant', 'Petri dish', 'face powder', 'hair slide', 'jigsaw puzzle']"
1,Cro5dva_v05_broccoli_ILSVRC2012_val_00027637_cs.jpg,matchstick,"['matchstick', 'jigsaw puzzle', 'face powder', 'paper towel', 'strainer']"
2,Cro5dva_v05_dog_ILSVRC2012_val_00030058_cs.jpg,chain mail,"['chain mail', 'matchstick', 'thimble', 'paper towel', 'strainer']"
3,Cro5dva_v05_turtle_ILSVRC2012_val_00049782_cs.jpg,matchstick,"['matchstick', 'face powder', 'honeycomb', 'Petri dish', 'rubber eraser']"
4,Cro5dva_v05_crocodilian_ILSVRC2012_val_00038647_cs.jpg,hair slide,"['hair slide', 'handkerchief', 'paper towel', 'chain mail', 'fire screen']"
5,Cro5dva_v05_snail_ILSVRC2012_val_00023958_cs.jpg,paper towel,"['paper towel', 'handkerchief', 'ant', 'envelope', 'hair slide']"
6,Cro5dva_v05_flower_ILSVRC2012_val_00048934_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'honeycomb', 'ant', 'handkerchief', 'strainer']"
7,Cro5dva_v05_chair_ILSVRC2012_val_00001953_cs.jpg,handkerchief,"['handkerchief', 'paper towel', 'fire screen', 'hair slide', 'envelope']"
8,Cro5dva_v05_banana_ILSVRC2012_val_00049606_cs.jpg,ant,"['ant', 'nematode', 'hair slide', 'handkerchief', 'paper towel']"
9,Cro5dva_v05_pineapple_ILSVRC2012_val_00029522_cs.jpg,fire screen,"['fire screen', 'hair slide', 'jigsaw puzzle', 'safety pin', 'window screen']"
10,Cro5dva_v05_horse_ILSVRC2012_val_00017358_cs.jpg,hair slide,"['hair slide', 'handkerchief', 'fire screen', 'envelope', 'jigsaw puzzle']"
11,Cro5dva_v05_elephant_ILSVRC2012_val_00040375_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'hair slide', 'chain mail', 'honeycomb', 'fire screen']"
12,Cro5dva_v05_mug_ILSVRC2012_val_00027194_cs.jpg,chain mail,"['chain mail', 'honeycomb', 'matchstick', 'safety pin', 'thimble']"
13,Cro5dva_v05_tiger_ILSVRC2012_val_00048186_cs.jpg,ant,"['ant', 'honeycomb', 'jigsaw puzzle', 'fire screen', 'cockroach']"
14,Cro5dva_v05_fish_ILSVRC2012_val_00032417_cs.jpg,handkerchief,"['handkerchief', 'hair slide', 'paper towel', 'bow tie', 'Windsor tie']"
15,Cro5dva_v05_camel_ILSVRC2012_val_00015872_cs.jpg,handkerchief,"['handkerchief', 'hair slide', 'ant', 'envelope', 'pick']"
16,Cro5dva_v05_crocodilian_ILSVRC2012_val_00037166_cs.jpg,hair slide,"['hair slide', 'matchstick', 'paper towel', 'strainer', 'nail']"
