,image_path,top1_class,top5_class
0,Tex_cat_ILSVRC2012_val_00031180_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'conch', 'brain coral', 'Maltese dog', 'Pekinese']"
1,Tex_clock_ILSVRC2012_val_00035392_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'chocolate sauce', 'dough', ""potter's wheel"", 'tray']"
2,Tex_spider_ILSVRC2012_val_00008805_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'stole', 'poncho', 'shoe shop', 'chain mail']"
3,Tex_bird_ILSVRC2012_val_00004344_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'hen-of-the-woods', 'coho', 'red-backed sandpiper', 'mortarboard']"
4,Tex_guitar_ILSVRC2012_val_00036762_t.jpg,shoe shop,"['shoe shop', 'Windsor tie', 'stole', 'velvet', 'sandal']"
5,Tex_dryer_ILSVRC2012_val_00038783_t.jpg,monitor,"['monitor', 'screen', 'barber chair', 'buckle', 'computer keyboard']"
6,Tex_chair_ILSVRC2012_val_00001953_t.jpg,restaurant,"['restaurant', 'tobacco shop', 'sunglasses', 'shoe shop', 'dining table']"
7,Tex_bellpepper_ILSVRC2012_val_00000423_t.jpg,bell pepper,"['bell pepper', 'coral fungus', 'candle', 'gyromitra', 'hen-of-the-woods']"
8,Tex_microwave_ILSVRC2012_val_00038763_t.jpg,carpenter's kit,"[""carpenter's kit"", 'screwdriver', 'lighter', 'medicine chest', 'binoculars']"
9,Tex_bee_ILSVRC2012_val_00017418_t.jpg,honeycomb,"['honeycomb', 'bee', 'chain mail', 'shoe shop', 'tobacco shop']"
10,Tex_cat_ILSVRC2012_val_00001341_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'pineapple', 'gyromitra', 'honeycomb', 'jackfruit']"
11,Tex_guitar_ILSVRC2012_val_00019484_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'buckle', 'hair slide', 'corkscrew', 'tray']"
12,Tex_flower_ILSVRC2012_val_00013936_t.jpg,daisy,"['daisy', 'bee', 'fly', 'Shih-Tzu', 'trifle']"
13,Tex_lobster_ILSVRC2012_val_00028657_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'wool', 'stole', 'coral fungus']"
14,Tex_broccoli_ILSVRC2012_val_00004207_t.jpg,broccoli,"['broccoli', 'guacamole', 'wok', 'coral reef', 'corn']"
15,Tex_helmet_ILSVRC2012_val_00049691_t.jpg,goldfish,"['goldfish', 'crash helmet', 'sea slug', 'isopod', 'honeycomb']"
16,Tex_frog_ILSVRC2012_val_00041279_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'earthstar', 'honeycomb', 'pot', 'buckeye']"
17,Tex_cat_ILSVRC2012_val_00038913_t.jpg,plastic bag,"['plastic bag', 'mask', 'conch', 'hen-of-the-woods', 'bee']"
18,Tex_cabbage_ILSVRC2012_val_00005749_t.jpg,head cabbage,"['head cabbage', 'artichoke', 'custard apple', 'cauliflower', 'coral reef']"
19,Tex_banana_ILSVRC2012_val_00038819_t.jpg,cauliflower,"['cauliflower', 'head cabbage', 'broccoli', 'mashed potato', 'cucumber']"
20,Tex_crab_ILSVRC2012_val_00003272_t.jpg,meat loaf,"['meat loaf', 'pizza', 'Dutch oven', 'frying pan', 'Dungeness crab']"
21,Tex_gun_ILSVRC2012_val_00018910_t.jpg,rifle,"['rifle', 'assault rifle', 'revolver', 'jigsaw puzzle', 'chime']"
22,Tex_dryer_ILSVRC2012_val_00013313_t.jpg,velvet,"['velvet', 'handkerchief', 'stole', 'wool', 'sea slug']"
23,Tex_crocodilian_ILSVRC2012_val_00037166_t.jpg,water ouzel,"['water ouzel', 'valley', 'doormat', 'maze', 'dishrag']"
24,Tex_crocodilian_ILSVRC2012_val_00038647_t.jpg,volcano,"['volcano', 'hen-of-the-woods', 'cliff', 'fiddler crab', 'valley']"
25,Tex_car_ILSVRC2012_val_00037128_t.jpg,oscilloscope,"['oscilloscope', 'assault rifle', 'shoe shop', 'tank', 'monitor']"
26,Tex_airplane_ILSVRC2012_val_00023781_t.jpg,coho,"['coho', 'projectile', 'warplane', 'tench', 'missile']"
27,Tex_monkey_ILSVRC2012_val_00003631_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'collie', 'cocker spaniel', 'Old English sheepdog', 'Tibetan terrier']"
28,Tex_bear_ILSVRC2012_val_00031906_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'king penguin', 'wool', 'otterhound', 'coral fungus']"
29,Tex_snail_ILSVRC2012_val_00045031_t.jpg,honeycomb,"['honeycomb', 'hen-of-the-woods', 'toyshop', 'wok', 'Dutch oven']"
30,Tex_clock_ILSVRC2012_val_00028769_t.jpg,shower curtain,"['shower curtain', 'switch', 'medicine chest', 'soap dispenser', 'bathtub']"
31,Tex_camel_ILSVRC2012_val_00011354_t.jpg,conch,"['conch', 'hen-of-the-woods', 'coral fungus', 'Pekinese', 'wool']"
