,image_path,top1_class,top5_class
0,Tex_cat_ILSVRC2012_val_00031180_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'stinkhorn', 'coral fungus', 'custard apple', 'hamster']"
1,Tex_clock_ILSVRC2012_val_00035392_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'hen-of-the-woods', 'wall clock', 'coral fungus', 'shower curtain']"
2,Tex_spider_ILSVRC2012_val_00008805_t.jpg,swimming trunks,"['swimming trunks', 'sea lion', 'hen-of-the-woods', 'American coot', 'porcupine']"
3,Tex_bird_ILSVRC2012_val_00004344_t.jpg,water bottle,"['water bottle', 'red-backed sandpiper', 'swimming trunks', 'mortarboard', 'hen-of-the-woods']"
4,Tex_guitar_ILSVRC2012_val_00036762_t.jpg,bee,"['bee', 'conch', 'wine bottle', 'screw', 'tarantula']"
5,Tex_dryer_ILSVRC2012_val_00038783_t.jpg,shoe shop,"['shoe shop', 'dumbbell', 'monitor', 'maze', 'typewriter keyboard']"
6,Tex_chair_ILSVRC2012_val_00001953_t.jpg,sunglasses,"['sunglasses', 'beer bottle', 'shoe shop', 'wine bottle', 'cowboy hat']"
7,Tex_bellpepper_ILSVRC2012_val_00000423_t.jpg,butternut squash,"['butternut squash', ""jack-o'-lantern"", 'coral fungus', 'orange', 'bell pepper']"
8,Tex_microwave_ILSVRC2012_val_00038763_t.jpg,lighter,"['lighter', 'espresso maker', 'strainer', 'ladle', 'refrigerator']"
9,Tex_bee_ILSVRC2012_val_00017418_t.jpg,bee,"['bee', 'honeycomb', 'coral fungus', 'stinkhorn', 'hen-of-the-woods']"
10,Tex_cat_ILSVRC2012_val_00001341_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'stinkhorn', 'gyromitra', 'wool']"
11,Tex_guitar_ILSVRC2012_val_00019484_t.jpg,padlock,"['padlock', 'sax', 'hair slide', 'strainer', 'drum']"
12,Tex_flower_ILSVRC2012_val_00013936_t.jpg,strawberry,"['strawberry', 'paper towel', 'trifle', 'cauliflower', 'daisy']"
13,Tex_lobster_ILSVRC2012_val_00028657_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'wool', 'coral fungus', 'stole', 'komondor']"
14,Tex_broccoli_ILSVRC2012_val_00004207_t.jpg,broccoli,"['broccoli', 'Dutch oven', 'potpie', 'meat loaf', 'coral reef']"
