,image_path,top1_class,top5_class
0,Sil_acorn_ILSVRC2012_val_00031536_s.jpg,tray,"['tray', 'trilobite', 'radio telescope', 'wok', 'volcano']"
1,Sil_acorn_ILSVRC2012_val_00045517_s.jpg,throne,"['throne', 'cuirass', 'vault', 'coil', 'stupa']"
2,Sil_bellpepper_ILSVRC2012_val_00028090_s.jpg,cuirass,"['cuirass', 'knee pad', 'breastplate', 'chain mail', 'bulletproof vest']"
3,Sil_bird_ILSVRC2012_val_00007153_s.jpg,black grouse,"['black grouse', 'bonnet', 'caldron', 'cuirass', 'shield']"
4,Sil_corn_ILSVRC2012_val_00019250_s.jpg,abaya,"['abaya', 'wool', 'sleeping bag', 'cloak', 'cleaver']"
5,Sil_bear_ILSVRC2012_val_00041813_s.jpg,abaya,"['abaya', 'chain mail', 'curly-coated retriever', 'cuirass', 'Irish water spaniel']"
6,Sil_swine_ILSVRC2012_val_00031491_s.jpg,brassiere,"['brassiere', 'promontory', 'alp', 'black grouse', 'mink']"
7,Sil_mug_ILSVRC2012_val_00027194_s.jpg,bulletproof vest,"['bulletproof vest', 'cuirass', 'breastplate', 'water jug', 'abaya']"
8,Sil_horse_ILSVRC2012_val_00008317_s.jpg,curly-coated retriever,"['curly-coated retriever', 'Indian elephant', 'Arabian camel', 'Mexican hairless', 'Great Dane']"
9,Sil_crab_ILSVRC2012_val_00003272_s.jpg,wool,"['wool', 'flatworm', 'African chameleon', 'shower cap', 'alp']"
10,Sil_spider_ILSVRC2012_val_00008805_s.jpg,barn spider,"['barn spider', 'garden spider', 'black and gold garden spider', 'wolf spider', 'black widow']"
11,Sil_clock_ILSVRC2012_val_00035461_s.jpg,wok,"['wok', 'hard disc', 'shield', 'frying pan', 'bathing cap']"
12,Sil_snail_ILSVRC2012_val_00045031_s.jpg,brassiere,"['brassiere', 'sunglasses', 'sunglass', 'loupe', 'electric ray']"
13,Sil_frog_ILSVRC2012_val_00022660_s.jpg,African chameleon,"['African chameleon', 'triceratops', 'black grouse', 'curly-coated retriever', 'scorpion']"
14,Sil_squirrel_ILSVRC2012_val_00035501_s.jpg,African chameleon,"['African chameleon', 'vulture', 'brassiere', 'black grouse', 'hook']"
15,Sil_frog_ILSVRC2012_val_00010287_s.jpg,wool,"['wool', 'abaya', 'sweatshirt', 'poncho', 'black grouse']"
16,Sil_cabbage_ILSVRC2012_val_00007752_s.jpg,wok,"['wok', 'gong', 'shield', 'frying pan', 'toilet seat']"
17,Sil_microwave_ILSVRC2012_val_00038763_s.jpg,binder,"['binder', 'envelope', 'wallet', 'hard disc', 'cleaver']"
18,Sil_fish_ILSVRC2012_val_00021343_s.jpg,black grouse,"['black grouse', 'hatchet', 'cleaver', 'mink', 'scabbard']"
19,Sil_spider_ILSVRC2012_val_00029756_s.jpg,barn spider,"['barn spider', 'tick', 'garden spider', 'wolf spider', 'black widow']"
20,Sil_hippopotamus_ILSVRC2012_val_00032449_s.jpg,black grouse,"['black grouse', 'triceratops', 'abaya', 'American black bear', 'vulture']"
21,Sil_flower_ILSVRC2012_val_00013936_s.jpg,hen-of-the-woods,"['hen-of-the-woods', 'hair slide', 'black grouse', 'triceratops', 'wool']"
22,Sil_pineapple_ILSVRC2012_val_00012582_s.jpg,warplane,"['warplane', 'aircraft carrier', 'white stork', 'vulture', 'binder']"
23,Sil_hammer_ILSVRC2012_val_00001110_s.jpg,hook,"['hook', 'guillotine', 'pedestal', 'street sign', 'pole']"
24,Sil_dog_ILSVRC2012_val_00012566_s.jpg,black grouse,"['black grouse', 'abaya', 'mink', 'vulture', 'promontory']"
25,Sil_apple_ILSVRC2012_val_00000023_s.jpg,wok,"['wok', 'shield', 'frying pan', 'gong', 'sombrero']"
26,Sil_snake_ILSVRC2012_val_00013400_s.jpg,bib,"['bib', 'mask', 'hair slide', 'neck brace', 'safety pin']"
27,Sil_hammer_ILSVRC2012_val_00003387_s.jpg,hatchet,"['hatchet', 'hook', 'hair slide', 'can opener', 'nail']"
28,Sil_camel_ILSVRC2012_val_00006200_s.jpg,Arabian camel,"['Arabian camel', 'Indian elephant', 'black stork', 'vulture', 'black grouse']"
29,Sil_dryer_ILSVRC2012_val_00027635_s.jpg,can opener,"['can opener', 'corkscrew', 'stretcher', 'hook', 'African chameleon']"
