,image_path,top1_class,top5_class
0,Tex_cat_ILSVRC2012_val_00031180_t.jpg,trifle,"['trifle', 'custard apple', 'Angora', 'candle', 'hen-of-the-woods']"
1,Tex_clock_ILSVRC2012_val_00035392_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'manhole cover', 'maze', 'chain', 'tile roof']"
2,Tex_spider_ILSVRC2012_val_00008805_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'chain', 'honeycomb', 'starfish', 'brain coral']"
3,Tex_bird_ILSVRC2012_val_00004344_t.jpg,handkerchief,"['handkerchief', 'jigsaw puzzle', 'hen-of-the-woods', 'quilt', 'shower curtain']"
4,Tex_guitar_ILSVRC2012_val_00036762_t.jpg,stole,"['stole', 'spider web', 'velvet', 'coral reef', 'brain coral']"
5,Tex_dryer_ILSVRC2012_val_00038783_t.jpg,maze,"['maze', 'lumbermill', 'typewriter keyboard', 'space bar', 'restaurant']"
6,Tex_chair_ILSVRC2012_val_00001953_t.jpg,shoe shop,"['shoe shop', 'wine bottle', 'military uniform', 'beer bottle', 'dumbbell']"
7,Tex_bellpepper_ILSVRC2012_val_00000423_t.jpg,bell pepper,"['bell pepper', 'conch', 'gyromitra', 'candle', 'ice bear']"
8,Tex_microwave_ILSVRC2012_val_00038763_t.jpg,espresso maker,"['espresso maker', 'mobile home', 'recreational vehicle', 'home theater', 'microwave']"
9,Tex_bee_ILSVRC2012_val_00017418_t.jpg,honeycomb,"['honeycomb', 'tarantula', 'bee', 'hen-of-the-woods', 'apiary']"
10,Tex_cat_ILSVRC2012_val_00001341_t.jpg,honeycomb,"['honeycomb', 'pineapple', 'potpie', 'butcher shop', 'custard apple']"
11,Tex_guitar_ILSVRC2012_val_00019484_t.jpg,violin,"['violin', 'jigsaw puzzle', 'cello', 'football helmet', 'acoustic guitar']"
12,Tex_flower_ILSVRC2012_val_00013936_t.jpg,trifle,"['trifle', 'tray', 'goldfish', 'wool', 'dishrag']"
13,Tex_lobster_ILSVRC2012_val_00028657_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'coral reef', 'coral fungus', 'gyromitra', 'honeycomb']"
14,Tex_broccoli_ILSVRC2012_val_00004207_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'coral reef', 'chiton', 'broccoli', 'brain coral']"
15,Tex_helmet_ILSVRC2012_val_00049691_t.jpg,goldfish,"['goldfish', 'crash helmet', 'honeycomb', 'jellyfish', 'scuba diver']"
16,Tex_frog_ILSVRC2012_val_00041279_t.jpg,honeycomb,"['honeycomb', 'jackfruit', 'hen-of-the-woods', 'custard apple', 'cardoon']"
