,image_path,top1_class,top5_class
0,Cro_v05_gun_ILSVRC2012_val_00016796_cs.jpg,envelope,"['envelope', 'ant', 'jigsaw puzzle', 'airship', 'digital clock']"
1,Cro_v05_broccoli_ILSVRC2012_val_00027637_cs.jpg,hair slide,"['hair slide', 'envelope', 'jigsaw puzzle', 'nail', 'honeycomb']"
2,Cro_v05_dog_ILSVRC2012_val_00030058_cs.jpg,crossword puzzle,"['crossword puzzle', 'honeycomb', 'prayer rug', 'jigsaw puzzle', 'diaper']"
3,Cro_v05_turtle_ILSVRC2012_val_00049782_cs.jpg,crossword puzzle,"['crossword puzzle', 'honeycomb', 'jigsaw puzzle', 'diaper', 'hair slide']"
4,Cro_v05_crocodilian_ILSVRC2012_val_00038647_cs.jpg,crossword puzzle,"['crossword puzzle', 'window screen', 'jigsaw puzzle', 'airship', 'envelope']"
5,Cro_v05_snail_ILSVRC2012_val_00023958_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'aircraft carrier', 'window screen', 'hair slide', 'crossword puzzle']"
6,Cro_v05_flower_ILSVRC2012_val_00048934_cs.jpg,crossword puzzle,"['crossword puzzle', 'jigsaw puzzle', 'envelope', 'window screen', 'handkerchief']"
7,Cro_v05_chair_ILSVRC2012_val_00001953_cs.jpg,aircraft carrier,"['aircraft carrier', 'jigsaw puzzle', 'envelope', 'crossword puzzle', 'necklace']"
8,Cro_v05_banana_ILSVRC2012_val_00049606_cs.jpg,necklace,"['necklace', 'hair slide', 'nail', 'screw', 'envelope']"
9,Cro_v05_pineapple_ILSVRC2012_val_00029522_cs.jpg,crossword puzzle,"['crossword puzzle', 'jigsaw puzzle', 'prayer rug', 'window screen', 'envelope']"
10,Cro_v05_horse_ILSVRC2012_val_00017358_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'crossword puzzle', 'envelope', 'handkerchief', 'prayer rug']"
11,Cro_v05_elephant_ILSVRC2012_val_00040375_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'crossword puzzle', 'envelope', 'handkerchief', 'ant']"
12,Cro_v05_mug_ILSVRC2012_val_00027194_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'envelope', 'crossword puzzle', 'honeycomb', 'window screen']"
13,Cro_v05_tiger_ILSVRC2012_val_00048186_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'crossword puzzle', 'envelope', 'ant', 'digital clock']"
14,Cro_v05_fish_ILSVRC2012_val_00032417_cs.jpg,hair slide,"['hair slide', 'envelope', 'window screen', 'nail', 'bee eater']"
15,Cro_v05_camel_ILSVRC2012_val_00015872_cs.jpg,crossword puzzle,"['crossword puzzle', 'jigsaw puzzle', 'envelope', 'handkerchief', 'aircraft carrier']"
16,Cro_v05_crocodilian_ILSVRC2012_val_00037166_cs.jpg,hair slide,"['hair slide', 'window screen', 'bee eater', 'crossword puzzle', 'envelope']"
17,Cro_v05_lobster_ILSVRC2012_val_00036759_cs.jpg,envelope,"['envelope', 'screw', 'digital clock', 'nail', 'aircraft carrier']"
18,Cro_v05_dog_ILSVRC2012_val_00028881_cs.jpg,envelope,"['envelope', 'crossword puzzle', 'jigsaw puzzle', 'ant', 'window screen']"
19,Cro_v05_snail_ILSVRC2012_val_00046248_cs.jpg,envelope,"['envelope', 'hair slide', 'airship', 'digital clock', 'jigsaw puzzle']"
20,Cro_v05_airplane_ILSVRC2012_val_00049097_cs.jpg,aircraft carrier,"['aircraft carrier', 'warplane', 'airship', 'pole', 'envelope']"
21,Cro_v05_swine_ILSVRC2012_val_00011892_cs.jpg,crossword puzzle,"['crossword puzzle', 'jigsaw puzzle', 'necklace', 'window screen', 'handkerchief']"
22,Cro_v05_dog_ILSVRC2012_val_00012566_cs.jpg,crossword puzzle,"['crossword puzzle', 'envelope', 'hair slide', 'jigsaw puzzle', 'ant']"
23,Cro_v05_shoe_ILSVRC2012_val_00048970_cs.jpg,hair slide,"['hair slide', 'Christmas stocking', 'jigsaw puzzle', 'handkerchief', 'nematode']"
24,Cro_v05_snake_ILSVRC2012_val_00014926_cs.jpg,oboe,"['oboe', 'nematode', 'screw', 'envelope', 'necklace']"
25,Cro_v05_rabbit_ILSVRC2012_val_00013125_cs.jpg,necklace,"['necklace', 'jigsaw puzzle', 'vase', 'oboe', 'Christmas stocking']"
26,Cro_v05_airplane_ILSVRC2012_val_00030531_cs.jpg,envelope,"['envelope', 'nail', 'screw', 'aircraft carrier', 'hair slide']"
