,image_path,top1_class,top5_class
0,Cro5dva_v05_gun_ILSVRC2012_val_00016796_cs.jpg,hair slide,"['hair slide', 'envelope', 'chain', 'parachute', 'chain mail']"
1,Cro5dva_v05_broccoli_ILSVRC2012_val_00027637_cs.jpg,hair slide,"['hair slide', 'nail', 'chain mail', 'screw', 'chain']"
2,Cro5dva_v05_dog_ILSVRC2012_val_00030058_cs.jpg,chain mail,"['chain mail', 'honeycomb', 'stole', 'Kerry blue terrier', 'mitten']"
3,Cro5dva_v05_turtle_ILSVRC2012_val_00049782_cs.jpg,brain coral,"['brain coral', 'honeycomb', 'sea urchin', 'chain mail', 'face powder']"
4,Cro5dva_v05_crocodilian_ILSVRC2012_val_00038647_cs.jpg,chain mail,"['chain mail', 'envelope', 'screw', 'hair slide', 'bib']"
5,Cro5dva_v05_snail_ILSVRC2012_val_00023958_cs.jpg,hair slide,"['hair slide', 'chain', 'screw', 'chain mail', 'envelope']"
6,Cro5dva_v05_flower_ILSVRC2012_val_00048934_cs.jpg,handkerchief,"['handkerchief', 'chain mail', 'honeycomb', 'envelope', 'hair slide']"
7,Cro5dva_v05_chair_ILSVRC2012_val_00001953_cs.jpg,airship,"['airship', 'envelope', 'aircraft carrier', 'parachute', 'oboe']"
8,Cro5dva_v05_banana_ILSVRC2012_val_00049606_cs.jpg,chain,"['chain', 'hair slide', 'hook', 'screw', 'nematode']"
9,Cro5dva_v05_pineapple_ILSVRC2012_val_00029522_cs.jpg,chain mail,"['chain mail', 'honeycomb', 'wool', 'prayer rug', 'jigsaw puzzle']"
10,Cro5dva_v05_horse_ILSVRC2012_val_00017358_cs.jpg,hair slide,"['hair slide', 'envelope', 'nail', 'hook', 'screw']"
11,Cro5dva_v05_elephant_ILSVRC2012_val_00040375_cs.jpg,Band Aid,"['Band Aid', 'Kerry blue terrier', 'jigsaw puzzle', 'envelope', 'coffee mug']"
12,Cro5dva_v05_mug_ILSVRC2012_val_00027194_cs.jpg,chain mail,"['chain mail', 'wool', 'mitten', 'stole', 'honeycomb']"
13,Cro5dva_v05_tiger_ILSVRC2012_val_00048186_cs.jpg,parachute,"['parachute', 'envelope', 'screw', 'hair slide', 'web site']"
14,Cro5dva_v05_fish_ILSVRC2012_val_00032417_cs.jpg,envelope,"['envelope', 'chain mail', 'screw', 'hair slide', 'bib']"
15,Cro5dva_v05_camel_ILSVRC2012_val_00015872_cs.jpg,jigsaw puzzle,"['jigsaw puzzle', 'cheetah', 'banded gecko', 'envelope', 'leopard']"
16,Cro5dva_v05_crocodilian_ILSVRC2012_val_00037166_cs.jpg,chain mail,"['chain mail', 'screw', 'envelope', 'hair slide', 'bib']"
