,image_path,top1_class,top5_class
0,Tex_cat_ILSVRC2012_val_00031180_t.jpg,coral reef,"['coral reef', 'Samoyed', 'borzoi', 'Arctic fox', 'Angora']"
1,Tex_clock_ILSVRC2012_val_00035392_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'screw', 'manhole cover', 'buckle', 'bottlecap']"
2,Tex_spider_ILSVRC2012_val_00008805_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'ear', 'honeycomb', 'corn', 'bee']"
3,Tex_bird_ILSVRC2012_val_00004344_t.jpg,jay,"['jay', 'pajama', 'jigsaw puzzle', 'quail', 'red-backed sandpiper']"
4,Tex_guitar_ILSVRC2012_val_00036762_t.jpg,beer bottle,"['beer bottle', 'Windsor tie', 'tobacco shop', 'shower curtain', 'swimming trunks']"
5,Tex_dryer_ILSVRC2012_val_00038783_t.jpg,monitor,"['monitor', 'barbell', 'cinema', 'bulletproof vest', 'screen']"
6,Tex_chair_ILSVRC2012_val_00001953_t.jpg,shoe shop,"['shoe shop', 'wine bottle', 'tobacco shop', 'sandal', 'beer bottle']"
7,Tex_bellpepper_ILSVRC2012_val_00000423_t.jpg,coral fungus,"['coral fungus', 'sea slug', 'jellyfish', 'gyromitra', 'candle']"
8,Tex_microwave_ILSVRC2012_val_00038763_t.jpg,refrigerator,"['refrigerator', 'perfume', 'soap dispenser', 'espresso maker', 'church']"
9,Tex_bee_ILSVRC2012_val_00017418_t.jpg,honeycomb,"['honeycomb', 'bee', 'box turtle', 'terrapin', 'sulphur butterfly']"
10,Tex_cat_ILSVRC2012_val_00001341_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'coral reef', 'gyromitra', 'coral fungus']"
11,Tex_guitar_ILSVRC2012_val_00019484_t.jpg,buckle,"['buckle', 'acoustic guitar', 'electric guitar', 'coffee mug', 'consomme']"
12,Tex_flower_ILSVRC2012_val_00013936_t.jpg,daisy,"['daisy', 'pot', 'tray', 'earthstar', 'strawberry']"
13,Tex_lobster_ILSVRC2012_val_00028657_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'bee', 'coral reef', 'lionfish']"
14,Tex_broccoli_ILSVRC2012_val_00004207_t.jpg,broccoli,"['broccoli', 'cauliflower', 'head cabbage', 'Dutch oven', 'custard apple']"
15,Tex_helmet_ILSVRC2012_val_00049691_t.jpg,crash helmet,"['crash helmet', 'vase', 'mask', 'comic book', 'jellyfish']"
16,Tex_frog_ILSVRC2012_val_00041279_t.jpg,buckeye,"['buckeye', 'hen-of-the-woods', 'bee', 'earthstar', 'stinkhorn']"
17,Tex_cat_ILSVRC2012_val_00038913_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'Dandie Dinmont', 'Bedlington terrier', 'West Highland white terrier', 'caldron']"
18,Tex_cabbage_ILSVRC2012_val_00005749_t.jpg,head cabbage,"['head cabbage', 'cauliflower', 'electric ray', 'coral reef', 'broccoli']"
19,Tex_banana_ILSVRC2012_val_00038819_t.jpg,sea slug,"['sea slug', 'jigsaw puzzle', 'cauliflower', 'hen-of-the-woods', 'head cabbage']"
20,Tex_crab_ILSVRC2012_val_00003272_t.jpg,horned viper,"['horned viper', 'hen-of-the-woods', 'diamondback', 'sidewinder', 'tailed frog']"
21,Tex_gun_ILSVRC2012_val_00018910_t.jpg,revolver,"['revolver', 'rifle', 'dumbbell', 'assault rifle', ""carpenter's kit""]"
22,Tex_dryer_ILSVRC2012_val_00013313_t.jpg,velvet,"['velvet', 'brain coral', 'coral reef', 'sea slug', 'sea anemone']"
23,Tex_crocodilian_ILSVRC2012_val_00037166_t.jpg,valley,"['valley', 'cliff', 'volcano', 'geyser', 'hen-of-the-woods']"
24,Tex_crocodilian_ILSVRC2012_val_00038647_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'cliff', 'valley', 'coral fungus', 'volcano']"
25,Tex_car_ILSVRC2012_val_00037128_t.jpg,bulletproof vest,"['bulletproof vest', 'tank', 'military uniform', 'half track', 'missile']"
26,Tex_airplane_ILSVRC2012_val_00023781_t.jpg,coho,"['coho', 'shoe shop', 'doormat', 'trifle', 'quilt']"
27,Tex_monkey_ILSVRC2012_val_00003631_t.jpg,patas,"['patas', 'Blenheim spaniel', 'collie', 'Pembroke', 'titi']"
28,Tex_bear_ILSVRC2012_val_00031906_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'otterhound', 'cocker spaniel', 'wool', 'ibex']"
29,Tex_snail_ILSVRC2012_val_00045031_t.jpg,honeycomb,"['honeycomb', 'toyshop', 'coral reef', 'hen-of-the-woods', 'bakery']"
30,Tex_clock_ILSVRC2012_val_00028769_t.jpg,church,"['church', 'altar', 'sewing machine', 'photocopier', 'tub']"
31,Tex_camel_ILSVRC2012_val_00011354_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'coral reef', 'volcano', 'geyser', 'earthstar']"
32,Tex_tiger_ILSVRC2012_val_00030651_t.jpg,tiger,"['tiger', 'honeycomb', 'impala', 'tiger cat', 'gyromitra']"
33,Tex_tiger_ILSVRC2012_val_00005323_t.jpg,tiger,"['tiger', 'tiger cat', 'Madagascar cat', 'patas', 'indri']"
34,Tex_hammer_ILSVRC2012_val_00001110_t.jpg,fountain,"['fountain', 'panpipe', 'jigsaw puzzle', 'maze', 'lumbermill']"
35,Tex_pineapple_ILSVRC2012_val_00009015_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'cardoon', 'earthstar', 'daisy', 'gyromitra']"
36,Tex_dog_ILSVRC2012_val_00010378_t.jpg,geyser,"['geyser', 'keeshond', 'Shih-Tzu', 'Angora', 'Dandie Dinmont']"
37,Tex_snail_ILSVRC2012_val_00046248_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'jigsaw puzzle', 'mushroom', 'honeycomb', 'sea slug']"
38,Tex_bellpepper_ILSVRC2012_val_00048089_t.jpg,vine snake,"['vine snake', 'coral reef', 'African chameleon', 'green mamba', 'Granny Smith']"
39,Tex_tiger_ILSVRC2012_val_00015897_t.jpg,velvet,"['velvet', 'wool', 'hen-of-the-woods', 'wardrobe', 'sarong']"
40,Tex_chair_ILSVRC2012_val_00041720_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'restaurant', 'shower curtain', 'throne', 'quilt']"
41,Tex_microwave_ILSVRC2012_val_00047421_t.jpg,carpenter's kit,"[""carpenter's kit"", 'maze', 'shower curtain', 'bulletproof vest', 'photocopier']"
42,Tex_cabbage_ILSVRC2012_val_00037102_t.jpg,head cabbage,"['head cabbage', 'broccoli', 'cauliflower', 'artichoke', 'cardoon']"
43,Tex_microwave_ILSVRC2012_val_00037721_t.jpg,refrigerator,"['refrigerator', 'photocopier', 'medicine chest', 'desk', 'sewing machine']"
44,Tex_hammer_ILSVRC2012_val_00028069_t.jpg,nail,"['nail', 'screw', 'jigsaw puzzle', 'tray', 'electric guitar']"
45,Tex_shoe_ILSVRC2012_val_00034558_t.jpg,bulletproof vest,"['bulletproof vest', 'backpack', 'holster', 'mailbag', 'shower curtain']"
46,Tex_snail_ILSVRC2012_val_00023958_t.jpg,honeycomb,"['honeycomb', 'hen-of-the-woods', 'puffer', 'bee', 'coral reef']"
47,Tex_apple_ILSVRC2012_val_00045087_t.jpg,Granny Smith,"['Granny Smith', 'coral reef', 'artichoke', 'head cabbage', 'cucumber']"
48,Tex_apple_ILSVRC2012_val_00000023_t.jpg,sea anemone,"['sea anemone', 'Granny Smith', 'electric ray', 'dugong', 'bib']"
49,Tex_pineapple_ILSVRC2012_val_00012582_t.jpg,pineapple,"['pineapple', 'hen-of-the-woods', 'bee', 'hot pot', 'cauliflower']"
50,Tex_cat_ILSVRC2012_val_00000796_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'tabby', 'wool', 'Persian cat', 'Egyptian cat']"
51,Tex_turtle_ILSVRC2012_val_00036345_t.jpg,honeycomb,"['honeycomb', 'hen-of-the-woods', 'earthstar', 'wool', 'candle']"
52,Tex_clock_ILSVRC2012_val_00017693_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'can opener', 'church', ""carpenter's kit"", 'scabbard']"
53,Tex_fish_ILSVRC2012_val_00047320_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'promontory', 'aircraft carrier', 'breakwater', 'beacon']"
54,Tex_monkey_ILSVRC2012_val_00030191_t.jpg,coral reef,"['coral reef', 'hen-of-the-woods', 'wig', 'jellyfish', 'Shih-Tzu']"
55,Tex_horse_ILSVRC2012_val_00008317_t.jpg,gyromitra,"['gyromitra', 'hen-of-the-woods', 'Irish setter', 'honeycomb', 'coral fungus']"
56,Tex_shoe_ILSVRC2012_val_00019717_t.jpg,bulletproof vest,"['bulletproof vest', 'mailbag', 'holster', 'purse', ""carpenter's kit""]"
