,image_path,top1_class,top5_class
0,Cro_v05_gun_ILSVRC2012_val_00016796_cs.jpg,nail,"['nail', 'maze', 'honeycomb', 'window screen', 'matchstick']"
1,Cro_v05_broccoli_ILSVRC2012_val_00027637_cs.jpg,hammer,"['hammer', 'nail', 'hatchet', 'screw', 'dumbbell']"
2,Cro_v05_dog_ILSVRC2012_val_00030058_cs.jpg,window screen,"['window screen', 'Newfoundland', 'Bouvier des Flandres', 'chain mail', 'strainer']"
3,Cro_v05_turtle_ILSVRC2012_val_00049782_cs.jpg,honeycomb,"['honeycomb', 'window screen', 'strainer', 'maze', 'nail']"
4,Cro_v05_crocodilian_ILSVRC2012_val_00038647_cs.jpg,window screen,"['window screen', 'honeycomb', 'fire screen', 'maze', 'chainlink fence']"
5,Cro_v05_snail_ILSVRC2012_val_00023958_cs.jpg,snail,"['snail', 'nail', 'window screen', 'nematode', 'slug']"
6,Cro_v05_flower_ILSVRC2012_val_00048934_cs.jpg,window screen,"['window screen', 'jigsaw puzzle', 'crossword puzzle', 'honeycomb', 'maze']"
7,Cro_v05_chair_ILSVRC2012_val_00001953_cs.jpg,window screen,"['window screen', 'nail', 'crossword puzzle', 'matchstick', 'fire screen']"
8,Cro_v05_banana_ILSVRC2012_val_00049606_cs.jpg,banana,"['banana', 'nematode', 'slug', 'oscilloscope', 'orange']"
9,Cro_v05_pineapple_ILSVRC2012_val_00029522_cs.jpg,window screen,"['window screen', 'crossword puzzle', 'maze', 'fire screen', 'strainer']"
10,Cro_v05_horse_ILSVRC2012_val_00017358_cs.jpg,window screen,"['window screen', 'handkerchief', 'crossword puzzle', 'fire screen', 'sorrel']"
11,Cro_v05_elephant_ILSVRC2012_val_00040375_cs.jpg,African elephant,"['African elephant', 'window screen', 'tusker', 'Indian elephant', 'chain mail']"
12,Cro_v05_mug_ILSVRC2012_val_00027194_cs.jpg,cup,"['cup', 'window screen', 'strainer', 'coffee mug', 'crossword puzzle']"
13,Cro_v05_tiger_ILSVRC2012_val_00048186_cs.jpg,hyena,"['hyena', 'cheetah', 'snow leopard', 'African hunting dog', 'leopard']"
14,Cro_v05_fish_ILSVRC2012_val_00032417_cs.jpg,window screen,"['window screen', 'strainer', 'fire screen', 'chainlink fence', 'honeycomb']"
15,Cro_v05_camel_ILSVRC2012_val_00015872_cs.jpg,Arabian camel,"['Arabian camel', 'window screen', 'handkerchief', 'llama', 'ostrich']"
16,Cro_v05_crocodilian_ILSVRC2012_val_00037166_cs.jpg,honeycomb,"['honeycomb', 'nematode', 'window screen', 'strainer', 'nail']"
17,Cro_v05_lobster_ILSVRC2012_val_00036759_cs.jpg,ladle,"['ladle', 'spatula', 'shovel', 'nematode', 'knot']"
18,Cro_v05_dog_ILSVRC2012_val_00028881_cs.jpg,Scottish deerhound,"['Scottish deerhound', 'Kerry blue terrier', 'Bouvier des Flandres', 'soft-coated wheaten terrier', 'Irish wolfhound']"
19,Cro_v05_snail_ILSVRC2012_val_00046248_cs.jpg,window screen,"['window screen', 'nematode', 'electric ray', 'strainer', 'knot']"
20,Cro_v05_airplane_ILSVRC2012_val_00049097_cs.jpg,window screen,"['window screen', 'fire screen', 'shoji', 'jigsaw puzzle', 'nail']"
21,Cro_v05_swine_ILSVRC2012_val_00011892_cs.jpg,window screen,"['window screen', 'crossword puzzle', 'jigsaw puzzle', 'fire screen', 'strainer']"
22,Cro_v05_dog_ILSVRC2012_val_00012566_cs.jpg,window screen,"['window screen', 'fire screen', 'strainer', 'honeycomb', 'jigsaw puzzle']"
23,Cro_v05_shoe_ILSVRC2012_val_00048970_cs.jpg,nematode,"['nematode', 'honeycomb', 'knot', 'matchstick', 'safety pin']"
24,Cro_v05_snake_ILSVRC2012_val_00014926_cs.jpg,hook,"['hook', 'nematode', 'nail', 'chain', 'safety pin']"
25,Cro_v05_rabbit_ILSVRC2012_val_00013125_cs.jpg,wood rabbit,"['wood rabbit', 'hare', 'Angora', 'window screen', 'honeycomb']"
26,Cro_v05_airplane_ILSVRC2012_val_00030531_cs.jpg,nematode,"['nematode', 'nail', 'necklace', 'chain', 'safety pin']"
27,Cro_v05_rabbit_ILSVRC2012_val_00044412_cs.jpg,wood rabbit,"['wood rabbit', 'hare', 'window screen', 'Angora', 'crossword puzzle']"
28,Cro_v05_pineapple_ILSVRC2012_val_00012582_cs.jpg,window screen,"['window screen', 'honeycomb', 'strainer', 'fire screen', 'matchstick']"
29,Cro_v05_squirrel_ILSVRC2012_val_00048792_cs.jpg,window screen,"['window screen', 'tailed frog', 'crossword puzzle', 'common newt', 'honeycomb']"
30,Cro_v05_lemon_ILSVRC2012_val_00048264_cs.jpg,honeycomb,"['honeycomb', 'window screen', 'strainer', 'maze', 'chain mail']"
31,Cro_v05_spider_ILSVRC2012_val_00039661_cs.jpg,oscilloscope,"['oscilloscope', 'nematode', 'digital clock', 'analog clock', 'warplane']"
32,Cro_v05_horse_ILSVRC2012_val_00011600_cs.jpg,window screen,"['window screen', 'barn spider', 'knot', 'quill', 'hook']"
33,Cro_v05_bellpepper_ILSVRC2012_val_00000423_cs.jpg,window screen,"['window screen', 'honeycomb', 'strainer', 'chain mail', 'maze']"
34,Cro_v05_turtle_ILSVRC2012_val_00047941_cs.jpg,window screen,"['window screen', 'honeycomb', 'strainer', 'paper towel', 'chain mail']"
35,Cro_v05_lemon_ILSVRC2012_val_00038325_cs.jpg,window screen,"['window screen', 'strainer', 'honeycomb', 'fire screen', 'maze']"
36,Cro_v05_bear_ILSVRC2012_val_00011967_cs.jpg,brown bear,"['brown bear', 'badger', 'sloth bear', 'hyena', 'American black bear']"
37,Cro_v05_car_ILSVRC2012_val_00005456_cs.jpg,honeycomb,"['honeycomb', 'window screen', 'strainer', 'maze', 'nail']"
38,Cro_v05_hammer_ILSVRC2012_val_00032002_cs.jpg,nail,"['nail', 'hammer', 'nematode', 'screw', 'matchstick']"
39,Cro_v05_lobster_ILSVRC2012_val_00028657_cs.jpg,tick,"['tick', 'American lobster', 'isopod', 'nematode', 'crayfish']"
40,Cro_v05_butterfly_ILSVRC2012_val_00035074_cs.jpg,window screen,"['window screen', 'honeycomb', 'fire screen', 'crossword puzzle', 'strainer']"
41,Cro_v05_fish_ILSVRC2012_val_00047320_cs.jpg,nail,"['nail', 'honeycomb', 'nematode', 'knot', 'maze']"
42,Cro_v05_airplane_ILSVRC2012_val_00011168_cs.jpg,window screen,"['window screen', 'honeycomb', 'nail', 'fire screen', 'strainer']"
43,Cro_v05_dog_ILSVRC2012_val_00010378_cs.jpg,honeycomb,"['honeycomb', 'window screen', 'coral fungus', 'hen-of-the-woods', 'chain mail']"
44,Cro_v05_butterfly_ILSVRC2012_val_00042436_cs.jpg,window screen,"['window screen', 'fire screen', 'strainer', 'honeycomb', 'maze']"
45,Cro_v05_chair_ILSVRC2012_val_00044181_cs.jpg,folding chair,"['folding chair', 'gasmask', 'guillotine', 'nail', 'chain mail']"
46,Cro_v05_horse_ILSVRC2012_val_00032126_cs.jpg,honeycomb,"['honeycomb', 'window screen', 'fire screen', 'chain mail', 'strainer']"
47,Cro_v05_car_ILSVRC2012_val_00037492_cs.jpg,badger,"['badger', 'porcupine', 'skunk', 'maze', 'window screen']"
48,Cro_v05_bee_ILSVRC2012_val_00042015_cs.jpg,nail,"['nail', 'window screen', 'fire screen', 'matchstick', 'knot']"
49,Cro_v05_horse_ILSVRC2012_val_00008317_cs.jpg,sorrel,"['sorrel', 'window screen', 'nail', 'zebra', 'hyena']"
50,Cro_v05_swine_ILSVRC2012_val_00031491_cs.jpg,window screen,"['window screen', 'honeycomb', 'strainer', 'chain mail', 'fire screen']"
51,Cro_v05_mushroom_ILSVRC2012_val_00039698_cs.jpg,hand blower,"['hand blower', 'strainer', 'window screen', 'honeycomb', 'nail']"
52,Cro_v05_snail_ILSVRC2012_val_00001959_cs.jpg,nematode,"['nematode', 'nail', 'matchstick', 'knot', 'loupe']"
53,Cro_v05_acorn_ILSVRC2012_val_00013791_cs.jpg,honeycomb,"['honeycomb', 'window screen', 'strainer', 'Petri dish', 'nematode']"
54,Cro_v05_bird_ILSVRC2012_val_00028363_cs.jpg,window screen,"['window screen', 'fire screen', 'strainer', 'quill', 'electric ray']"
55,Cro_v05_elephant_ILSVRC2012_val_00032620_cs.jpg,hyena,"['hyena', 'African elephant', 'cheetah', 'window screen', 'brown bear']"
56,Cro_v05_butterfly_ILSVRC2012_val_00015608_cs.jpg,honeycomb,"['honeycomb', 'window screen', 'fire screen', 'nematode', 'coral fungus']"
57,Cro_v05_butterfly_ILSVRC2012_val_00025307_cs.jpg,window screen,"['window screen', 'honeycomb', 'crossword puzzle', 'strainer', 'fire screen']"
58,Cro_v05_spider_ILSVRC2012_val_00029156_cs.jpg,barn spider,"['barn spider', 'wolf spider', 'garden spider', 'tick', 'black widow']"
59,Cro_v05_dryer_ILSVRC2012_val_00038783_cs.jpg,grey whale,"['grey whale', 'starfish', 'ocarina', 'nematode', 'strainer']"
60,Cro_v05_chair_ILSVRC2012_val_00004120_cs.jpg,folding chair,"['folding chair', 'safety pin', 'laptop', 'rocking chair', 'typewriter keyboard']"
61,Cro_v05_turtle_ILSVRC2012_val_00024666_cs.jpg,window screen,"['window screen', 'honeycomb', 'strainer', 'nail', 'chain mail']"
62,Cro_v05_mushroom_ILSVRC2012_val_00038421_cs.jpg,nail,"['nail', 'hammer', 'hook', 'umbrella', 'hatchet']"
63,Cro_v05_dryer_ILSVRC2012_val_00044460_cs.jpg,hatchet,"['hatchet', 'hammer', 'nail', 'coral fungus', 'chain mail']"
64,Cro_v05_bear_ILSVRC2012_val_00038263_cs.jpg,window screen,"['window screen', 'honeycomb', 'porcupine', 'hen-of-the-woods', 'strainer']"
65,Cro_v05_crocodilian_ILSVRC2012_val_00038287_cs.jpg,nematode,"['nematode', 'hook', 'quill', 'nail', 'matchstick']"
66,Cro_v05_butterfly_ILSVRC2012_val_00013795_cs.jpg,window screen,"['window screen', 'strainer', 'honeycomb', 'crossword puzzle', 'fire screen']"
67,Cro_v05_chair_ILSVRC2012_val_00012771_cs.jpg,starfish,"['starfish', 'sea urchin', 'crossword puzzle', 'knot', 'screw']"
68,Cro_v05_hippopotamus_ILSVRC2012_val_00038747_cs.jpg,honeycomb,"['honeycomb', 'nail', 'window screen', 'maze', 'matchstick']"
