,image_path,top1_class,top5_class
0,Cro_v05_gun_ILSVRC2012_val_00016796_cs.jpg,strainer,"['strainer', 'warplane', 'nail', 'aircraft carrier', 'wing']"
1,Cro_v05_broccoli_ILSVRC2012_val_00027637_cs.jpg,strainer,"['strainer', 'window screen', 'stole', 'hair slide', 'knot']"
2,Cro_v05_dog_ILSVRC2012_val_00030058_cs.jpg,window screen,"['window screen', 'stole', 'chain mail', 'dishrag', 'prayer rug']"
3,Cro_v05_turtle_ILSVRC2012_val_00049782_cs.jpg,window screen,"['window screen', 'strainer', 'doormat', 'chain mail', 'fire screen']"
4,Cro_v05_crocodilian_ILSVRC2012_val_00038647_cs.jpg,strainer,"['strainer', 'window screen', 'nail', 'stole', 'warplane']"
5,Cro_v05_snail_ILSVRC2012_val_00023958_cs.jpg,window screen,"['window screen', 'crossword puzzle', 'strainer', 'maze', 'rule']"
6,Cro_v05_flower_ILSVRC2012_val_00048934_cs.jpg,window screen,"['window screen', 'chain mail', 'strainer', 'crossword puzzle', 'fire screen']"
7,Cro_v05_chair_ILSVRC2012_val_00001953_cs.jpg,crossword puzzle,"['crossword puzzle', 'strainer', 'window screen', 'maze', 'necklace']"
8,Cro_v05_banana_ILSVRC2012_val_00049606_cs.jpg,nematode,"['nematode', 'slide rule', 'strainer', 'coil', 'necklace']"
9,Cro_v05_pineapple_ILSVRC2012_val_00029522_cs.jpg,window screen,"['window screen', 'crossword puzzle', 'strainer', 'fire screen', 'prayer rug']"
10,Cro_v05_horse_ILSVRC2012_val_00017358_cs.jpg,stole,"['stole', 'window screen', 'chain mail', 'strainer', 'envelope']"
11,Cro_v05_elephant_ILSVRC2012_val_00040375_cs.jpg,window screen,"['window screen', 'stole', 'strainer', 'maze', 'chain mail']"
12,Cro_v05_mug_ILSVRC2012_val_00027194_cs.jpg,window screen,"['window screen', 'strainer', 'fire screen', 'crossword puzzle', 'paper towel']"
13,Cro_v05_tiger_ILSVRC2012_val_00048186_cs.jpg,hair slide,"['hair slide', 'strainer', 'stole', 'assault rifle', 'rifle']"
14,Cro_v05_fish_ILSVRC2012_val_00032417_cs.jpg,strainer,"['strainer', 'nail', 'window screen', 'warplane', 'stole']"
15,Cro_v05_camel_ILSVRC2012_val_00015872_cs.jpg,necklace,"['necklace', 'stole', 'crossword puzzle', 'strainer', 'chain']"
16,Cro_v05_crocodilian_ILSVRC2012_val_00037166_cs.jpg,strainer,"['strainer', 'window screen', 'nail', 'hammer', 'rule']"
17,Cro_v05_lobster_ILSVRC2012_val_00036759_cs.jpg,warplane,"['warplane', 'strainer', 'screw', 'nail', 'oboe']"
18,Cro_v05_dog_ILSVRC2012_val_00028881_cs.jpg,stole,"['stole', 'window screen', 'strainer', 'maze', 'jigsaw puzzle']"
19,Cro_v05_snail_ILSVRC2012_val_00046248_cs.jpg,strainer,"['strainer', 'coil', 'maze', 'nematode', 'hair slide']"
20,Cro_v05_airplane_ILSVRC2012_val_00049097_cs.jpg,warplane,"['warplane', 'nail', 'strainer', 'necklace', 'chain']"
21,Cro_v05_swine_ILSVRC2012_val_00011892_cs.jpg,window screen,"['window screen', 'strainer', 'jigsaw puzzle', 'fire screen', 'crossword puzzle']"
22,Cro_v05_dog_ILSVRC2012_val_00012566_cs.jpg,strainer,"['strainer', 'hair slide', 'maze', 'stole', 'window screen']"
23,Cro_v05_shoe_ILSVRC2012_val_00048970_cs.jpg,stole,"['stole', 'nematode', 'strainer', 'knot', 'chain mail']"
24,Cro_v05_snake_ILSVRC2012_val_00014926_cs.jpg,strainer,"['strainer', 'stole', 'necklace', 'nail', 'knot']"
25,Cro_v05_rabbit_ILSVRC2012_val_00013125_cs.jpg,window screen,"['window screen', 'stole', 'fire screen', 'Windsor tie', 'strainer']"
26,Cro_v05_airplane_ILSVRC2012_val_00030531_cs.jpg,nail,"['nail', 'strainer', 'nematode', 'warplane', 'slide rule']"
27,Cro_v05_rabbit_ILSVRC2012_val_00044412_cs.jpg,window screen,"['window screen', 'Christmas stocking', 'stole', 'crossword puzzle', 'chain mail']"
28,Cro_v05_pineapple_ILSVRC2012_val_00012582_cs.jpg,window screen,"['window screen', 'strainer', 'stole', 'chain mail', 'nail']"
29,Cro_v05_squirrel_ILSVRC2012_val_00048792_cs.jpg,window screen,"['window screen', 'strainer', 'crossword puzzle', 'stole', 'jigsaw puzzle']"
30,Cro_v05_lemon_ILSVRC2012_val_00048264_cs.jpg,window screen,"['window screen', 'strainer', 'crossword puzzle', 'paper towel', 'fire screen']"
31,Cro_v05_spider_ILSVRC2012_val_00039661_cs.jpg,warplane,"['warplane', 'aircraft carrier', 'strainer', 'chain mail', 'nail']"
32,Cro_v05_horse_ILSVRC2012_val_00011600_cs.jpg,wall clock,"['wall clock', 'pole', 'analog clock', 'chime', 'bell cote']"
33,Cro_v05_bellpepper_ILSVRC2012_val_00000423_cs.jpg,window screen,"['window screen', 'strainer', 'crossword puzzle', 'paper towel', 'fire screen']"
34,Cro_v05_turtle_ILSVRC2012_val_00047941_cs.jpg,strainer,"['strainer', 'window screen', 'stole', 'crossword puzzle', 'paper towel']"
35,Cro_v05_lemon_ILSVRC2012_val_00038325_cs.jpg,strainer,"['strainer', 'window screen', 'crossword puzzle', 'doormat', 'jigsaw puzzle']"
36,Cro_v05_bear_ILSVRC2012_val_00011967_cs.jpg,strainer,"['strainer', 'stole', 'window screen', 'hair slide', 'chain mail']"
37,Cro_v05_car_ILSVRC2012_val_00005456_cs.jpg,strainer,"['strainer', 'window screen', 'doormat', 'chain mail', 'crossword puzzle']"
38,Cro_v05_hammer_ILSVRC2012_val_00032002_cs.jpg,nail,"['nail', 'strainer', 'screw', 'slide rule', 'hatchet']"
39,Cro_v05_lobster_ILSVRC2012_val_00028657_cs.jpg,stole,"['stole', 'chain mail', 'strainer', 'oboe', 'chain']"
40,Cro_v05_butterfly_ILSVRC2012_val_00035074_cs.jpg,window screen,"['window screen', 'crossword puzzle', 'strainer', 'jigsaw puzzle', 'stole']"
41,Cro_v05_fish_ILSVRC2012_val_00047320_cs.jpg,nail,"['nail', 'strainer', 'slide rule', 'screw', 'hair slide']"
42,Cro_v05_airplane_ILSVRC2012_val_00011168_cs.jpg,nail,"['nail', 'strainer', 'warplane', 'screw', 'window screen']"
43,Cro_v05_dog_ILSVRC2012_val_00010378_cs.jpg,window screen,"['window screen', 'crossword puzzle', 'strainer', 'jigsaw puzzle', 'stole']"
44,Cro_v05_butterfly_ILSVRC2012_val_00042436_cs.jpg,strainer,"['strainer', 'window screen', 'nail', 'hair slide', 'rule']"
45,Cro_v05_chair_ILSVRC2012_val_00044181_cs.jpg,chain mail,"['chain mail', 'mask', 'stole', 'bow tie', 'bib']"
46,Cro_v05_horse_ILSVRC2012_val_00032126_cs.jpg,window screen,"['window screen', 'crossword puzzle', 'stole', 'strainer', 'jigsaw puzzle']"
47,Cro_v05_car_ILSVRC2012_val_00037492_cs.jpg,strainer,"['strainer', 'window screen', 'stole', 'nail', 'rule']"
48,Cro_v05_bee_ILSVRC2012_val_00042015_cs.jpg,warplane,"['warplane', 'strainer', 'nail', 'window screen', 'maze']"
49,Cro_v05_horse_ILSVRC2012_val_00008317_cs.jpg,maze,"['maze', 'strainer', 'stole', 'hair slide', 'window screen']"
50,Cro_v05_swine_ILSVRC2012_val_00031491_cs.jpg,strainer,"['strainer', 'stole', 'window screen', 'nail', 'hair slide']"
51,Cro_v05_mushroom_ILSVRC2012_val_00039698_cs.jpg,strainer,"['strainer', 'stole', 'window screen', 'jigsaw puzzle', 'hair slide']"
52,Cro_v05_snail_ILSVRC2012_val_00001959_cs.jpg,strainer,"['strainer', 'warplane', 'chain mail', 'screw', 'maze']"
53,Cro_v05_acorn_ILSVRC2012_val_00013791_cs.jpg,window screen,"['window screen', 'chain mail', 'mitten', 'strainer', 'stole']"
54,Cro_v05_bird_ILSVRC2012_val_00028363_cs.jpg,strainer,"['strainer', 'nail', 'stole', 'window screen', 'chain mail']"
55,Cro_v05_elephant_ILSVRC2012_val_00032620_cs.jpg,chain mail,"['chain mail', 'stole', 'strainer', 'maze', 'window screen']"
56,Cro_v05_butterfly_ILSVRC2012_val_00015608_cs.jpg,strainer,"['strainer', 'window screen', 'warplane', 'chain mail', 'nail']"
57,Cro_v05_butterfly_ILSVRC2012_val_00025307_cs.jpg,window screen,"['window screen', 'strainer', 'stole', 'chain mail', 'paper towel']"
58,Cro_v05_spider_ILSVRC2012_val_00029156_cs.jpg,warplane,"['warplane', 'strainer', 'hair slide', 'chain mail', 'nail']"
59,Cro_v05_dryer_ILSVRC2012_val_00038783_cs.jpg,strainer,"['strainer', 'nail', 'stole', 'hatchet', 'warplane']"
60,Cro_v05_chair_ILSVRC2012_val_00004120_cs.jpg,chain mail,"['chain mail', 'Christmas stocking', 'crossword puzzle', 'strainer', 'necklace']"
61,Cro_v05_turtle_ILSVRC2012_val_00024666_cs.jpg,strainer,"['strainer', 'window screen', 'crossword puzzle', 'stole', 'jigsaw puzzle']"
