,image_path,top1_class,top5_class
0,Cro5dva_v07_turtle_ILSVRC2012_val_00049782_cd.jpg,porcupine,"['porcupine', 'sea urchin', 'brain coral', 'chain mail', 'matchstick']"
1,Cro5dva_v07_bear_ILSVRC2012_val_00031906_cd.jpg,American black bear,"['American black bear', 'sloth bear', 'skunk', 'wombat', 'brown bear']"
2,Cro5dva_v07_bird_ILSVRC2012_val_00030545_cd.jpg,water ouzel,"['water ouzel', 'quail', 'rule', 'black grouse', 'ruffed grouse']"
3,Cro5dva_v07_mug_ILSVRC2012_val_00020276_cd.jpg,cup,"['cup', 'coffee mug', 'espresso', 'teapot', 'crossword puzzle']"
4,Cro5dva_v07_snake_ILSVRC2012_val_00006751_cd.jpg,nematode,"['nematode', 'corkscrew', 'hook', 'sea snake', 'nail']"
5,Cro5dva_v07_snake_ILSVRC2012_val_00013400_cd.jpg,nematode,"['nematode', 'chain', 'knot', 'sidewinder', 'safety pin']"
6,Cro5dva_v07_car_ILSVRC2012_val_00005456_cd.jpg,flatworm,"['flatworm', 'coral fungus', 'hen-of-the-woods', 'nematode', 'Kerry blue terrier']"
7,Cro5dva_v07_swine_ILSVRC2012_val_00031491_cd.jpg,flatworm,"['flatworm', 'nematode', 'electric ray', 'sea slug', 'jellyfish']"
8,Cro5dva_v07_squirrel_ILSVRC2012_val_00023383_cd.jpg,jigsaw puzzle,"['jigsaw puzzle', 'crossword puzzle', 'maze', 'safety pin', 'doormat']"
9,Cro5dva_v07_monkey_ILSVRC2012_val_00027323_cd.jpg,spider monkey,"['spider monkey', 'patas', 'langur', 'macaque', 'titi']"
10,Cro5dva_v07_bear_ILSVRC2012_val_00038263_cd.jpg,porcupine,"['porcupine', 'wombat', 'skunk', 'American black bear', 'mink']"
11,Cro5dva_v07_airplane_ILSVRC2012_val_00023781_cd.jpg,nematode,"['nematode', 'common newt', 'scorpion', 'ant', 'banded gecko']"
12,Cro5dva_v07_spider_ILSVRC2012_val_00026030_cd.jpg,barn spider,"['barn spider', 'tick', 'wolf spider', 'garden spider', 'spider web']"
13,Cro5dva_v07_lobster_ILSVRC2012_val_00047059_cd.jpg,scorpion,"['scorpion', 'barn spider', 'tick', 'fiddler crab', 'ant']"
14,Cro5dva_v07_flower_ILSVRC2012_val_00022139_cd.jpg,jigsaw puzzle,"['jigsaw puzzle', 'coral fungus', 'nematode', 'maze', 'brain coral']"
15,Cro5dva_v07_crab_ILSVRC2012_val_00011922_cd.jpg,barn spider,"['barn spider', 'scorpion', 'tick', 'fiddler crab', 'wolf spider']"
16,Cro5dva_v07_squirrel_ILSVRC2012_val_00035501_cd.jpg,hammer,"['hammer', 'whistle', 'joystick', 'microphone', 'oboe']"
17,Cro5dva_v07_spider_ILSVRC2012_val_00039661_cd.jpg,barn spider,"['barn spider', 'wolf spider', 'tick', 'black widow', 'ant']"
18,Cro5dva_v07_mushroom_ILSVRC2012_val_00040625_cd.jpg,hammer,"['hammer', 'nail', 'plunger', 'mushroom', 'hatchet']"
19,Cro5dva_v07_flower_ILSVRC2012_val_00048934_cd.jpg,jigsaw puzzle,"['jigsaw puzzle', 'coral fungus', 'coral reef', 'brain coral', 'matchstick']"
20,Cro5dva_v07_hammer_ILSVRC2012_val_00001110_cd.jpg,hammer,"['hammer', 'nail', 'rubber eraser', 'hatchet', 'jersey']"
21,Cro5dva_v07_airplane_ILSVRC2012_val_00011168_cd.jpg,jigsaw puzzle,"['jigsaw puzzle', 'nematode', 'crossword puzzle', 'rule', 'jersey']"
22,Cro5dva_v07_flower_ILSVRC2012_val_00039137_cd.jpg,jigsaw puzzle,"['jigsaw puzzle', 'coral fungus', 'coral reef', 'brain coral', 'maze']"
23,Cro5dva_v07_camel_ILSVRC2012_val_00011354_cd.jpg,leatherback turtle,"['leatherback turtle', 'jigsaw puzzle', 'terrapin', 'tailed frog', 'hare']"
24,Cro5dva_v07_hammer_ILSVRC2012_val_00003387_cd.jpg,Irish water spaniel,"['Irish water spaniel', 'Bouvier des Flandres', 'Kerry blue terrier', 'standard poodle', 'miniature poodle']"
25,Cro5dva_v07_dog_ILSVRC2012_val_00028881_cd.jpg,Bouvier des Flandres,"['Bouvier des Flandres', 'Kerry blue terrier', 'Irish water spaniel', 'komondor', 'giant schnauzer']"
26,Cro5dva_v07_rabbit_ILSVRC2012_val_00013125_cd.jpg,wood rabbit,"['wood rabbit', 'hare', 'Angora', 'safety pin', 'handkerchief']"
27,Cro5dva_v07_gun_ILSVRC2012_val_00018910_cd.jpg,revolver,"['revolver', 'assault rifle', 'nematode', 'rifle', 'jigsaw puzzle']"
28,Cro5dva_v07_fish_ILSVRC2012_val_00032417_cd.jpg,nematode,"['nematode', 'cleaver', 'letter opener', 'hatchet', 'rule']"
